
[00:00:00.000 --> 00:00:04.080]  要請大家再次低頭,我們一起祈禱
[00:00:04.080 --> 00:00:09.880]  親信我們感謝祢
[00:00:09.880 --> 00:00:13.400]  主為祢在十字架上犧牲流血
[00:00:13.400 --> 00:00:15.260]  讓我們取得赦免
[00:00:15.260 --> 00:00:19.340]  我們更感謝祢呼喚我們,吸引我們來到祢的面前
[00:00:19.340 --> 00:00:23.020]  接受祢成為我們的救主和個人生命的主
[00:00:23.020 --> 00:00:25.880]  讓我們生命能夠顯出祢的榮美
[00:00:25.880 --> 00:00:27.960]  讓上帝祢去幫助我們
[00:00:27.960 --> 00:00:30.980]  能夠以祢的話語成為我們生命的支援
[00:00:30.980 --> 00:00:34.040]  讓我們得到聖靈的幫助
[00:00:34.040 --> 00:00:36.820]  能夠明白祢話語中的奧秘
[00:00:36.820 --> 00:00:41.480]  讓聽的和說的都能夠同蒙祢的原諒
[00:00:41.480 --> 00:00:44.680]  祈禱奉主耶穌基督的名,阿們
[00:00:44.680 --> 00:00:57.420]  不知道大家有沒有機會遇到一些不可理喻和無理取鬧的人和事呢?
[00:00:58.640 --> 00:01:01.260]  我相信都一定試過,是嗎?
[00:01:01.260 --> 00:01:05.200]  當遇到這些人或事情的時候
[00:01:05.200 --> 00:01:07.120]  你會怎樣去面對呢?
[00:01:07.120 --> 00:01:11.400]  我嘗試給大家三個選擇
[00:01:11.400 --> 00:01:14.580]  第一就是,理睬他也傻
[00:01:14.580 --> 00:01:18.220]  第二就是,我要點醒他
[00:01:18.220 --> 00:01:20.860]  讓他知道自己是多麼無理
[00:01:20.860 --> 00:01:25.220]  第三就是,要不就令他消失
[00:01:25.340 --> 00:01:28.860]  要不就避之則吉
[00:01:28.860 --> 00:01:32.180]  這三個選擇裡面你會選擇哪一個呢?
[00:01:32.180 --> 00:01:33.660]  又或者你說⋯⋯
[00:01:33.660 --> 00:01:35.420]  這三個選擇我都不理睬
[00:01:35.420 --> 00:01:40.280]  第一個選擇是不行的,是嗎?
[00:01:40.280 --> 00:01:43.360]  第二個選擇最可敬拜的是
[00:01:43.360 --> 00:01:46.020]  就是保證最廣見的
[00:01:46.020 --> 00:01:48.780]  我選擇的三個選擇都是最可敬拜的
[00:01:48.780 --> 00:01:52.560]  好,我們一會兒再彼此交流
[00:01:52.560 --> 00:01:55.620]  可能你會覺得,林老師,這三個選擇我都不理睬
[00:01:55.620 --> 00:01:57.980]  你可以再跟我交流一下
[00:01:57.980 --> 00:02:01.640]  早前我的經驗是,我去外遇室喝茶
[00:02:01.640 --> 00:02:03.980]  大家知道那裡有很多間茶樓,是嗎?
[00:02:03.980 --> 00:02:07.260]  好像是五樓還是六樓
[00:02:07.260 --> 00:02:10.220]  我走的時候,搭電梯下來
[00:02:10.220 --> 00:02:12.560]  因為站在電梯的門口
[00:02:12.560 --> 00:02:16.940]  所以順理成章地按著開關的門
