
[00:00:00.000 --> 00:00:01.480]  咱們一起禱告吧
[00:00:01.480 --> 00:00:04.640]  親愛的天父,我們感謝禰
[00:00:04.640 --> 00:00:07.120]  有機會來到禰的殿中
[00:00:07.120 --> 00:00:09.320]  來敬拜禰
[00:00:09.320 --> 00:00:12.800]  主啊,我們把以下的時間交託給禰
[00:00:12.800 --> 00:00:15.200]  求禰幫助我們
[00:00:15.200 --> 00:00:16.880]  聆聽禰的話語
[00:00:16.880 --> 00:00:18.620]  還有接受
[00:00:18.620 --> 00:00:20.480]  禰的吩咐
[00:00:20.480 --> 00:00:22.000]  也有
[00:00:22.000 --> 00:00:24.920]  讓我們解禁禰
[00:00:24.920 --> 00:00:27.620]  我們禱告,奉耶穌基督的名
[00:00:27.620 --> 00:00:28.900]  Amen
[00:00:31.000 --> 00:00:33.000]  有一天
[00:00:33.000 --> 00:00:35.600]  一個人
[00:00:35.600 --> 00:00:39.400]  到山區去爬山
[00:00:39.400 --> 00:00:45.260]  他走的一條很窄的很窄的一條路
[00:00:45.260 --> 00:00:50.060]  但是他玩得非常開心
[00:00:50.060 --> 00:00:53.020]  不小心就摔下去了
[00:00:53.020 --> 00:00:55.360]  還好
[00:00:55.360 --> 00:00:58.080]  他抓住了
[00:00:58.280 --> 00:01:01.520]  這個遠壓邊的松鼠
[00:01:01.520 --> 00:01:05.480]  但是他抓得緊緊,但是知道
[00:01:05.480 --> 00:01:07.520]  過了不久就不行了
[00:01:07.520 --> 00:01:10.300]  所以他大聲地喊
[00:01:10.300 --> 00:01:12.880]  上面有人嗎
[00:01:12.880 --> 00:01:16.420]  他聽到一個回答
[00:01:16.420 --> 00:01:18.460]  是啊,我在
[00:01:18.460 --> 00:01:21.300]  你是誰啊
[00:01:21.300 --> 00:01:24.440]  我是豬啊
[00:01:24.440 --> 00:01:28.240]  豬啊,好好好,救救我啦
[00:01:29.280 --> 00:01:31.500]  你相信我嗎
[00:01:31.500 --> 00:01:34.560]  豬啊,你知道我完全相信你啦
[00:01:34.560 --> 00:01:37.180]  好了,放手
[00:01:37.180 --> 00:01:40.500]  什麼
[00:01:40.500 --> 00:01:43.660]  我說放手
[00:01:43.660 --> 00:01:47.140]  上面還有人嗎
[00:01:47.140 --> 00:01:53.940]  那麼我們聽這樣的故事我們都會笑
[00:01:54.820 --> 00:01:59.220]  但是實際上它提出了非常重要的一個問題
[00:01:59.220 --> 00:02:03.000]  我們碰到危難
[00:02:03.000 --> 00:02:07.740]  在危難中我們要靠近誰
[00:02:07.740 --> 00:02:11.480]  我們每一個人
[00:02:11.480 --> 00:02:15.160]  都會面對困難、猶豫
[00:02:15.160 --> 00:02:17.060]  甚至危難
[00:02:17.060 --> 00:02:19.860]  到那時候
[00:02:22.920 --> 00:02:25.160]  說實在的,說白了
[00:02:25.160 --> 00:02:27.140]  你簡單地回答說
[00:02:27.140 --> 00:02:29.200]  你要靠近耶穌
[00:02:29.200 --> 00:02:32.740]  實際上不夠
[00:02:32.740 --> 00:02:35.600]  太淺了
[00:02:35.600 --> 00:02:39.200]  你這樣諸如學的一個回答
[00:02:39.200 --> 00:02:40.880]  到那時候
[00:02:40.880 --> 00:02:43.400]  說實話
[00:02:43.400 --> 00:02:47.860]  這個問題變成
[00:02:47.860 --> 00:02:50.960]  我們信靠的到底是誰
[00:02:52.480 --> 00:02:54.540]  這個是問題我們要問
[00:02:54.540 --> 00:02:58.640]  不是靠近誰,這個我們靠近的到底是誰
[00:02:58.640 --> 00:03:03.140]  因爲這個是心心的核心
[00:03:03.140 --> 00:03:06.800]  那麼要是我們的心心
[00:03:06.800 --> 00:03:07.900]  就是
[00:03:07.900 --> 00:03:11.420]  多得一些知識的話
[00:03:11.420 --> 00:03:14.820]  那很簡單,就上幾門課
[00:03:14.820 --> 00:03:19.360]  就是得到一個新興的博士就完了
