
[00:00:00.000 --> 00:00:02.900]  歡迎大家來到我們的周六存拜
[00:00:02.900 --> 00:00:07.460]  這個星期我們舉辦了一個兒童暑期聖經營
[00:00:07.460 --> 00:00:13.400]  營會的題目是「當我們遇上耶穌」
[00:00:13.400 --> 00:00:16.160]  頭兩天的主題其實很簡單
[00:00:16.160 --> 00:00:20.700]  「黑與白,善與惡,好與壞」
[00:00:20.700 --> 00:00:22.500]  你會是在哪一邊呢?
[00:00:22.500 --> 00:00:25.760]  黑色那邊還是白色那邊?
[00:00:25.760 --> 00:00:29.260]  營會的第一天我們說「黑暗」
[00:00:29.260 --> 00:00:32.440]  「當叛逆的浪子遇上耶穌」
[00:00:32.440 --> 00:00:35.540]  這個叛逆浪子是一個壞蛋
[00:00:35.540 --> 00:00:37.000]  是一個魔鬼蛋
[00:00:37.000 --> 00:00:39.040]  他遇上耶穌
[00:00:39.040 --> 00:00:41.500]  我們問「人若選擇放縱」
[00:00:41.500 --> 00:00:43.460]  下場會是什麼呢?
[00:00:43.460 --> 00:00:44.540]  小朋友都知道
[00:00:44.540 --> 00:00:47.660]  下場是地獄的審判
[00:00:47.660 --> 00:00:49.040]  這是第一天的訊息
[00:00:49.040 --> 00:00:51.400]  第二天我們「進入光明」
[00:00:51.400 --> 00:00:54.440]  「當好好哥哥遇上耶穌」
[00:00:54.440 --> 00:00:56.260]  好好哥哥是一隻好蛋
[00:00:56.260 --> 00:00:57.640]  是天使蛋
[00:00:57.640 --> 00:01:01.440]  我們問「人若選擇不行狠善」
[00:01:01.440 --> 00:01:03.800]  下場將會如何呢?
[00:01:03.800 --> 00:01:05.560]  可能很多人的答案是
[00:01:05.560 --> 00:01:09.260]  下場當然是天堂極樂
[00:01:09.260 --> 00:01:11.600]  於是我們的訊息就是
[00:01:11.600 --> 00:01:16.660]  怎樣可以從一邊移民去另外一邊
[00:01:16.660 --> 00:01:18.760]  我們說所有的宗教
[00:01:18.760 --> 00:01:20.000]  道德的宗教
[00:01:20.000 --> 00:01:21.440]  都是一樣
[00:01:21.440 --> 00:01:23.640]  鼓勵大家移民
[00:01:23.640 --> 00:01:25.560]  從叛逆移民去
[00:01:25.560 --> 00:01:29.860]  特行從小兒子移民去做大兒子
[00:01:29.860 --> 00:01:31.260]  於是很多人會說
[00:01:31.260 --> 00:01:33.060]  宗教都是道人向善
[00:01:33.060 --> 00:01:35.660]  殊途同歸
[00:01:35.660 --> 00:01:39.260]  但是如果你真的有閱讀過我們的聖經
[00:01:39.260 --> 00:01:41.400]  如果你真的有去一間
[00:01:41.400 --> 00:01:42.860]  傳講福音的教會
[00:01:42.860 --> 00:01:45.840]  你會知道這樣去理解基督的信仰
[00:01:45.840 --> 00:01:49.160]  是完全錯誤的
[00:01:49.160 --> 00:01:51.240]  耶穌和聖經都告訴我們
[00:01:51.240 --> 00:01:55.660]  其實兩個兒子都墮落在黑暗之中
[00:01:55.660 --> 00:02:00.900]  兩個兒子最終都要承受地獄的果
[00:02:00.900 --> 00:02:02.860]  因為世人都犯了罪
[00:02:02.860 --> 00:02:04.400]  規決了上帝的榮耀
[00:02:04.400 --> 00:02:06.040]  罪的公價乃是死
[00:02:06.040 --> 00:02:08.560]  死後且有審判
