
[00:00:00.000 --> 00:00:01.000]  各位兄弟姐妹
[00:00:01.000 --> 00:00:04.000]  復活節平安
[00:00:04.000 --> 00:00:07.000]  近期大家都知道
[00:00:07.000 --> 00:00:13.000]  美國的新出來的政府效率報
[00:00:13.000 --> 00:00:15.000]  調查發現
[00:00:15.000 --> 00:00:19.000]  原來它的社會保障的數據庫裡面
[00:00:19.000 --> 00:00:24.000]  有些人年齡居然超過一百五十歲
[00:00:24.000 --> 00:00:28.000]  還有一百三十萬那麼多
[00:00:28.000 --> 00:00:33.000]  還有一兩個超過了三百六十歲
[00:00:33.000 --> 00:00:37.000]  比這個美國歷史還更加長
[00:00:37.000 --> 00:00:40.000]  那到底發生了什麼原因呢
[00:00:40.000 --> 00:00:43.000]  原來後來經過調查發現
[00:00:43.000 --> 00:00:46.000]  這些人不是長生不老
[00:00:46.000 --> 00:00:48.000]  也不是死裡復活
[00:00:48.000 --> 00:00:50.000]  只不過是系統上的錯誤而已
[00:00:50.000 --> 00:00:56.000]  但這件事使我想起一個很重要的問題
[00:00:56.000 --> 00:01:00.000]  如果有人真的從死裡復活的時候
[00:01:00.000 --> 00:01:03.000]  會帶來什麼樣的影響呢
[00:01:03.000 --> 00:01:06.000]  那就不只是在騙福利
[00:01:06.000 --> 00:01:11.000]  或者騙好處這麼簡單是吧
[00:01:11.000 --> 00:01:15.000]  事實上歷史上真的有人死人復活
[00:01:15.000 --> 00:01:18.000]  這個就是耶穌基督
[00:01:18.000 --> 00:01:21.000]  祂的復活不只是一個奇蹟
[00:01:21.000 --> 00:01:28.000]  而更加是一個使萬物能夠更生的開始
[00:01:28.000 --> 00:01:30.000]  今天是復活節
[00:01:30.000 --> 00:01:33.000]  讓我們能夠從寶羅
[00:01:33.000 --> 00:01:36.000]  我剛才所讀的三段經文
[00:01:36.000 --> 00:01:39.000]  一起來思想一下
[00:01:39.000 --> 00:01:41.000]  耶穌基督的復活
[00:01:41.000 --> 00:01:43.000]  怎樣帶給世界
[00:01:43.000 --> 00:01:48.000]  帶給群體和個人的影響
[00:01:48.000 --> 00:01:53.000]  我們先來一個開始的祈禱
[00:01:53.000 --> 00:01:54.000]  天父上帝
[00:01:54.000 --> 00:01:58.000]  當我們來到您面前的時候
[00:01:58.000 --> 00:02:00.000]  當寶羅說
[00:02:00.000 --> 00:02:01.000]  死亡啊
[00:02:01.000 --> 00:02:04.000]  您德性的權勢在哪裡
[00:02:04.000 --> 00:02:05.000]  死亡啊
[00:02:05.000 --> 00:02:07.000]  您的毒鉤在哪裡
[00:02:07.000 --> 00:02:08.000]  主啊
[00:02:08.000 --> 00:02:11.000]  我們就知道您已經復活了
[00:02:11.000 --> 00:02:14.000]  求您在這個值得紀念的日子裡
[00:02:14.000 --> 00:02:16.000]  跟我們講說話
[00:02:16.000 --> 00:02:19.000]  使我們能夠明白基督復活
[00:02:19.000 --> 00:02:21.000]  為世界帶來的意義
[00:02:21.000 --> 00:02:24.000]  以致我們不再為我們自己而活
[00:02:24.000 --> 00:02:28.000]  乃是替我們
[00:02:28.000 --> 00:02:34.000]  為我們那位死而復活的主而活
[00:02:34.000 --> 00:02:40.000]  禱告奉主耶穌基督聖名
[00:02:40.000 --> 00:02:43.000]  耶穌基督的降生
[00:02:43.000 --> 00:02:45.000]  死和復活
[00:02:45.000 --> 00:02:47.000]  其實是不可以分開的
[00:02:47.000 --> 00:02:51.000]  我們是需要一起來看的
[00:02:51.000 --> 00:02:53.000]  因為這個其實是神
[00:02:53.000 --> 00:02:57.000]  是自己介入歷史的證據
[00:02:57.000 --> 00:03:00.000]  所以寶羅在羅馬書第八章
[00:03:00.000 --> 00:03:02.000]  第十九章二十三節那裡
[00:03:02.000 --> 00:03:04.000]  就是講到
[00:03:04.000 --> 00:03:06.000]  在他的眼裡
[00:03:06.000 --> 00:03:09.000]  他的世界是什麼世界呢
[00:03:09.000 --> 00:03:15.000]  是一個在歎息中勞苦的世界
[00:03:15.000 --> 00:03:18.000]  一個被罪所污染
[00:03:18.000 --> 00:03:21.000]  在這個黑暗的權勢底下
[00:03:21.000 --> 00:03:25.000]  在痛苦深淫的那個世界
[00:03:25.000 --> 00:03:29.000]  所以寶羅在第八章第十九章二十節那裡
[00:03:29.000 --> 00:03:33.000]  他所描述的那個受苦的世界
[00:03:33.000 --> 00:03:38.000]  正是在等待著一個救贖
[00:03:38.000 --> 00:03:40.000]  而虛空更加是指道
[00:03:40.000 --> 00:03:42.000]  因為人的墮落
[00:03:42.000 --> 00:03:45.000]  全世界正是陷入於這個敗壞裡面
[00:03:45.000 --> 00:03:48.000]  失去了他原來的目的
[00:03:48.000 --> 00:03:50.000]  以至根本上是沒有辦法
[00:03:50.000 --> 00:03:56.000]  來到完成神所賦予他的旨意
[00:03:56.000 --> 00:04:00.000]  在那裡運行
[00:04:00.000 --> 00:04:03.000]  我們是需要追溯到
[00:04:03.000 --> 00:04:06.000]  創世紀的第三章裡面
[00:04:06.000 --> 00:04:10.000]  當亞當夏娃犯罪的時候
[00:04:10.000 --> 00:04:15.000]  神就曾經對地發出奏助
[00:04:15.000 --> 00:04:17.000]  自此以後這個世界
[00:04:17.000 --> 00:04:22.000]  就充滿著苦難和不確定性
[00:04:22.000 --> 00:04:24.000]  這種混亂的情況
[00:04:24.000 --> 00:04:27.000]  其實是愈演愈烈的
[00:04:27.000 --> 00:04:30.000]  今天大家都可以看到
[00:04:30.000 --> 00:04:33.000]  這個世界氣候的變遷
[00:04:33.000 --> 00:04:35.000]  森林的消失
[00:04:35.000 --> 00:04:36.000]  各種的滅絕
[00:04:36.000 --> 00:04:39.000]  這正是顯示出受造界
[00:04:39.000 --> 00:04:42.000]  在那裡勞苦在那裡嘆息
[00:04:42.000 --> 00:04:44.000]  加上戰爭不斷
[00:04:44.000 --> 00:04:47.000]  貧窮不公義的制度等等
[00:04:47.000 --> 00:04:50.000]  使這個世界充滿著
[00:04:50.000 --> 00:04:56.000]  所帶來的各種的不公和痛苦
[00:04:56.000 --> 00:05:00.000]  但這不是這個世界的終局
[00:05:00.000 --> 00:05:04.000]  受造界正是切網地等候
[00:05:04.000 --> 00:05:06.000]  原文就是說
[00:05:06.000 --> 00:05:10.000]  一個人伸長脖子來看
[00:05:10.000 --> 00:05:12.000]  彷彿整個受造界
[00:05:12.000 --> 00:05:14.000]  都是在屏息等候
[00:05:14.000 --> 00:05:19.000]  一個新時代的來臨
[00:05:19.000 --> 00:05:23.000]  他們的盼望不是天馬行空的
[00:05:23.000 --> 00:05:25.000]  反而因為耶穌基督的復活
[00:05:25.000 --> 00:05:27.000]  而得到確定
[00:05:27.000 --> 00:05:31.000]  所以在這八章第二十一節裡
[00:05:31.000 --> 00:05:34.000]  說到基督從死裡復活
[00:05:34.000 --> 00:05:36.000]  其實是代表著基督
[00:05:36.000 --> 00:05:40.000]  已經擊敗了死亡的權勢
[00:05:40.000 --> 00:05:44.000]  這個舊世界的枷鎖
[00:05:44.000 --> 00:05:47.000]  已經被鬆開了
[00:05:47.000 --> 00:05:49.000]  受造之物是有望
[00:05:49.000 --> 00:05:52.000]  能夠脫離敗壞的合制
[00:05:52.000 --> 00:05:55.000]  得享神怡裡的自由
[00:05:55.000 --> 00:05:58.000]  本來說這個舊世界
[00:05:58.000 --> 00:06:00.000]  正在終結中
[00:06:00.000 --> 00:06:02.000]  而這個新世界
[00:06:02.000 --> 00:06:06.000]  已經破土而出了
[00:06:06.000 --> 00:06:08.000]  原因是什麼
[00:06:08.000 --> 00:06:12.000]  就是基督已經從死裡復活了
[00:06:12.000 --> 00:06:17.000]  他成為這個初熟的果子
[00:06:17.000 --> 00:06:20.000]  正如保羅在哥倫多前書
[00:06:20.000 --> 00:06:24.000]  第十五章所描述的
[00:06:24.000 --> 00:06:27.000]  這個意思又是什麼呢
[00:06:27.000 --> 00:06:28.000]  我們可以從
[00:06:28.000 --> 00:06:30.000]  這個「已然」和「未然」的角度
[00:06:30.000 --> 00:06:32.000]  來理解一下
[00:06:32.000 --> 00:06:36.000]  大家可以看到這張圖
[00:06:36.000 --> 00:06:39.000]  「已然」就是代表著
[00:06:39.000 --> 00:06:42.000]  基督第一次的降臨
[00:06:42.000 --> 00:06:44.000]  復活更加是標誌著
[00:06:44.000 --> 00:06:46.000]  這場天國的革命
[00:06:46.000 --> 00:06:49.000]  已經開始了
[00:06:49.000 --> 00:06:52.000]  而「未然」就是說
[00:06:52.000 --> 00:06:56.000]  完全的更新還沒有來到
[00:06:56.000 --> 00:06:58.000]  我們整個世界正在等待
[00:06:58.000 --> 00:07:02.000]  基督的第二次的降臨
[00:07:02.000 --> 00:07:04.000]  而我們正是處於
[00:07:04.000 --> 00:07:09.000]  這個兩下重疊的部分
[00:07:09.000 --> 00:07:12.000]  所以我們是不能夠完全脫離
[00:07:12.000 --> 00:07:14.000]  這個敗壞的合制
