
[00:00:00.000 --> 00:00:02.400]  今日是聖鱷同樂日
[00:00:02.400 --> 00:00:04.400]  聖鱷也說過
[00:00:04.400 --> 00:00:07.400]  十五號那天真是有點可惜
[00:00:07.400 --> 00:00:10.600]  我們祈壯部很多的隊伍
[00:00:10.600 --> 00:00:11.800]  預備了很多時間
[00:00:11.800 --> 00:00:14.200]  終於打風就取消了
[00:00:14.200 --> 00:00:18.000]  當日還有個人小組的比賽
[00:00:18.000 --> 00:00:20.800]  都不能夠如期的舉行
[00:00:20.800 --> 00:00:22.800]  雖然大家會有些失望
[00:00:22.800 --> 00:00:23.800]  不過不要緊
[00:00:23.800 --> 00:00:26.800]  大家的努力是不會浪費的
[00:00:26.800 --> 00:00:30.600]  過去在城鎮加六年多的時間
[00:00:30.600 --> 00:00:32.400]  見到大家的隊伍
[00:00:32.400 --> 00:00:35.600]  都是每一年比一年進步
[00:00:35.600 --> 00:00:37.200]  最近參加一次
[00:00:37.200 --> 00:00:39.600]  執事童工退休會的時候
[00:00:39.600 --> 00:00:41.200]  主席問大家
[00:00:41.200 --> 00:00:44.400]  大家想起九龍城鎮信會的時候
[00:00:44.400 --> 00:00:46.200]  教會的特長
[00:00:46.200 --> 00:00:48.000]  教會的強項
[00:00:48.000 --> 00:00:51.200]  你會想起些什麼呢?
[00:00:51.200 --> 00:00:53.200]  很多童工執事就說
[00:00:53.200 --> 00:00:57.400]  是音樂的事工 聖鱷事工
[00:00:57.400 --> 00:01:00.800]  我相信九龍城鎮信會的音樂事工
[00:01:00.800 --> 00:01:03.800]  能夠到今天的成績
[00:01:03.800 --> 00:01:07.800]  不是一朝一夕的成果
[00:01:07.800 --> 00:01:10.600]  教會今年已經是第三十五年
[00:01:10.600 --> 00:01:13.200]  舉辦聖鱷同樂日
[00:01:13.200 --> 00:01:18.800]  多少的目者 童工 指揮 音樂老師
[00:01:18.800 --> 00:01:21.000]  弟兄姊妹齊心努力
[00:01:21.000 --> 00:01:23.600]  耕耘的成果
[00:01:23.600 --> 00:01:28.000]  很多的時間花上去訓練
[00:01:28.000 --> 00:01:30.200]  都是成功的原因
[00:01:30.200 --> 00:01:31.600]  我們教會的小朋友
[00:01:31.600 --> 00:01:35.800]  由三歲開始已經是接受音樂教育
[00:01:35.800 --> 00:01:38.800]  我們給他們有樂理 有律動
[00:01:38.800 --> 00:01:41.400]  有試唱的訓練
[00:01:41.400 --> 00:01:42.800]  教導他們唱歌
[00:01:42.800 --> 00:01:45.400]  教導他們藉著音樂認識神
[00:01:45.400 --> 00:01:49.400]  打好音樂和屬靈的基礎
[00:01:49.400 --> 00:01:51.200]  過去兩年
[00:01:51.200 --> 00:01:53.400]  其中部的弟兄姊妹
[00:01:53.400 --> 00:01:56.600]  亦都有音樂唱歌的訓練班
[00:01:56.600 --> 00:01:58.600]  在星期二早上舉行
[00:01:58.600 --> 00:02:00.000]  很受歡迎
[00:02:00.000 --> 00:02:03.600]  很多人很踴躍報名參加
[00:02:03.600 --> 00:02:04.800]  過去有一次
[00:02:04.800 --> 00:02:07.000]  我去參加一個聖鱷訓練的時候
[00:02:07.000 --> 00:02:08.600]  我幫手伴奏
[00:02:08.600 --> 00:02:11.400]  見到大家實在進步了很多
[00:02:11.400 --> 00:02:12.600]  很鼓舞
[00:02:12.600 --> 00:02:15.800]  很為大家感謝神
[00:02:15.800 --> 00:02:19.200]  小時候我學琴要考六級
[00:02:19.200 --> 00:02:21.000]  原來不是要考就考
[00:02:21.000 --> 00:02:24.000]  要考五級樂理才可以
[00:02:24.000 --> 00:02:25.800]  如果考八級
[00:02:25.800 --> 00:02:29.400]  就要考八級樂理
[00:02:29.400 --> 00:02:32.400]  學習每一門的技巧
[00:02:32.400 --> 00:02:38.800]  無論是音樂 武術 運動 廚藝 舞蹈
[00:02:38.800 --> 00:02:41.200]  都有基本的功夫
[00:02:41.200 --> 00:02:44.400]  屬靈的生命亦都不例外
