
[00:00:00.000 --> 00:00:04.460]  就讓我們在神的面前先準備我們的心一起禱告
[00:00:04.460 --> 00:00:07.600]  讓我們在上帝面前準備我們的心一起祈禱
[00:00:07.600 --> 00:00:14.600]  親愛聖天父,我們實在感謝祢
[00:00:14.600 --> 00:00:21.800]  我們今天能夠奉耶穌基督的名在這裡聚集
[00:00:21.800 --> 00:00:24.100]  都是祢的恩典
[00:00:24.100 --> 00:00:27.400]  就求祢繼續來保守我們下面的時間
[00:00:27.400 --> 00:00:31.800]  賜給我們聰明智慧
[00:00:31.800 --> 00:00:36.200]  去明白祢的話語
[00:00:36.200 --> 00:00:41.200]  賜給我們一個肉的心,不是石頭的心
[00:00:41.200 --> 00:00:48.000]  聆聽祢的話語之後
[00:00:48.000 --> 00:00:54.600]  能夠將祢的話語刻在我們的心板上
[00:00:54.600 --> 00:00:58.000]  謹守祢的教導
[00:00:58.000 --> 00:01:00.800]  討祢的喜悅
[00:01:00.800 --> 00:01:04.300]  奉耶穌基督的名而去
[00:01:04.300 --> 00:01:06.500]  阿們
[00:01:06.500 --> 00:01:09.600]  今天也是一個比較大的題目
[00:01:09.600 --> 00:01:12.700]  就是教會的組織與管理
[00:01:12.700 --> 00:01:16.300]  今天的題目比較大,就是教會的組織與管理
[00:01:16.300 --> 00:01:19.800]  恐怕在二十分鐘之內就講不完
[00:01:19.800 --> 00:01:22.600]  很可能二十分鐘就講不完
[00:01:22.600 --> 00:01:29.600]  所以我就集中在解釋聖經的時候
[00:01:29.600 --> 00:01:34.000]  我就使用聖公會作為例子來講解
[00:01:34.000 --> 00:01:35.600]  當我們講解聖經的時候
[00:01:35.600 --> 00:01:38.400]  我們會用聖公會作為例子來講解
[00:01:38.400 --> 00:01:43.000]  因為這畢竟跟我們的教會生活是非常有關係
[00:01:43.000 --> 00:01:46.800]  因為這個跟我們生活是很有關係
[00:01:46.800 --> 00:01:51.500]  我想是我們聽完今天的講道之後
[00:01:51.500 --> 00:01:53.800]  我想是我們聽完今天的講道之後
[00:01:53.800 --> 00:01:58.700]  我們也許可以更認識自己教會的組織
[00:01:58.700 --> 00:02:02.000]  希望大家能夠更加認識我們教會的組織
[00:02:02.000 --> 00:02:04.600]  而且我希望大家都能夠明白
[00:02:04.600 --> 00:02:09.000]  聖公會的組織是非常合乘性的教導
[00:02:09.000 --> 00:02:14.700]  希望大家明白聖公會的組織是非常合乎聖經的教導
[00:02:14.700 --> 00:02:17.500]  我這樣說,因為好多的華人教會
[00:02:17.500 --> 00:02:22.600]  以為聖公會是有一兩點的所謂毛病
[00:02:22.600 --> 00:02:27.700]  我這樣說,因為好多的教會以為聖公會是毛病
[00:02:27.700 --> 00:02:31.500]  因為我說是偏見
[00:02:31.500 --> 00:02:34.100]  因為我在傳統教會出來的
[00:02:34.100 --> 00:02:37.500]  所以我以前也有同樣的偏見
[00:02:37.500 --> 00:02:39.800]  我說這個是偏見,不是說別人
[00:02:39.800 --> 00:02:43.000]  而是我本身是從傳統教會出來的
[00:02:43.000 --> 00:02:46.400]  當我在那個時間,我也有這樣的偏見
[00:02:46.400 --> 00:02:49.400]  那大致上有兩點
[00:02:49.400 --> 00:02:50.800]  大致上有兩點
[00:02:50.800 --> 00:02:54.600]  第一,聖公會是西方的
[00:02:54.600 --> 00:02:57.300]  第一,聖公會是西方的教會
[00:02:57.300 --> 00:02:58.900]  特別是英國的教會
[00:02:58.900 --> 00:03:01.200]  特別是英國的教會
[00:03:01.200 --> 00:03:08.500]  我們聖公會有很多的傳統不一定適合華人的
[00:03:08.500 --> 00:03:11.900]  聖公會有很多的傳統不一定適合華人
[00:03:11.900 --> 00:03:14.300]  第二點還是更關鍵
[00:03:14.300 --> 00:03:16.600]  第二點還是更關鍵
[00:03:16.600 --> 00:03:19.000]  就是聖公會的傳統
[00:03:19.000 --> 00:03:25.300]  我們是根據太多的傳統,多於根據聖經
[00:03:25.300 --> 00:03:27.300]  聖公會有很多的傳統
[00:03:27.300 --> 00:03:31.000]  只不過是人為的傳統,不是根據聖經而來
[00:03:31.000 --> 00:03:36.100]  這樣的觀念,我想是太淺、太表面
[00:03:36.100 --> 00:03:39.600]  這樣的觀念,你可能看教會看得太表面
[00:03:39.600 --> 00:03:43.200]  沒有經過細心的去考察
[00:03:43.200 --> 00:03:45.800]  沒有經過細心的去考察
[00:03:45.800 --> 00:03:50.000]  特別在我們悉尼的聖公會
[00:03:50.000 --> 00:03:57.200]  在很多古老的建築物和嚴肅的禮文的背後
[00:03:57.200 --> 00:04:01.500]  在很多古老的建築物和嚴肅的禮文的背後
[00:04:01.500 --> 00:04:06.700]  在裡面其實是非常嚴格的遵守聖經的吩咐
[00:04:06.700 --> 00:04:11.400]  在裡面其實是非常嚴格的遵守聖經的吩咐
[00:04:11.400 --> 00:04:15.900]  我要舉什麼例子呢?
[00:04:15.900 --> 00:04:20.500]  就像英國的君主立憲
[00:04:20.500 --> 00:04:23.000]  就好像英國的君主立憲
[00:04:23.000 --> 00:04:26.700]  表面上是英女王說了算
[00:04:26.700 --> 00:04:31.000]  表面上就好像英女王說了算
