
[00:00:00.000 --> 00:00:05.400]  一路講使徒行傳裏面早期教會的開始
[00:00:05.400 --> 00:00:07.900]  你看到他們開始的時候
[00:00:07.900 --> 00:00:11.800]  當聖靈降臨這班人的身上
[00:00:11.800 --> 00:00:13.240]  他們得著能力
[00:00:13.240 --> 00:00:16.720]  初頭有120幾人這些信徒
[00:00:16.720 --> 00:00:20.440]  他們開始欣著使徒彼得、約翰
[00:00:20.440 --> 00:00:25.480]  他們能夠去勇敢去報導
[00:00:25.480 --> 00:00:29.560]  去講述這個以色列救恩的歷史
[00:00:29.560 --> 00:00:34.440]  當時在耶路撒冷過雨節的百姓
[00:00:34.440 --> 00:00:38.960]  甚至有很多是從海外僑居
[00:00:38.960 --> 00:00:41.760]  才回來過節
[00:00:41.760 --> 00:00:44.160]  聽到這個訊息的時候
[00:00:44.160 --> 00:00:48.480]  他們歡喜快樂地接受福音
[00:00:48.480 --> 00:00:50.280]  他們知道原來耶穌基督
[00:00:50.280 --> 00:00:53.520]  就是一位他們所盼望的尼塞亞
[00:00:53.520 --> 00:00:57.440]  才成就一個天國的事情
[00:00:57.440 --> 00:00:59.640]  以至於在地上要建立教會
[00:00:59.640 --> 00:01:01.960]  等待耶穌基督再回來
[00:01:01.960 --> 00:01:07.480]  所以他們當日彼得的講道
[00:01:07.480 --> 00:01:09.680]  有三千人信主
[00:01:09.680 --> 00:01:12.200]  後來一次的講道有五千人信主
[00:01:12.200 --> 00:01:14.320]  所以在短短的期間裏面
[00:01:14.320 --> 00:01:20.000]  有一萬人加入了耶路撒冷教會裏面
[00:01:20.000 --> 00:01:23.160]  教會人數增多
[00:01:23.160 --> 00:01:25.760]  一大群的人
[00:01:25.760 --> 00:01:28.680]  聖經用一個很美麗的形容詞去形容
[00:01:28.680 --> 00:01:30.480]  剛才我們讀三十二節
[00:01:30.480 --> 00:01:33.280]  許多的信徒一心一意
[00:01:33.280 --> 00:01:36.960]  沒有一個人說他的任何東西是自己的
[00:01:36.960 --> 00:01:39.040]  都是大家共用的
[00:01:39.040 --> 00:01:42.320]  這裡就開始早期教會的生活
[00:01:42.320 --> 00:01:44.520]  當然他們的生活
[00:01:44.520 --> 00:01:46.000]  他們要住在一起
[00:01:46.000 --> 00:01:47.760]  也有他的意思在這裡
[00:01:47.760 --> 00:01:50.760]  因為有很多是特別僑居海外的
[00:01:50.760 --> 00:01:54.080]  他所盼望的尼塞亞竟然已經到了
[00:01:54.080 --> 00:01:55.080]  來了
[00:01:55.080 --> 00:01:58.520]  他們覺得人生的方向目標是完全不同的
[00:01:58.520 --> 00:02:02.080]  他們願意能夠去一個教會共同的生活
[00:02:02.080 --> 00:02:08.200]  願意能夠有一個在眾人面前去分享
[00:02:08.200 --> 00:02:12.840]  所以他們甚至搬回來耶路撒冷裏面居住
[00:02:12.840 --> 00:02:17.920]  有些是因為他們在僑居的地方
[00:02:17.920 --> 00:02:19.160]  他們的物業
[00:02:19.160 --> 00:02:20.120]  他們的產業
[00:02:20.120 --> 00:02:22.320]  他們去結束
[00:02:22.320 --> 00:02:23.680]  他們變賣
[00:02:23.680 --> 00:02:26.800]  甚至是得到很多的金錢
[00:02:26.800 --> 00:02:31.320]  他們甚至很願意放到教會在使徒的面前
[00:02:31.320 --> 00:02:33.760]  讓他們一起使用
[00:02:33.760 --> 00:02:35.760]  一起能夠去發展
[00:02:35.760 --> 00:02:37.840]  能夠繼續的傳揚福音
[00:02:37.840 --> 00:02:40.400]  所以當時這些人
[00:02:40.400 --> 00:02:42.640]  他們願意走在一起
[00:02:42.640 --> 00:02:46.680]  甚至是在一個地區裏面一起生活
[00:02:46.680 --> 00:02:50.800]  所以就成為了早期教會的一個特色
[00:02:50.800 --> 00:02:54.120]  在一個特色裏面似乎一切都很好的時候
[00:02:54.120 --> 00:02:57.360]  當教會都發展得很順利的時候
[00:02:57.360 --> 00:03:00.200]  危機是會出現
[00:03:00.200 --> 00:03:02.320]  是無可避免的出現
[00:03:02.320 --> 00:03:05.800]  在經文裏面起碼會看到兩個危機
[00:03:05.800 --> 00:03:08.320]  第一個是侍奉上的危機
[00:03:08.320 --> 00:03:10.920]  第二個是合一上的危機
[00:03:10.920 --> 00:03:15.720]  這些危機都是從教會內部本身產生出來的
[00:03:15.720 --> 00:03:19.320]  以致可能會影響教會的發展
[00:03:19.320 --> 00:03:24.280]  影響早期教會的推進
[00:03:24.280 --> 00:03:27.000]  第一,在侍奉的危機裏面
[00:03:27.000 --> 00:03:28.720]  剛才我們已經看了
[00:03:28.720 --> 00:03:30.400]  他們是一心一意
[00:03:30.400 --> 00:03:34.560]  他們願意能夠將自己的東西放在面前
[00:03:34.560 --> 00:03:37.400]  大家繁脈共融
[00:03:37.400 --> 00:03:39.680]  但去到第五章
[00:03:39.680 --> 00:03:42.800]  第五章第一、第二節裏面說甚麼呢?
[00:03:42.800 --> 00:03:44.760]  有一個人名叫阿娜尼婭
[00:03:44.760 --> 00:03:46.520]  是妻子薩菲拉
[00:03:46.520 --> 00:03:48.040]  她賣了田地
[00:03:48.040 --> 00:03:52.160]  錢私自留了一部分
[00:03:52.160 --> 00:03:53.360]  而她的妻子也知道
[00:03:53.360 --> 00:03:57.320]  其餘的部分先拿出來放在仕途的面前
[00:03:57.320 --> 00:03:59.920]  其實在第四章和第五章中間
[00:03:59.920 --> 00:04:01.720]  是一個轉接詞
[00:04:01.720 --> 00:04:02.640]  那個轉接詞是甚麼呢?
