
[00:00:00.000 --> 00:00:03.080]  我們今天已經進入了第四季
[00:00:03.080 --> 00:00:04.240]  今年的季度
[00:00:04.240 --> 00:00:06.600]  今年的第四季的主題
[00:00:06.600 --> 00:00:09.240]  就是「渴慕獎賞」
[00:00:09.240 --> 00:00:12.480]  朱利經文是記載在菲律賓書
[00:00:12.480 --> 00:00:13.480]  我們一起唸一次好嗎?
[00:00:13.480 --> 00:00:14.880]  1 2 3
[00:00:14.880 --> 00:00:19.480]  弟兄們 我不是以為自己已經得著了
[00:00:19.480 --> 00:00:21.320]  我只有一件事
[00:00:21.320 --> 00:00:25.080]  就是忘記背後努力面前的
[00:00:25.080 --> 00:00:27.520]  向著標杆直跑
[00:00:27.520 --> 00:00:30.400]  「要得神在基督耶穌裡
[00:00:30.400 --> 00:00:34.440]  從上面召我來得的獎賞」
[00:00:34.440 --> 00:00:35.280]  Amen
[00:00:35.280 --> 00:00:36.680]  剛剛說得非常好
[00:00:36.680 --> 00:00:40.280]  讓我們知道三十年很精彩的已經過去了
[00:00:40.280 --> 00:00:41.400]  但是祝福的 你跟我說
[00:00:41.400 --> 00:00:46.200]  你未來三十年要更精彩 好嗎?
[00:00:46.200 --> 00:00:49.000]  對了 這個題目是說「渴慕獎賞」
[00:00:49.000 --> 00:00:52.560]  因為上一季我們已經說了很多關於人生的目標
[00:00:52.560 --> 00:00:54.240]  我們在地上生活的目標
[00:00:54.240 --> 00:00:57.600]  但是我不知道大家是否「渴慕獎賞」的人
[00:00:57.600 --> 00:00:59.800]  意思是說 這是獎賞
[00:00:59.800 --> 00:01:01.480]  可能是參加比賽
[00:01:01.480 --> 00:01:03.600]  這裡有多少人很喜歡參加比賽?
[00:01:03.600 --> 00:01:04.800]  有沒有?
[00:01:04.800 --> 00:01:05.960]  哇 默默這麼內向
[00:01:05.960 --> 00:01:07.880]  我們堂堂也沒有人舉手
[00:01:07.880 --> 00:01:09.040]  我們大部分
[00:01:09.040 --> 00:01:10.200]  都可以 給點掌聲
[00:01:10.200 --> 00:01:12.560]  這個竟然有人舉手
[00:01:12.560 --> 00:01:15.880]  是的 好像我們教會真的比較內向
[00:01:15.880 --> 00:01:16.760]  保守的人比較多
[00:01:16.760 --> 00:01:17.720]  其實你問我
[00:01:17.720 --> 00:01:20.400]  但是有些人是很喜歡比賽的
[00:01:20.400 --> 00:01:21.880]  很喜歡達標的
[00:01:21.880 --> 00:01:22.760]  但是我又不是
[00:01:22.760 --> 00:01:25.520]  我覺得我們也有很多人參加馬拉松的 是不是?
[00:01:25.520 --> 00:01:28.440]  渴慕是一個情懷
[00:01:28.440 --> 00:01:30.440]  真的是你很想很想擁有
[00:01:30.440 --> 00:01:33.160]  我不知道你人生當中有沒有這個情懷
[00:01:33.160 --> 00:01:34.320]  還是已經太老了
[00:01:34.320 --> 00:01:36.080]  以致你沒有什麼想的呢?
[00:01:36.080 --> 00:01:37.160]  不過我想告訴你
[00:01:37.160 --> 00:01:39.040]  現在是年輕人沒有什麼想的
[00:01:39.040 --> 00:01:40.360]  也挺可怕的
[00:01:40.360 --> 00:01:42.120]  我們小時候可能窮
[00:01:42.120 --> 00:01:43.880]  每樣都很渴望
[00:01:43.880 --> 00:01:45.080]  現在他們太富足了
[00:01:45.080 --> 00:01:46.840]  所以他們每樣都不渴望
[00:01:46.840 --> 00:01:48.960]  但是渴慕是應該
[00:01:48.960 --> 00:01:50.920]  你是想擁有那樣東西的
[00:01:50.920 --> 00:01:53.360]  甚至有些人是很強烈到
[00:01:53.360 --> 00:01:56.480]  是會不擇手段
[00:01:56.480 --> 00:01:58.440]  是要懼為己有的
[00:01:58.440 --> 00:02:01.160]  但是當然我們現在說的是屬靈的事
[00:02:01.160 --> 00:02:03.920]  我覺得這個感覺是應該
[00:02:03.920 --> 00:02:06.080]  你是想擁有的
[00:02:06.080 --> 00:02:07.720]  但是往往在上帝的裡面
[00:02:07.720 --> 00:02:09.480]  我們說要拿獎品
[00:02:09.480 --> 00:02:10.880]  是不是?獎勵
[00:02:10.880 --> 00:02:14.360]  總是覺得好像自己不是幾倍的
[00:02:14.360 --> 00:02:16.920]  就是覺得好像我們不太行的
[00:02:16.920 --> 00:02:18.640]  但是無論如何都好
[00:02:18.640 --> 00:02:20.160]  在經文裡面保羅說
[00:02:20.160 --> 00:02:22.120]  你要渴慕從上而來的
[00:02:22.120 --> 00:02:23.080]  就是獎賞
[00:02:23.080 --> 00:02:24.400]  那什麼叫獎賞呢?
[00:02:24.400 --> 00:02:27.800]  當然獎賞就一定不是禮物了
[00:02:27.800 --> 00:02:28.400]  OK?
[00:02:28.400 --> 00:02:30.480]  禮物是沒有條件的
[00:02:30.480 --> 00:02:31.320]  是不是?
[00:02:31.320 --> 00:02:32.960]  總之我送給你的
[00:02:32.960 --> 00:02:35.680]  但是如果你講的是獎品
[00:02:35.680 --> 00:02:36.800]  或者是獎賞
[00:02:36.800 --> 00:02:40.280]  應該它是需要達標
[00:02:40.280 --> 00:02:42.200]  才是可以得到的
[00:02:42.200 --> 00:02:44.680]  因為中堂都多家長
[00:02:44.680 --> 00:02:47.000]  我都題外話說兩句
[00:02:47.000 --> 00:02:49.040]  就是現在我們的下一代
[00:02:49.040 --> 00:02:51.120]  雖然它物質很豐富
[00:02:51.120 --> 00:02:52.680]  但是不知道為什麼
