
[00:00:00.000 --> 00:00:07.000]  今早我們繼續用安靜思想主耶穌基督的說話
[00:00:07.000 --> 00:00:13.000]  就是在八福山上昔日主對門徒
[00:00:13.000 --> 00:00:21.000]  以及今天對我們每一位所宣告的天國獻章的序言
[00:00:21.000 --> 00:00:23.000]  這個天國的八福
[00:00:23.000 --> 00:00:25.000]  我們知道這八個福氣
[00:00:25.000 --> 00:00:30.000]  是叫我們一群天國的子民
[00:00:30.000 --> 00:00:33.000]  或者將要成為天國的子民
[00:00:33.000 --> 00:00:36.000]  預備好迎接神的祝福
[00:00:36.000 --> 00:00:39.000]  也是告訴我們
[00:00:39.000 --> 00:00:42.000]  如何過一個真正的蒙福
[00:00:42.000 --> 00:00:45.000]  以及快樂的人生
[00:00:45.000 --> 00:00:51.000]  所以我們已經說過頭四個福氣
[00:00:51.000 --> 00:00:54.000]  今天我們來到第五個
[00:00:54.000 --> 00:00:56.000]  第四個是甚麼?
[00:00:56.000 --> 00:00:58.000]  第一個是甚麼有福?
[00:00:58.000 --> 00:01:00.000]  虛心有福
[00:01:00.000 --> 00:01:03.000]  第二個是哀動有福
[00:01:03.000 --> 00:01:06.000]  第三個是溫柔有福
[00:01:06.000 --> 00:01:10.000]  第四個是飢渴
[00:01:10.000 --> 00:01:13.000]  今天我們來到第五個
[00:01:13.000 --> 00:01:16.000]  知道是甚麼嗎?
[00:01:16.000 --> 00:01:18.000]  就是連率人的有福
[00:01:18.000 --> 00:01:19.000]  我們一起讀
[00:01:19.000 --> 00:01:22.000]  馬太福音第五章第七節
[00:01:22.000 --> 00:01:25.000]  連率人的有福了
[00:01:25.000 --> 00:01:28.000]  因為他們必蒙連率
[00:01:28.000 --> 00:01:29.000]  再讀一次
[00:01:29.000 --> 00:01:31.000]  連率人的人有福了
[00:01:31.000 --> 00:01:36.000]  因為他們必蒙連率
[00:01:36.000 --> 00:01:40.000]  不知道大家有沒有最近聽過流行的說話
[00:01:40.000 --> 00:01:44.000]  我也是從資訊那裡了解
[00:01:44.000 --> 00:01:48.000]  最近很多年青人或者家人
[00:01:48.000 --> 00:01:52.000]  喜歡說"You do you"
[00:01:52.000 --> 00:01:53.000]  有沒有聽過?
[00:01:53.000 --> 00:01:58.000]  "You do you"
[00:01:58.000 --> 00:01:59.000]  甚麼是"You do you"呢?
[00:01:59.000 --> 00:02:01.000]  不是"你做你"那種
[00:02:01.000 --> 00:02:06.000]  意思是甚麼你認為是快樂、開心的
[00:02:06.000 --> 00:02:07.000]  你就去做吧
[00:02:07.000 --> 00:02:09.000]  就是"You do you"
[00:02:09.000 --> 00:02:11.000]  你
[00:02:11.000 --> 00:02:14.000]  其實這個以我們自己來說
[00:02:14.000 --> 00:02:16.000]  第一身來說就是"I do I"
[00:02:16.000 --> 00:02:18.000]  "我喜歡甚麼就去做吧"
[00:02:18.000 --> 00:02:19.000]  或者世人今天都這樣說
[00:02:19.000 --> 00:02:21.000]  "你喜歡甚麼就去做吧"
[00:02:21.000 --> 00:02:26.000]  這就是快樂人生的秘訣
[00:02:26.000 --> 00:02:28.000]  是不是呢?
[00:02:28.000 --> 00:02:30.000]  我們看到這個時代
[00:02:30.000 --> 00:02:32.000]  周圍我們的文化
[00:02:32.000 --> 00:02:36.000]  都是一些自我中心
[00:02:36.000 --> 00:02:42.000]  自由放縱的一種趨向
[00:02:42.000 --> 00:02:43.000]  真正的快樂是甚麼呢?
[00:02:43.000 --> 00:02:45.000]  大家可能都經驗過
[00:02:45.000 --> 00:02:48.000]  特別我們信徒更加體會過
[00:02:48.000 --> 00:02:50.000]  就是我們真正的快樂
[00:02:50.000 --> 00:02:53.000]  不是說我們自己喜歡做甚麼就做甚麼
[00:02:53.000 --> 00:02:55.000]  是真正的快樂
[00:02:55.000 --> 00:02:56.000]  真正的快樂
