
[00:00:00.000 --> 00:00:10.000]  此錄音或錄影的版權,是屬基督教宣導會北角堂所有,
[00:00:10.000 --> 00:00:14.000]  我們的屬靈傳統之一,是以真理教導為本。
[00:00:14.000 --> 00:00:18.000]  歡迎你將此錄音或錄影的連結傳給親友,
[00:00:18.000 --> 00:00:24.000]  懇請注意未經授權,請勿轉錄,或剪輯本錄音或錄影。
[00:00:24.000 --> 00:00:30.000]  10月好似次度行轉20章32節中所講,這道能建立你們,
[00:00:30.000 --> 00:00:34.000]  叫你們和一切成聖的人同得基業。
[00:00:34.000 --> 00:00:44.000]  丙姊妹平安,剛才主席幫我們去讀這段經文的時候,
[00:00:44.000 --> 00:00:49.000]  我不知道你有沒有留意到在希伯來書他怎樣去稱呼耶穌,
[00:00:49.000 --> 00:00:54.000]  祂是誰?耶穌是我們的大祭司。
[00:00:54.000 --> 00:01:01.000]  耶穌我們的大祭司,在今天對你和我,有什麼重要的意義呢?
[00:01:01.000 --> 00:01:05.000]  讓我們在聆聽神話語之先,我們一起去禱告。
[00:01:05.000 --> 00:01:11.000]  主啊,你的話語是奧秘。
[00:01:11.000 --> 00:01:17.000]  倘若不是你自己的聖靈親自揭開,沒有人能夠明白。
[00:01:17.000 --> 00:01:22.000]  聖靈,我們懇求你親自去開我們的心票,
[00:01:22.000 --> 00:01:25.000]  讓我們去明白你自己的話語,
[00:01:25.000 --> 00:01:30.000]  也讓你自己的話語可以植根在我們的心裡面,
[00:01:30.000 --> 00:01:35.000]  讓我們可以持手帶著你自己的說話,
[00:01:35.000 --> 00:01:38.000]  在我們的生活當中去行出來,
[00:01:38.000 --> 00:01:40.000]  我們的禱告,奉陀諸耶穌基督,
[00:01:40.000 --> 00:01:42.000]  德性的名字而求。
[00:01:42.000 --> 00:01:48.000]  阿們。我今天跟大家分享經文的時候,
[00:01:48.000 --> 00:01:53.000]  想讓大家記住,是一個真理,兩個錦囊。
[00:01:53.000 --> 00:02:00.000]  我們首先去問一件事情,究竟祭司是什麼呢?
[00:02:00.000 --> 00:02:02.000]  祂是誰?祂其實是做什麼?
[00:02:02.000 --> 00:02:05.000]  可能很多弟兄姊妹都會回答,
[00:02:05.000 --> 00:02:11.000]  祂其實是代表神,祂將神的話語教導百姓。
[00:02:11.000 --> 00:02:17.000]  另外,祭司和養地,祂是代表人去侍奉和獻祭給神。
[00:02:17.000 --> 00:02:24.000]  所以祭司是誰?祂其實就是上帝和人之間的橋樑。
[00:02:24.000 --> 00:02:27.000]  這個橋樑有什麼重要性呢?
[00:02:27.000 --> 00:02:34.000]  其實希伯來書在剛才我們讀的五章一至十節裡面,
[00:02:34.000 --> 00:02:38.000]  祂就很仔細地去對比救約的大祭司,
[00:02:38.000 --> 00:02:42.000]  和基督作為大祭司的對比。
[00:02:42.000 --> 00:02:48.000]  我們嘗試用圖表幫大家了解和更加清楚。
[00:02:48.000 --> 00:02:54.000]  在五章一節的時候,祂說救約大祭司的資格,
[00:02:54.000 --> 00:02:57.000]  在一章四節裡面,其實祂有四個資格。
[00:02:57.000 --> 00:02:59.000]  第一個資格是什麼?
[00:02:59.000 --> 00:03:02.000]  就是祂是從人間揀選出來的,
[00:03:02.000 --> 00:03:05.000]  祂是從百姓當中的代表。
[00:03:05.000 --> 00:03:08.000]  然後祂是做什麼的?
[00:03:08.000 --> 00:03:12.000]  祂是扮演有關神的事情,祂特別是為罪去獻祭,
[00:03:12.000 --> 00:03:16.000]  所以祂是和百姓區分出來的。
[00:03:16.000 --> 00:03:20.000]  同時間第三個的特質是什麼?
[00:03:20.000 --> 00:03:23.000]  就是祂能夠體諒一些的罪人,
[00:03:23.000 --> 00:03:26.000]  因為祂自己都是軟弱的,
[00:03:26.000 --> 00:03:30.000]  所以祭司祂可以和百姓去認同。
[00:03:30.000 --> 00:03:33.000]  而第四個資格是什麼?
[00:03:33.000 --> 00:03:37.000]  就是祂是蒙神呼召作這個大祭司,
[00:03:37.000 --> 00:03:41.000]  就好像亞倫的類別一樣。
[00:03:41.000 --> 00:03:44.000]  所以我們在這個經文裡面,
[00:03:44.000 --> 00:03:49.000]  我們看到有四個是關於救約大祭司的資格。
[00:03:49.000 --> 00:03:52.000]  總括來說,我們可以去看是什麼?
[00:03:52.000 --> 00:03:55.000]  就是祂是蒙神揀選,
[00:03:55.000 --> 00:03:57.000]  與百姓有區別。
[00:03:57.000 --> 00:04:02.000]  同樣地祂是代表百姓去獻祭,
[00:04:02.000 --> 00:04:05.000]  祂是從人間的時候去有軟弱,
[00:04:05.000 --> 00:04:07.000]  同時間祂都可以認同人。
[00:04:07.000 --> 00:04:11.000]  所以有區別和能夠認同人,
[00:04:11.000 --> 00:04:14.000]  就是救約大祭司祂的講話,
[00:04:14.000 --> 00:04:16.000]  祭司的特質。
[00:04:16.000 --> 00:04:18.000]  我們又會去看,
[00:04:18.000 --> 00:04:20.000]  如果是這樣的時候,
[00:04:20.000 --> 00:04:23.000]  祭司作為上帝和人之間的橋樑,
[00:04:23.000 --> 00:04:25.000]  可能我們都會問兩個問題,
[00:04:25.000 --> 00:04:28.000]  就是祭司既然祂是來自百姓,
[00:04:28.000 --> 00:04:30.000]  祂是被軟弱所困,
[00:04:30.000 --> 00:04:33.000]  那為什麼祂可以代表神呢?
[00:04:33.000 --> 00:04:35.000]  剛才我們讀過了,
[00:04:35.000 --> 00:04:38.000]  祂可以代表神不是因為祂自己要做的,
[00:04:38.000 --> 00:04:40.000]  而是祂是蒙神呼召的,
[00:04:40.000 --> 00:04:42.000]  所以祂是神去揀的,
[00:04:42.000 --> 00:04:46.000]  所以祂可以站在那個位置去代表神。
[00:04:46.000 --> 00:04:49.000]  第二個問題我們就會去問,
[00:04:49.000 --> 00:04:51.000]  如果祭司祂是來自百姓,
[00:04:51.000 --> 00:04:53.000]  祂又有軟弱,
[00:04:53.000 --> 00:04:57.000]  那祂為什麼可以站在代表人這個位置上面呢?
[00:04:57.000 --> 00:04:59.000]  我們剛才去讀,
[00:04:59.000 --> 00:05:01.000]  祭司祂其實呢,
[00:05:01.000 --> 00:05:03.000]  為到百姓去憲制的時候,
[00:05:03.000 --> 00:05:06.000]  祂同樣都要為自己去憲制,
[00:05:06.000 --> 00:05:08.000]  就好像舊約我們去看,
[00:05:08.000 --> 00:05:10.000]  在贖罪日的時候,
[00:05:10.000 --> 00:05:12.000]  祭司要為百姓憲制之先,
[00:05:12.000 --> 00:05:16.000]  祂要為自己和祂的本家去贖罪,
[00:05:16.000 --> 00:05:19.000]  唯有處理了祂自己的罪的時候,
[00:05:19.000 --> 00:05:21.000]  祭司才有資格,
[00:05:21.000 --> 00:05:24.000]  可以站在代表人這個位置上面,
[00:05:24.000 --> 00:05:27.000]  去為百姓祂去贖罪代求,
[00:05:27.000 --> 00:05:31.000]  就好像第一任的大祭司阿倫那樣,
[00:05:31.000 --> 00:05:33.000]  那我們又會去看,
[00:05:33.000 --> 00:05:36.000]  原來大祭司這個系統都幾好,
[00:05:36.000 --> 00:05:40.000]  但是出現了一個什麼的問題呢?
[00:05:40.000 --> 00:05:41.000]  我們就會去看,
