
[00:00:00.000 --> 00:00:02.000]  丁宏思明平安
[00:00:02.000 --> 00:00:04.000]  平安
[00:00:04.000 --> 00:00:06.000]  很感恩和大家一起
[00:00:06.000 --> 00:00:08.000]  在這裏敬拜我們的神
[00:00:08.000 --> 00:00:10.000]  我想問大家一個問題
[00:00:10.000 --> 00:00:12.000]  在我們中間有超過
[00:00:12.000 --> 00:00:14.000]  在這間教會超過
[00:00:14.000 --> 00:00:16.000]  來這間教會十年以上的
[00:00:16.000 --> 00:00:18.000]  舉一下手讓我看看好不好
[00:00:18.000 --> 00:00:20.000]  這麼多十年以上
[00:00:20.000 --> 00:00:22.000]  好那就是這些人
[00:00:22.000 --> 00:00:24.000]  你暫時先放下來
[00:00:24.000 --> 00:00:26.000]  我接着問
[00:00:26.000 --> 00:00:28.000]  各位在這間教會
[00:00:28.000 --> 00:00:30.000]  包括國語堂 粵語堂好了
[00:00:30.000 --> 00:00:32.000]  在整個教會當中
[00:00:32.000 --> 00:00:34.000]  你能夠說出這間教會
[00:00:34.000 --> 00:00:36.000]  一百個名字
[00:00:36.000 --> 00:00:38.000]  大體繼續舉手
[00:00:38.000 --> 00:00:42.000]  一下子少了這麼多
[00:00:42.000 --> 00:00:44.000]  不是大體就好了
[00:00:44.000 --> 00:00:46.000]  大體你也不用現在數
[00:00:46.000 --> 00:00:50.000]  就很少了
[00:00:50.000 --> 00:00:52.000]  好那我接着問
[00:00:52.000 --> 00:00:54.000]  沒想到第二輪刷了這麼多
[00:00:54.000 --> 00:00:56.000]  我應該降低點標準
[00:00:56.000 --> 00:00:58.000]  很好
[00:00:58.000 --> 00:01:00.000]  在這一百個你認識
[00:01:00.000 --> 00:01:02.000]  你知道他的名字你認識他嗎
[00:01:02.000 --> 00:01:04.000]  你認識的這一百個弟兄姊妹當中
[00:01:04.000 --> 00:01:08.000]  你知道他們今天
[00:01:08.000 --> 00:01:10.000]  他們現在目前的生活情況
[00:01:10.000 --> 00:01:12.000]  他們所面對的挑戰
[00:01:12.000 --> 00:01:14.000]  他們生活中的掙扎痛苦
[00:01:14.000 --> 00:01:16.000]  煩惱如果你知道
[00:01:16.000 --> 00:01:18.000]  有二十個的繼續舉下手
[00:01:18.000 --> 00:01:20.000]  感謝主
[00:01:20.000 --> 00:01:22.000]  感謝主
[00:01:22.000 --> 00:01:24.000]  如果你這三輪都過了的話
[00:01:24.000 --> 00:01:26.000]  我爲你感恩
[00:01:26.000 --> 00:01:28.000]  弟兄姊妹
[00:01:28.000 --> 00:01:30.000]  我們今天來到羅馬書
[00:01:30.000 --> 00:01:32.000]  最後一章
[00:01:32.000 --> 00:01:34.000]  這一段的經文
[00:01:34.000 --> 00:01:36.000]  我沒有勇氣讓大家從第一節
[00:01:36.000 --> 00:01:38.000]  一直到十七節讀下來
[00:01:38.000 --> 00:01:40.000]  爲什麼呢其實整個你如果讀下來
[00:01:40.000 --> 00:01:42.000]  你會發現全都是人的名字
[00:01:42.000 --> 00:01:44.000]  我們讀完了羅馬書了
[00:01:44.000 --> 00:01:46.000]  整個陳導
[00:01:46.000 --> 00:01:48.000]  我記得上一次我講到是講
[00:01:48.000 --> 00:01:50.000]  羅馬書第一章你們還記得嗎
[00:01:50.000 --> 00:01:52.000]  我們這一次把整個羅馬書讀下來
[00:01:52.000 --> 00:01:54.000]  羅馬書的寶貴
[00:01:54.000 --> 00:01:56.000]  和重要我們都知道了
[00:01:56.000 --> 00:01:58.000]  羅馬書太重要了
[00:01:58.000 --> 00:02:00.000]  因爲它是整個非常系統
[00:02:00.000 --> 00:02:02.000]  非常條理的
[00:02:02.000 --> 00:02:04.000]  保羅好像一篇神學論文一樣
[00:02:04.000 --> 00:02:06.000]  把神因性稱義的救恩
[00:02:06.000 --> 00:02:08.000]  闡述得那麼樣的清楚
[00:02:08.000 --> 00:02:10.000]  保羅好像一個
[00:02:10.000 --> 00:02:12.000]  神啓示的
[00:02:12.000 --> 00:02:14.000]  一個出口一樣
[00:02:14.000 --> 00:02:16.000]  把神永恆的旨意
[00:02:16.000 --> 00:02:18.000]  清清楚楚地闡述在我們的中間
[00:02:18.000 --> 00:02:20.000]  他全倍的救恩計劃
[00:02:20.000 --> 00:02:22.000]  他偉大的救恩真理
[00:02:22.000 --> 00:02:24.000]  都在羅馬書向我們講明白了
[00:02:24.000 --> 00:02:26.000]  但是呢
[00:02:26.000 --> 00:02:28.000]  你從第一章讀到第十五章
[00:02:28.000 --> 00:02:30.000]  你會覺得好崇高
[00:02:30.000 --> 00:02:32.000]  好偉大
[00:02:32.000 --> 00:02:34.000]  一讀到第十六章
[00:02:34.000 --> 00:02:36.000]  出現了好像一個電話本一樣
[00:02:36.000 --> 00:02:38.000]  出現了一連串
[00:02:38.000 --> 00:02:40.000]  二十幾個名字羅列在這裏
[00:02:40.000 --> 00:02:42.000]  你突然發現一件事情
[00:02:42.000 --> 00:02:44.000]  這位
[00:02:44.000 --> 00:02:46.000]  保羅
[00:02:46.000 --> 00:02:48.000]  你以爲他是個神學家你知道嗎
[00:02:48.000 --> 00:02:50.000]  你讀到十五章的時候
