
[00:00:00.000 --> 00:00:02.000]  我們一齊同心的祈禱
[00:00:02.000 --> 00:00:04.000]  親愛的天父,多謝祢
[00:00:04.000 --> 00:00:06.000]  我們可以一齊敬拜祢
[00:00:06.000 --> 00:00:08.000]  多謝祢
[00:00:08.000 --> 00:00:10.000]  拯救我們
[00:00:10.000 --> 00:00:12.000]  讓我們成為一個敬拜的群體
[00:00:12.000 --> 00:00:14.000]  讓我們成為
[00:00:14.000 --> 00:00:16.000]  上帝家裡面的人
[00:00:16.000 --> 00:00:18.000]  求祢向我們說話
[00:00:18.000 --> 00:00:20.000]  求祢顯明
[00:00:20.000 --> 00:00:22.000]  祢在我們
[00:00:22.000 --> 00:00:24.000]  生命的那個心意
[00:00:24.000 --> 00:00:26.000]  我們來到敬拜
[00:00:26.000 --> 00:00:28.000]  願祢月亮,奉耶穌
[00:00:28.000 --> 00:00:30.000]  聖名祈禱,阿門
[00:00:30.000 --> 00:00:34.000]  我不知道有多少弟兄姊妹
[00:00:34.000 --> 00:00:36.000]  你來到
[00:00:36.000 --> 00:00:38.000]  參加
[00:00:38.000 --> 00:00:40.000]  如月節的晚餐
[00:00:40.000 --> 00:00:42.000]  有沒有試過
[00:00:42.000 --> 00:00:44.000]  也不是太多人
[00:00:44.000 --> 00:00:46.000]  試過
[00:00:46.000 --> 00:00:48.000]  有幾位弟兄姊妹
[00:00:48.000 --> 00:00:50.000]  今天想和大家
[00:00:50.000 --> 00:00:52.000]  來思想
[00:00:52.000 --> 00:00:54.000]  如月節
[00:00:54.000 --> 00:00:56.000]  很多時候
[00:00:56.000 --> 00:00:58.000]  我們會思想
[00:00:58.000 --> 00:01:00.000]  主餐
[00:01:00.000 --> 00:01:02.000]  但我們比較少
[00:01:02.000 --> 00:01:04.000]  來思想
[00:01:04.000 --> 00:01:06.000]  如月節
[00:01:06.000 --> 00:01:08.000]  很多年前
[00:01:08.000 --> 00:01:10.000]  有一個調查
[00:01:10.000 --> 00:01:14.000]  在青少年的群體
[00:01:14.000 --> 00:01:16.000]  信義代
[00:01:16.000 --> 00:01:18.000]  只是佔了20%
[00:01:18.000 --> 00:01:20.000]  什麼叫信義代呢?
[00:01:20.000 --> 00:01:22.000]  信義代
[00:01:22.000 --> 00:01:24.000]  其實就是說
[00:01:24.000 --> 00:01:26.000]  你家裡的父母
[00:01:26.000 --> 00:01:28.000]  是基督徒
[00:01:28.000 --> 00:01:32.000]  你是信仰的第二代
[00:01:32.000 --> 00:01:34.000]  有多少弟兄姊妹
[00:01:34.000 --> 00:01:36.000]  你是信義代的
[00:01:36.000 --> 00:01:38.000]  即是你父母是基督徒
[00:01:38.000 --> 00:01:42.000]  有幾位
[00:01:42.000 --> 00:01:44.000]  這個說
[00:01:44.000 --> 00:01:46.000]  青少年的群體
[00:01:46.000 --> 00:01:48.000]  今天,幾年前我做了統計
[00:01:48.000 --> 00:01:50.000]  有20%
[00:01:50.000 --> 00:01:52.000]  信義代
[00:01:54.000 --> 00:01:56.000]  你會想
[00:01:56.000 --> 00:01:58.000]  如果調查
[00:01:58.000 --> 00:02:00.000]  有多少弟兄姊妹
[00:02:00.000 --> 00:02:02.000]  是信義代
[00:02:02.000 --> 00:02:04.000]  你會得到一個答案
[00:02:04.000 --> 00:02:06.000]  我想比較多
[00:02:06.000 --> 00:02:08.000]  起碼8成
[00:02:08.000 --> 00:02:10.000]  都是信義代
[00:02:10.000 --> 00:02:12.000]  很多父母
