
[00:00:00.000 --> 00:00:06.720]  第一件事是告訴我們有關天國子民的品德性質是甚麼
[00:00:06.720 --> 00:00:11.520]  第二件事就是進入天國的態度
[00:00:11.520 --> 00:00:15.600]  第三件事就是告訴我們有關天國子民
[00:00:15.600 --> 00:00:20.240]  如果你是天國子民的時候你的價值觀應該是怎樣的
[00:00:20.240 --> 00:00:24.080]  在這三件事裏面
[00:00:24.080 --> 00:00:27.120]  主耶穌隱藏了
[00:00:27.120 --> 00:00:31.280]  或者我們需要留意讀到的
[00:00:31.280 --> 00:00:35.120]  就是關於謙卑的一些教導
[00:00:35.120 --> 00:00:38.000]  在當中到底有多重要
[00:00:38.000 --> 00:00:42.720]  謙卑在這三件事的角色當中到底有多重要
[00:00:42.720 --> 00:00:45.600]  今天當我們要學習謙卑的時候
[00:00:45.600 --> 00:00:50.800]  由這三件事當中我們就可以看到活生生的實例
[00:00:50.800 --> 00:00:54.160]  不會憑空講一下謙卑到底是怎樣
[00:00:54.160 --> 00:00:56.080]  到底應該做些甚麼
[00:00:56.080 --> 00:00:59.360]  今天這三件事都有些實例
[00:00:59.360 --> 00:01:01.760]  第一件事我們去看一下
[00:01:01.760 --> 00:01:06.640]  就是由第十三節到三十一節的一件事
[00:01:06.640 --> 00:01:10.720]  第十三節到十六節的一件事
[00:01:10.720 --> 00:01:16.720]  在第十三節一開始就提到有人帶著小孩子來見耶穌
[00:01:16.720 --> 00:01:18.720]  要耶穌摸他們
[00:01:18.720 --> 00:01:20.880]  門徒便責備他們
[00:01:20.880 --> 00:01:22.880]  短短一句說話
[00:01:22.880 --> 00:01:24.640]  一節的經文
[00:01:24.640 --> 00:01:26.640]  好像很平凡
[00:01:26.640 --> 00:01:29.280]  將一件事帶出來了
[00:01:29.280 --> 00:01:30.880]  有人帶著小孩子來
[00:01:30.880 --> 00:01:33.760]  然後門徒便責備他們
[00:01:33.760 --> 00:01:39.840]  但是馬可福音對這個畫面描繪得很生動
[00:01:39.840 --> 00:01:42.960]  如果你讀馬可福音是讀原文的
[00:01:42.960 --> 00:01:44.960]  假設我們都讀原文
[00:01:44.960 --> 00:01:47.360]  我們讀原文的時候就會發覺到
[00:01:47.360 --> 00:01:49.360]  它有很多描寫
[00:01:49.360 --> 00:01:52.640]  給你有許許如生的那種感覺
[00:01:52.640 --> 00:01:55.440]  好像你在看一部電影
[00:01:55.440 --> 00:01:58.960]  看到那些角色在動作
[00:01:58.960 --> 00:02:02.480]  原來在這一句這麼簡單的描繪當中
[00:02:02.480 --> 00:02:08.000]  你會發覺到作者用了兩個過去進行式的動詞
[00:02:08.000 --> 00:02:11.600]  Past continuous tense
[00:02:11.600 --> 00:02:16.000]  在這個進行式的動詞當中
[00:02:16.000 --> 00:02:18.000]  這兩個動詞是什麼
[00:02:18.000 --> 00:02:20.000]  第一個是帶著
[00:02:20.000 --> 00:02:22.000]  第二個就是責備
[00:02:22.000 --> 00:02:24.880]  給我們看到的畫面是什麼
[00:02:24.880 --> 00:02:27.920]  就是很多人穿樓不息的
[00:02:27.920 --> 00:02:29.920]  帶著小孩來
