
[00:00:00.000 --> 00:00:02.000]  請各位兄弟姐妹平安
[00:00:30.000 --> 00:00:34.000]  讓你的話語都成為我們腳前的燈 腦上的光
[00:00:34.000 --> 00:00:37.000]  讓我們能夠活出你自己的聖言
[00:00:37.000 --> 00:00:40.000]  幫助你自己孩子所說的話講得清楚明白
[00:00:40.000 --> 00:00:43.000]  又讓每一個孩子心裡感動
[00:00:43.000 --> 00:00:45.000]  天父我們實在多謝你
[00:00:45.000 --> 00:00:46.000]  多謝你聽我們的禱告
[00:00:46.000 --> 00:00:49.000]  奉耶穌基督得聖的名字祈求
[00:00:49.000 --> 00:00:50.000]  阿們
[00:00:50.000 --> 00:00:53.000]  今天是章林期的第二主日
[00:00:53.000 --> 00:00:56.000]  是我們紀念耶穌基督降生的日子
[00:00:56.000 --> 00:01:00.000]  當我們想馬尼亞這個名字對大家都不一定陌生
[00:01:00.000 --> 00:01:01.000]  因為都很熟
[00:01:01.000 --> 00:01:04.000]  不過我們認不認得馬尼亞她的個性
[00:01:04.000 --> 00:01:10.000]  和在當中她今天神透過她自己的訊息給我們甚麼學習
[00:01:10.000 --> 00:01:14.000]  就是我們要明白我們每一個她的孩子
[00:01:14.000 --> 00:01:16.000]  其實我們都很想有福
[00:01:16.000 --> 00:01:20.000]  我們詩歌都唱過有福的確句
[00:01:20.000 --> 00:01:23.000]  不過大家明不明白甚麼叫有福呢
[00:01:23.000 --> 00:01:27.000]  有福在耶穌基督他自己親自詮釋的裏面
[00:01:27.000 --> 00:01:28.000]  是怎樣說呢
[00:01:28.000 --> 00:01:32.000]  我們怎樣活出一個有福的人生呢
[00:01:32.000 --> 00:01:35.000]  這個有福的人生對於我們在今生的裏面
[00:01:35.000 --> 00:01:38.000]  當我們奔走天路歷程的時候
[00:01:38.000 --> 00:01:40.000]  我們怎樣去幫助我們
[00:01:40.000 --> 00:01:43.000]  去能夠完成神給我們的工作
[00:01:43.000 --> 00:01:45.000]  今天我們就透過馬尼亞
[00:01:45.000 --> 00:01:47.000]  她在這段經文裏面
[00:01:47.000 --> 00:01:49.000]  這個文本裏面
[00:01:49.000 --> 00:01:50.000]  讓我們一起學習
[00:01:50.000 --> 00:01:52.000]  亦都給我們有好的啟迪
[00:01:52.000 --> 00:01:56.000]  願聖靈在當中親自對我們的傳喚
[00:01:56.000 --> 00:01:59.000]  馬尼亞其實這個名我們都不陌生
[00:01:59.000 --> 00:02:01.000]  不過我們認識她
[00:02:01.000 --> 00:02:05.000]  只是停留在原來她就是耶穌基督
[00:02:05.000 --> 00:02:10.000]  她身上一個屬地的媽媽的角色
[00:02:10.000 --> 00:02:13.000]  我們都會問其實馬尼亞是誰呢
[00:02:13.000 --> 00:02:15.000]  其實四卷福音書裏面
[00:02:15.000 --> 00:02:20.000]  對馬尼亞的描寫或者介紹其實有多少呢
[00:02:20.000 --> 00:02:22.000]  她和我們有什麼關係呢
[00:02:22.000 --> 00:02:24.000]  我們讀完她的經文之後
[00:02:24.000 --> 00:02:28.000]  她的故事裏面給我們有什麼啟迪呢
[00:02:28.000 --> 00:02:30.000]  聖靈在當中她怎樣呢
[00:02:30.000 --> 00:02:34.000]  所以我們今天就要學習
[00:02:34.000 --> 00:02:36.000]  馬尼亞她為什麼會有福
[00:02:36.000 --> 00:02:39.000]  耶穌基督怎樣去告訴我們
[00:02:39.000 --> 00:02:41.000]  怎樣做一個有福的人
[00:02:41.000 --> 00:02:43.000]  我們有福我們都很想
[00:02:43.000 --> 00:02:46.000]  但我們怎樣活出有福呢
[00:02:46.000 --> 00:02:52.000]  天使去傳播關於彌撒亞降臨的消息的時候
[00:02:52.000 --> 00:02:58.000]  她訪問一個名不見傳一個小人物馬尼亞
[00:02:58.000 --> 00:03:01.000]  這個人物當然在當地的時候
[00:03:01.000 --> 00:03:03.000]  大家都會覺得馬尼亞只是一個小人物
[00:03:03.000 --> 00:03:06.000]  因為她其實又不是很出名
[00:03:06.000 --> 00:03:08.000]  又不是富翁又不是富婆
[00:03:08.000 --> 00:03:13.000]  不過神就是透過她給世人一個很大的禮物
[00:03:13.000 --> 00:03:17.000]  這個禮物就是要降生她的孩子
[00:03:17.000 --> 00:03:21.000]  就是將神的孩子帶入這個世界裏面
[00:03:21.000 --> 00:03:26.000]  《路加福音》就是這樣去記載這個震驚全宇宙一個的佳音
[00:03:26.000 --> 00:03:32.000]  馬尼亞她是要成為神應許彌賽亞的之母
[00:03:32.000 --> 00:03:38.000]  因為耶穌祂是要將自己的百姓從罪類救出來
[00:03:38.000 --> 00:03:41.000]  我們看完四卷的福音書
[00:03:41.000 --> 00:03:47.000]  其實我們都不是很認識馬尼亞的原生家庭究竟是怎樣
[00:03:47.000 --> 00:03:51.000]  不過我們只知道她的未婚夫叫約瑟
