
[00:00:00.000 --> 00:00:05.720]  我們讀一段聖經在貼山論迦前書第五章十六到第十八節
[00:00:05.720 --> 00:00:09.160]  在這裡說要
[00:00:09.160 --> 00:00:15.400]  常常喜樂不住的禱告凡事謝恩
[00:00:15.400 --> 00:00:19.920]  因為這是神在基督耶穌裡向你們所定的旨意
[00:00:19.920 --> 00:00:21.560]  各位姐妹
[00:00:21.560 --> 00:00:24.640]  這個禮拜四就是感恩節了
[00:00:24.640 --> 00:00:28.560]  今年的感恩節是一個很不一樣的感恩節
[00:00:28.560 --> 00:00:31.920]  由於新冠病毒的疫情越來越嚴重
[00:00:31.920 --> 00:00:36.160]  不但餐廳教會都不能夠在室內聚集
[00:00:36.160 --> 00:00:40.840]  而且連在家裡家人的聚集也不能超過十個人
[00:00:40.840 --> 00:00:45.200]  所以今年的火雞大餐一定要大大縮水一下
[00:00:45.200 --> 00:00:47.400]  要選擇小一點的火雞
[00:00:47.400 --> 00:00:50.400]  否則就永遠吃不完了
[00:00:50.400 --> 00:00:54.040]  有很多人問說今年那麼的艱難
[00:00:54.040 --> 00:00:56.480]  我們又有什麼好感恩的呢
[00:00:57.520 --> 00:01:03.640]  其實今年並不是我們所唯一經歷過的全球性的危機
[00:01:03.640 --> 00:01:05.400]  在二零零一年的時候
[00:01:05.400 --> 00:01:10.480]  我們經歷過九一一恐怖分子籠罩全球的危機
[00:01:10.480 --> 00:01:13.240]  在二零零八年的時候
[00:01:13.240 --> 00:01:16.840]  我們經歷過全球的金融危機
[00:01:16.840 --> 00:01:18.720]  而當我們回頭看的時候
[00:01:18.720 --> 00:01:21.360]  我們真的要說是神信實的手
[00:01:21.360 --> 00:01:25.640]  一步步帶領我們經過重重的危機
[00:01:25.640 --> 00:01:28.840]  所以我相信這一次也不例外
[00:01:28.840 --> 00:01:34.000]  神的手過去怎麼樣引導我們能夠走上平安的道路
[00:01:34.000 --> 00:01:39.840]  這一次照樣神的手要帶領我們能夠平安的度過
[00:01:39.840 --> 00:01:43.000]  這為什麼保羅在天上的五章十六節說
[00:01:43.000 --> 00:01:47.600]  要常常喜樂不住的禱告凡事謝恩
