
[00:00:00.000 --> 00:00:02.260]  我不知大家去傳福音的時候
[00:00:02.260 --> 00:00:04.600]  有沒有這些人的反應就是
[00:00:04.600 --> 00:00:05.960]  有沒有叫我信
[00:00:05.960 --> 00:00:07.040]  信了耶穌
[00:00:07.040 --> 00:00:08.100]  這件事又不准做
[00:00:08.100 --> 00:00:10.080]  那件事又不准做
[00:00:10.080 --> 00:00:11.340]  我有一個很深的印象
[00:00:11.340 --> 00:00:12.780]  就是我剛剛做傳道人
[00:00:12.780 --> 00:00:14.840]  第一個要探訪的家庭
[00:00:14.840 --> 00:00:17.880]  因為他的媽媽和三個兒女都回了我的教會
[00:00:17.880 --> 00:00:18.740]  很好啊
[00:00:18.740 --> 00:00:21.220]  他們現在確有所成
[00:00:21.220 --> 00:00:22.680]  兒子已經做了校長
[00:00:22.680 --> 00:00:24.020]  女兒也是做了主任
[00:00:24.020 --> 00:00:25.560]  即是學校的主任
[00:00:25.560 --> 00:00:28.400]  我記得有一次我上去探望他
[00:00:28.400 --> 00:00:30.300]  他正在吃晚飯
[00:00:30.300 --> 00:00:31.800]  用現在來說
[00:00:31.800 --> 00:00:35.600]  那個人是做物流的
[00:00:35.600 --> 00:00:38.100]  但那個時候的意思是做搬運的
[00:00:38.100 --> 00:00:39.140]  我就說
[00:00:39.140 --> 00:00:41.440]  你家人都回了教會
[00:00:41.440 --> 00:00:43.140]  不如你也回去信耶穌
[00:00:43.140 --> 00:00:43.780]  神經病
[00:00:43.780 --> 00:00:44.640]  做什麼
[00:00:44.640 --> 00:00:45.880]  信耶穌
[00:00:45.880 --> 00:00:46.780]  這件事又不准做
[00:00:46.780 --> 00:00:47.620]  那件事又不准做
[00:00:47.620 --> 00:00:49.020]  什麼自由都沒有
[00:00:49.020 --> 00:00:49.780]  那
[00:00:49.780 --> 00:00:50.620]  要信一下
[00:00:50.620 --> 00:00:51.520]  我說是嗎
[00:00:51.520 --> 00:00:52.720]  什麼自由都沒有嗎
[00:00:52.720 --> 00:00:54.460]  我說哪些東西沒有自由
[00:00:54.460 --> 00:00:56.120]  他就在耍我
[00:00:56.120 --> 00:00:59.520]  擔著口煙
[00:00:59.520 --> 00:01:01.960]  你是基督徒可不可以吸煙呢
[00:01:01.960 --> 00:01:03.760]  我說真的不能吸煙
[00:01:03.760 --> 00:01:04.740]  我說是啊
[00:01:04.740 --> 00:01:05.940]  你也不能吸煙
[00:01:05.940 --> 00:01:08.100]  什麼我不能吸煙
[00:01:08.100 --> 00:01:09.640]  我說你是噴煙而已
[00:01:09.640 --> 00:01:10.680]  你吸了也不是噴
[00:01:10.680 --> 00:01:12.700]  是這樣吸的
[00:01:12.700 --> 00:01:14.340]  你有吸過煙嗎
[00:01:14.340 --> 00:01:15.380]  我就說
[00:01:15.380 --> 00:01:17.740]  做基督徒其實也可以吸煙
[00:01:17.740 --> 00:01:19.380]  聖經沒有說不可以
[00:01:19.380 --> 00:01:22.080]  吸煙不影響你的德格
[00:01:22.080 --> 00:01:24.580]  但會影響你早點見耶穌
[00:01:24.580 --> 00:01:26.260]  那我就問
[00:01:26.260 --> 00:01:27.960]  那你不吸煙會怎樣
[00:01:27.960 --> 00:01:29.560]  可能你們沒聽過這個術語
[00:01:29.560 --> 00:01:30.700]  是那個年代的
[00:01:30.700 --> 00:01:32.560]  那我就會吊煙龜
[00:01:32.560 --> 00:01:34.600]  吸煙吸得多叫煙鏟
[00:01:34.600 --> 00:01:35.600]  就是
[00:01:35.600 --> 00:01:37.640]  吸煙很辛苦叫吊煙龜
[00:01:37.640 --> 00:01:38.140]  什麼意思
[00:01:38.140 --> 00:01:40.300]  就說我會很辛苦
[00:01:40.300 --> 00:01:41.140]  哦
[00:01:41.140 --> 00:01:42.480]  那我就說就是了
[00:01:42.480 --> 00:01:43.900]  我就經常跟他說
[00:01:43.900 --> 00:01:46.580]  我是有自由去吸煙的
[00:01:46.580 --> 00:01:49.380]  不過我是運用了我的自由權
[00:01:49.380 --> 00:01:51.780]  放棄不吸煙而已
[00:01:51.780 --> 00:01:53.480]  你不吸煙很辛苦
[00:01:53.480 --> 00:01:54.620]  但我不吸煙
[00:01:54.620 --> 00:01:56.020]  我一點也不辛苦
[00:01:56.020 --> 00:01:57.960]  他當然不忿氣了
[00:01:57.960 --> 00:02:00.020]  然後他又駁嘴了
[00:02:00.020 --> 00:02:01.560]  那你能不能喝酒
[00:02:01.560 --> 00:02:02.760]  因為在吃飯
[00:02:02.760 --> 00:02:04.300]  那些很傳統的
[00:02:04.300 --> 00:02:05.860]  斬一大塊叉燒
[00:02:05.860 --> 00:02:08.300]  喝一杯肉冰燒那些
[00:02:08.300 --> 00:02:10.100]  那聖經又說
[00:02:10.100 --> 00:02:11.940]  是可以喝酒的
[00:02:11.940 --> 00:02:14.540]  身體不好可以喝一點點酒
[00:02:14.540 --> 00:02:17.400]  但聖經也提到我們
[00:02:17.400 --> 00:02:19.280]  酒能使人放蕩
