
[00:00:00.000 --> 00:00:03.360]  今日要同大家分享一個題目
[00:00:03.360 --> 00:00:07.040]  就叫做「幫助從何來」
[00:00:07.040 --> 00:00:12.440]  剛剛勁快隊和我們唱完這首詩歌
[00:00:12.440 --> 00:00:15.080]  是詩篇121篇
[00:00:15.080 --> 00:00:17.080]  我們這樣唱過
[00:00:17.080 --> 00:00:22.480]  我們希望你聽一聽小朋友去朗誦這首詩篇
[00:00:22.480 --> 00:00:30.120]  詩篇121篇
[00:00:30.120 --> 00:00:32.120]  我們打打歌詞
[00:00:32.120 --> 00:00:34.120]  我要向山舉目
[00:00:34.120 --> 00:00:37.680]  我的幫助從何而來
[00:00:37.680 --> 00:00:43.560]  我的幫助從造天地的耶和華而來
[00:00:43.560 --> 00:00:48.320]  它必不叫你的腳搖動
[00:00:48.320 --> 00:00:52.680]  保護你的必不打頓
[00:00:52.680 --> 00:00:59.120]  保護以色列的也不打頓也不睡覺
[00:00:59.120 --> 00:01:03.000]  保護你的是耶和華
[00:01:03.000 --> 00:01:06.920]  耶和華在你右邊任被你
[00:01:06.920 --> 00:01:11.920]  白日太陽必不傷你
[00:01:11.920 --> 00:01:16.640]  夜間月亮必不害你
[00:01:16.640 --> 00:01:23.400]  耶和華要保護你免受一切的災害
[00:01:23.400 --> 00:01:26.880]  祂要保護你的性命
[00:01:26.880 --> 00:01:29.640]  你出你入
[00:01:29.640 --> 00:01:36.280]  耶和華要保護你從今時直到永遠
[00:01:36.280 --> 00:01:41.760]  詩篇是一篇受很多人喜愛的詩篇
[00:01:41.760 --> 00:01:46.280]  我們記得幾年前兒童部一個朗誦比賽
[00:01:46.280 --> 00:01:50.560]  就是用這首詩篇來比賽
[00:01:50.560 --> 00:01:54.920]  這首詩篇叫做《尚行之詩》
[00:01:54.920 --> 00:02:01.320]  如果你在今年開始仍然有使用《讀經釋義》
[00:02:01.320 --> 00:02:06.520]  你知道我們第一天1月1日讀這篇詩篇
[00:02:06.520 --> 00:02:11.120]  其實現在我們開始講詩篇《尚行之詩》
[00:02:11.120 --> 00:02:20.080]  《尚行之詩》寫著「或作登階」
[00:02:20.080 --> 00:02:23.800]  即是一級級樓梯般「登階」
[00:02:23.800 --> 00:02:27.920]  我們也有稱《尚行之詩》為登山的詩
[00:02:27.920 --> 00:02:30.120]  一些朝聖的詩
[00:02:30.120 --> 00:02:35.600]  我們看看為何會是登山或是《尚行之詩》
[00:02:35.600 --> 00:02:38.800]  我們看看地圖
[00:02:38.800 --> 00:02:42.000]  看一看原來以色列的地圖
[00:02:42.000 --> 00:02:49.160]  你看到比較大部分都是高山在裏面
[00:02:49.160 --> 00:02:50.800]  啡色的部分
[00:02:50.800 --> 00:02:54.800]  特別你看到耶路撒冷在高山之上
[00:02:54.800 --> 00:02:57.360]  大約有1000米
[00:02:57.360 --> 00:02:59.920]  1000米有多高呢?
