
[00:00:00.000 --> 00:00:02.000]  凌智媒平安
[00:00:02.000 --> 00:00:04.000]  農曆新年快到了
[00:00:04.000 --> 00:00:07.000]  我在這裡先祝大家新年快樂
[00:00:07.000 --> 00:00:09.000]  身體健康
[00:00:09.000 --> 00:00:10.000]  步步高陞
[00:00:10.000 --> 00:00:15.000]  以及新的一年更深的愛主和經歷主
[00:00:15.000 --> 00:00:17.000]  新年到了
[00:00:17.000 --> 00:00:20.000]  我們很流行回顧一下過去
[00:00:20.000 --> 00:00:22.000]  然後展望一下將來
[00:00:22.000 --> 00:00:28.000]  不知道大家有沒有嘗試找個時間安靜一下自己
[00:00:28.000 --> 00:00:33.000]  想一想過去的2024年過得怎樣呢
[00:00:33.000 --> 00:00:35.000]  2024年對你來說
[00:00:35.000 --> 00:00:37.000]  是不是一個很喜樂
[00:00:37.000 --> 00:00:38.000]  很開心的一年
[00:00:38.000 --> 00:00:42.000]  還是一個大喜大樂的一年呢
[00:00:42.000 --> 00:00:46.000]  生活上有喜有樂
[00:00:46.000 --> 00:00:48.000]  其實都是很正常的
[00:00:48.000 --> 00:00:51.000]  我們總是會有些喜起跌跌
[00:00:51.000 --> 00:00:53.000]  但如果因為不聽神的話
[00:00:53.000 --> 00:00:56.000]  分分鐘我們經歷的
[00:00:56.000 --> 00:00:59.000]  就不是一個很簡單的喜跌
[00:00:59.000 --> 00:01:03.000]  而是一個你可能自己都難以想像的大喜大樂
[00:01:03.000 --> 00:01:05.000]  今天講到的經文
[00:01:05.000 --> 00:01:07.000]  這個主人翁約拿
[00:01:07.000 --> 00:01:11.000]  就可以說是一個最佳的例子
[00:01:11.000 --> 00:01:15.000]  讓我們先來認識一下約拿這個人
[00:01:15.000 --> 00:01:17.000]  他的身世背景
[00:01:17.000 --> 00:01:19.000]  經文那裡告訴我們
[00:01:19.000 --> 00:01:22.000]  他是亞美太的兒子
[00:01:22.000 --> 00:01:25.000]  他的爸爸就叫做亞美太
[00:01:25.000 --> 00:01:28.000]  原來那個意思就是
[00:01:28.000 --> 00:01:31.000]  耶和華的信實 神的真理
[00:01:31.000 --> 00:01:35.000]  而約拿他本身這個名字也有意思
[00:01:35.000 --> 00:01:37.000]  就是甲子的意思
[00:01:37.000 --> 00:01:41.000]  甲子也都寓意了平安和平
[00:01:41.000 --> 00:01:43.000]  所以從這方面來看
[00:01:43.000 --> 00:01:45.000]  你應該可以想像到
[00:01:45.000 --> 00:01:47.000]  他的爸爸亞美太
[00:01:47.000 --> 00:01:49.000]  當年他出生的時候
