
[00:00:00.000 --> 00:00:02.880]  在講道之前我們一起祈禱
[00:00:02.880 --> 00:00:05.840]  天父我們感謝祢
[00:00:05.840 --> 00:00:08.640]  因為祢就是愛的源頭
[00:00:08.640 --> 00:00:11.440]  祢也是先認識我們
[00:00:11.440 --> 00:00:14.160]  以致我們能夠被祢所認識
[00:00:14.160 --> 00:00:15.520]  知道什麼是愛
[00:00:15.520 --> 00:00:17.200]  知道什麼是真知識
[00:00:17.200 --> 00:00:19.840]  以致我們懂得怎樣跟人相處
[00:00:19.840 --> 00:00:22.000]  特別是跟我們弟兄姊妹相處
[00:00:22.000 --> 00:00:25.280]  跟我們一班同樣被祢所救贖的人相處
[00:00:25.280 --> 00:00:29.360]  主幫助我們用心去聆聽
[00:00:29.360 --> 00:00:30.800]  尚主祢的說話
[00:00:30.800 --> 00:00:33.840]  我們不知道尚主祢想跟我們說什麼
[00:00:33.840 --> 00:00:36.080]  跟我們每個人都有不同的說話
[00:00:36.080 --> 00:00:38.320]  願祢我們敏銳聖靈的聲音
[00:00:38.320 --> 00:00:40.400]  當中給予彼此學習
[00:00:40.400 --> 00:00:41.600]  互相勸勉
[00:00:41.600 --> 00:00:43.120]  同主明求 阿門
[00:00:43.120 --> 00:00:45.520]  做這件事
[00:00:45.520 --> 00:00:48.080]  通常在窩福講台上做這件事
[00:00:48.080 --> 00:00:49.280]  我通常都很害怕
[00:00:49.280 --> 00:00:50.560]  不過我嘗試這樣做
[00:00:50.560 --> 00:00:54.480]  麻煩大家如果可以就嘗試合作一下
[00:00:54.480 --> 00:00:57.760]  在座有沒有人喜歡喝可樂的
[00:00:57.760 --> 00:00:58.880]  可不可以舉手
[00:00:58.880 --> 00:00:59.840]  可樂
[00:00:59.840 --> 00:01:01.360]  也有的
[00:01:01.360 --> 00:01:02.320]  太好了
[00:01:02.320 --> 00:01:03.280]  很感動
[00:01:03.280 --> 00:01:05.520]  因為我發覺在窩福文人舉手
[00:01:05.520 --> 00:01:06.560]  那些人是不舉的
[00:01:06.560 --> 00:01:08.480]  有人說可樂太好了
[00:01:08.480 --> 00:01:09.600]  可能應該多一點
[00:01:09.600 --> 00:01:11.840]  可能怕被人說不健康
[00:01:11.840 --> 00:01:14.320]  有沒有人喜歡進戲院看電影的
[00:01:14.320 --> 00:01:15.440]  進戲院看電影的
[00:01:15.440 --> 00:01:17.440]  多一點
[00:01:17.440 --> 00:01:18.320]  很正常
[00:01:18.320 --> 00:01:20.880]  有沒有人喜歡聽樂隊
[00:01:20.880 --> 00:01:21.920]  或是搖滾樂隊
[00:01:21.920 --> 00:01:23.280]  你覺得搖滾就可以了
[00:01:23.280 --> 00:01:25.120]  你覺得蘇打綠是搖滾
[00:01:25.120 --> 00:01:26.720]  五月天就是搖滾
[00:01:26.720 --> 00:01:27.920]  都搖滾 不用被人取笑
[00:01:27.920 --> 00:01:29.760]  總之我喜歡搖滾樂隊的
[00:01:29.760 --> 00:01:31.200]  舉手可以嗎
[00:01:31.200 --> 00:01:32.240]  有沒有人喜歡搖滾樂隊的
[00:01:32.240 --> 00:01:33.200]  少很多
[00:01:33.200 --> 00:01:37.520]  剛才說的這幾件事
[00:01:37.520 --> 00:01:41.840]  其實都曾經是華人教會說你不可以做的
[00:01:41.840 --> 00:01:45.600]  曾經我們香港狗歷史
[00:01:45.600 --> 00:01:46.560]  如果你知道
[00:01:46.560 --> 00:01:48.320]  其實我們曾經有華人教會
[00:01:48.320 --> 00:01:50.880]  我們會熱烈討論可不可以喝可樂
[00:01:50.880 --> 00:01:54.320]  熱烈討論可不可以
[00:01:54.320 --> 00:01:57.360]  基督徒可不可以進戲院看電影
[00:01:57.360 --> 00:02:00.960]  熱烈討論基督徒可不可以聽搖滾樂隊
[00:02:00.960 --> 00:02:03.120]  這些都是實彈的工作
[00:02:03.120 --> 00:02:05.200]  宿世
[00:02:05.200 --> 00:02:06.640]  其實真的會討論的
[00:02:06.640 --> 00:02:08.960]  當然我們現在覺得很好笑
[00:02:08.960 --> 00:02:12.320]  但當時是一個很嚴肅的題目
[00:02:12.320 --> 00:02:15.680]  事實上因為反映一件事
[00:02:15.680 --> 00:02:18.640]  基督徒在多元的社會裏面
[00:02:18.640 --> 00:02:20.160]  多元的世界裏面生活
[00:02:20.160 --> 00:02:22.720]  有很多事我們都不知道有什麼可以做
[00:02:22.720 --> 00:02:23.600]  什麼不可以做
[00:02:23.600 --> 00:02:25.200]  所以過程裏面
[00:02:25.200 --> 00:02:26.800]  很自然地信徒會問
[00:02:26.800 --> 00:02:30.320]  問的過程裏面很自然就會有爭拗
[00:02:30.320 --> 00:02:32.560]  有些到現在仍然會有爭拗
[00:02:32.560 --> 00:02:34.560]  基督徒可不可以吸煙
[00:02:34.560 --> 00:02:37.040]  五堂怎麼討論
[00:02:37.040 --> 00:02:38.080]  都會的
[00:02:38.080 --> 00:02:41.200]  這種討論裏面都會怎樣界定
[00:02:41.200 --> 00:02:43.200]  不同的問題裏面
[00:02:43.200 --> 00:02:49.040]  很多討論裏面到現在仍然存在
[00:02:49.040 --> 00:02:52.960]  事實上聖經沒有告訴你可不可以吸煙
[00:02:52.960 --> 00:02:54.320]  可不可以打麻將
[00:02:54.320 --> 00:02:56.880]  但你確實在多元的世界裏面
[00:02:56.880 --> 00:02:58.800]  有太多不同的事
[00:02:58.800 --> 00:03:02.000]  我們不太知道基督徒有什麼可以做
