
[00:00:00.000 --> 00:00:02.940]  今天要跟各位分享的訊息是
[00:00:02.940 --> 00:00:06.780]  靈魂體的復興
[00:00:06.780 --> 00:00:09.580]  好的 靈魂體的恢復
[00:00:09.580 --> 00:00:12.620]  因為這是今年我們教會的意象
[00:00:12.620 --> 00:00:17.260]  就是靈魂體心勝合一
[00:00:17.260 --> 00:00:21.260]  當然了 教會是基督的身體
[00:00:21.260 --> 00:00:27.140]  所以我們也需要心勝合一
[00:00:27.140 --> 00:00:30.180]  特別要跟各位講一下
[00:00:30.180 --> 00:00:34.180]  有四個很明顯的例子
[00:00:34.180 --> 00:00:35.980]  第一個是
[00:00:35.980 --> 00:00:40.180]  我們的肉體軟弱不得痊癒
[00:00:40.180 --> 00:00:41.980]  等一下我們就知道
[00:00:41.980 --> 00:00:43.980]  為什麼這樣子
[00:00:43.980 --> 00:00:47.060]  還有就是我們失魂落魄
[00:00:47.060 --> 00:00:50.060]  善經恐懼
[00:00:50.060 --> 00:00:52.060]  跟著也就是說
[00:00:52.060 --> 00:00:54.500]  神的榮耀離開了聖殿
[00:00:54.500 --> 00:00:59.940]  也就是說我們的靈越來越小
[00:00:59.940 --> 00:01:02.980]  那麼靈魂體的恢復復興
[00:01:02.980 --> 00:01:05.820]  真的是在乎神
[00:01:05.820 --> 00:01:07.180]  那麼我們等一下就要講
[00:01:07.180 --> 00:01:09.500]  難道我們就什麼都不做嗎
[00:01:09.500 --> 00:01:10.540]  也不是
[00:01:10.540 --> 00:01:14.340]  因為你要跟神接上
[00:01:14.340 --> 00:01:21.220]  就好像你要水龍頭出水的話
[00:01:21.220 --> 00:01:23.940]  最少你要把它打開來
[00:01:23.940 --> 00:01:27.420]  不然再多的水它出不來
[00:01:27.420 --> 00:01:28.980]  最後我們結論是用
[00:01:28.980 --> 00:01:31.820]  換血肉的婦人得意志
[00:01:31.820 --> 00:01:35.660]  來做我們的結論
[00:01:35.660 --> 00:01:38.380]  今年教會的意象是
[00:01:38.380 --> 00:01:41.940]  靈魂體心勝合一
[00:01:41.940 --> 00:01:43.540]  當然了 靈
[00:01:43.540 --> 00:01:46.580]  我們是講說Spirit
[00:01:46.580 --> 00:01:49.860]  在創世紀二章七節它說
[00:01:49.860 --> 00:01:51.860]  耶和華神用塵土造人
[00:01:51.860 --> 00:01:54.460]  在人的鼻孔吹了一口氣
[00:01:54.460 --> 00:01:56.780]  就成了有靈的活人
[00:01:56.780 --> 00:01:59.820]  名叫亞當
[00:01:59.820 --> 00:02:02.220]  那麼有靈的活人
[00:02:02.220 --> 00:02:05.740]  英文是說Living Creature
[00:02:05.740 --> 00:02:09.900]  所以我們說人是萬物之靈
[00:02:09.900 --> 00:02:11.860]  我最近有的時候看
[00:02:11.860 --> 00:02:13.780]  網上面一些好笑好玩的
[00:02:13.780 --> 00:02:16.940]  譬如說是耍猴戲
[00:02:16.940 --> 00:02:20.060]  那猴子呢
[00:02:20.060 --> 00:02:21.660]  穿衣服騎腳踏車
[00:02:21.660 --> 00:02:23.180]  猴子還會翻跟斗
[00:02:23.180 --> 00:02:25.140]  還會走鋼索
[00:02:25.140 --> 00:02:27.740]  但它是有樣學樣
[00:02:27.740 --> 00:02:29.820]  它沒有靈
[00:02:29.820 --> 00:02:31.420]  只有人有靈
[00:02:31.420 --> 00:02:33.660]  我們裡面的靈
[00:02:33.660 --> 00:02:38.500]  使我們成為Living Creature
[00:02:38.500 --> 00:02:40.340]  魂呢
[00:02:40.340 --> 00:02:43.100]  英文叫做Soul
[00:02:43.100 --> 00:02:47.180]  那三摩二記上有一個例子是說
[00:02:47.180 --> 00:02:51.940]  有一次大衛落魄在曠野
[00:02:51.940 --> 00:02:58.180]  他派了他的勇士來向拿拔求接濟
[00:02:58.180 --> 00:03:00.860]  這個拿拔 內博
[00:03:00.860 --> 00:03:02.340]  他不知道
[00:03:02.340 --> 00:03:04.900]  他甚至於很驕傲
[00:03:04.900 --> 00:03:06.220]  他說大衛什麼人啊
[00:03:06.220 --> 00:03:07.660]  我才不管你們呢
[00:03:07.660 --> 00:03:10.380]  我不給你們
[00:03:10.380 --> 00:03:11.660]  結果呢
[00:03:11.660 --> 00:03:13.700]  他又回家喝酒去了
[00:03:13.700 --> 00:03:15.940]  拿拔的妻子知道了
[00:03:15.940 --> 00:03:18.220]  他的妻子就是Abigail
[00:03:18.220 --> 00:03:20.260]  亞比蓋
[00:03:20.260 --> 00:03:23.740]  就趕快連夜
[00:03:23.740 --> 00:03:26.300]  帶了十女僕人
[00:03:26.300 --> 00:03:29.060]  做了一大堆的餅 食物
[00:03:29.060 --> 00:03:31.300]  還有準備了一杯酒
[00:03:31.300 --> 00:03:34.820]  就在路邊等
[00:03:34.820 --> 00:03:37.100]  那麼這些人回去跟大衛說
[00:03:37.100 --> 00:03:38.700]  拿拔他不給我們
[00:03:38.700 --> 00:03:40.140]  他還把我們罵了一頓
[00:03:40.140 --> 00:03:41.860]  大衛說
[00:03:41.860 --> 00:03:43.980]  看我來把他全家滅了
[00:03:43.980 --> 00:03:45.980]  帶著大軍就來
[00:03:45.980 --> 00:03:48.940]  在路邊碰到Abigail
[00:03:48.940 --> 00:03:50.940]  夫婦在路邊
[00:03:50.940 --> 00:03:53.020]  求他息怒
[00:03:53.020 --> 00:03:58.100]  然後請大衛把這些食物酒都帶走
[00:03:58.100 --> 00:04:01.300]  大衛才斑施回府
[00:04:01.300 --> 00:04:03.020]  那拿拔醉酒
[00:04:03.020 --> 00:04:04.820]  第二天酒醒了
[00:04:04.820 --> 00:04:06.940]  他妻子跟他講
[00:04:06.940 --> 00:04:09.740]  聖經上面說他
[00:04:09.740 --> 00:04:13.260]  His heart died within him
[00:04:13.260 --> 00:04:15.980]  他魂不守舍
[00:04:15.980 --> 00:04:18.660]  他整個人
[00:04:18.660 --> 00:04:21.340]  僵直像木頭一樣
[00:04:21.340 --> 00:04:25.220]  後來沒多久也就死掉了
[00:04:25.220 --> 00:04:29.340]  那他妻子Abigail後來怎麼樣
[00:04:29.340 --> 00:04:33.540]  大衛娶了去
[00:04:33.540 --> 00:04:35.380]  感謝神
[00:04:35.380 --> 00:04:38.660]  那我們的身體就是body
[00:04:38.660 --> 00:04:41.820]  那麼以夫所述四章十二節說
[00:04:41.820 --> 00:04:43.820]  成全聖徒建立
[00:04:43.820 --> 00:04:45.180]  各盡其職
[00:04:45.180 --> 00:04:47.900]  建立基督的身體
[00:04:47.900 --> 00:04:51.260]  我們的身體法輔受之父母
[00:04:51.260 --> 00:04:54.860]  那麼我們教會是基督的身體
[00:04:54.860 --> 00:04:57.660]  所以我們有的時候講說我們同為基體
[00:04:57.660 --> 00:04:58.940]  是不是
[00:04:58.940 --> 00:05:00.700]  感謝神
[00:05:00.700 --> 00:05:03.780]  我們這個靈與魂
[00:05:03.780 --> 00:05:06.620]  雖然說是
[00:05:06.620 --> 00:05:09.580]  三個不同的東西
[00:05:09.580 --> 00:05:12.180]  但是他們都會互相影響
[00:05:12.180 --> 00:05:13.620]  是不是
[00:05:13.620 --> 00:05:15.060]  你身體有病痛的時候
[00:05:15.060 --> 00:05:18.060]  你會不會影響到你的情緒
[00:05:18.060 --> 00:05:19.980]  這就是我們的魂
[00:05:19.980 --> 00:05:24.180]  意志情感七情六慾
[00:05:24.180 --> 00:05:27.020]  那麼你的身體
[00:05:27.020 --> 00:05:29.140]  有病痛的時候你會不會
[00:05:29.140 --> 00:05:31.260]  靈消沉
[00:05:31.260 --> 00:05:32.860]  也會
[00:05:32.860 --> 00:05:34.540]  因為這都是互相影響
[00:05:34.540 --> 00:05:39.180]  而聖經常常把靈跟魂混為一談
[00:05:39.180 --> 00:05:41.740]  這個我們第一次講的時候
[00:05:41.740 --> 00:05:43.580]  這是我們今年教會意象
[00:05:43.580 --> 00:05:47.580]  第一次講的時候他就講得很清楚
[00:05:47.580 --> 00:05:49.740]  靈跟魂不一樣
[00:05:49.740 --> 00:05:51.980]  但是常常聖經把它混為一談
[00:05:51.980 --> 00:05:54.260]  譬如在約伯記他說
[00:05:54.260 --> 00:05:58.020]  神救贖了我的靈魂
[00:05:58.020 --> 00:06:01.220]  my soul
[00:06:01.220 --> 00:06:04.220]  那麼在今天這個時代
[00:06:04.220 --> 00:06:07.220]  當下這個時候
[00:06:07.220 --> 00:06:11.180]  我們的靈魂體的處境如何呢
[00:06:11.180 --> 00:06:13.540]  我們在瘟疫之中
[00:06:13.540 --> 00:06:16.740]  我們又在通貨膨脹之中
[00:06:16.740 --> 00:06:20.420]  我們又面臨戰爭 饑荒 暴亂
[00:06:20.420 --> 00:06:23.340]  甚至於末世
[00:06:23.340 --> 00:06:27.740]  歧視錄上面講的四個歧視
[00:06:27.740 --> 00:06:30.540]  白馬 紅馬 黑馬 灰馬
[00:06:30.540 --> 00:06:35.060]  就是瘟疫 戰爭 饑荒 暴亂
[00:06:35.060 --> 00:06:38.100]  更不用說我們現在處在末世
[00:06:38.100 --> 00:06:40.820]  end time
[00:06:40.820 --> 00:06:43.660]  我們的靈魂體要怎麼辦呢
[00:06:43.660 --> 00:06:45.260]  是不是
