
[00:00:00.000 --> 00:00:03.540]  今天我們會講到有關一個題目叫做
[00:00:03.540 --> 00:00:10.220]  「特別的武器 攻破堅固的邢侶」
[00:00:10.220 --> 00:00:15.520]  我不知道大家想想在一些不同的境況
[00:00:15.520 --> 00:00:18.820]  不同面對的敵人
[00:00:18.820 --> 00:00:24.800]  你會用什麼工具或武器來應付
[00:00:24.800 --> 00:00:25.960]  在不同的情況下
[00:00:25.960 --> 00:00:30.900]  首先問問大家 如果你看過打拳或打過拳
[00:00:30.900 --> 00:00:35.840]  你需要用什麼工具來打拳
[00:00:35.840 --> 00:00:37.640]  先回答一下
[00:00:37.640 --> 00:00:40.240]  手套 拳套 沒錯 你真的回答多了
[00:00:40.240 --> 00:00:41.640]  給你另一個掌聲
[00:00:41.640 --> 00:00:44.040]  家裡的電視節目應該也回答到了
[00:00:44.040 --> 00:00:46.340]  如果你發現你家裡有賊
[00:00:46.340 --> 00:00:47.840]  你又制服了他
[00:00:47.840 --> 00:00:49.340]  如果你制服了他
[00:00:49.340 --> 00:00:56.060]  你會用什麼工具來幫你對付他
[00:00:56.060 --> 00:00:59.940]  是什麼?
[00:00:59.940 --> 00:01:02.260]  刀來插他 嘩 你這麼厲害
[00:01:02.260 --> 00:01:05.060]  除了刀來插他 真的很厲害
[00:01:05.060 --> 00:01:08.060]  還有什麼?
[00:01:08.060 --> 00:01:13.260]  繩綁住他 除了繩綁住他
[00:01:13.260 --> 00:01:14.600]  狗狗狗
[00:01:14.600 --> 00:01:16.600]  昨天的童工就是這樣
[00:01:16.600 --> 00:01:19.340]  拿繩綁住他 除了拿繩綁住他
[00:01:19.340 --> 00:01:22.840]  就用大一點的繩綁住他
[00:01:22.840 --> 00:01:25.940]  狗狗狗 刀就比較難一點
[00:01:25.940 --> 00:01:28.140]  如果你們打仗的時候
[00:01:28.140 --> 00:01:30.740]  你會用什麼來打仗?
[00:01:30.740 --> 00:01:33.140]  槍 沒錯
[00:01:33.140 --> 00:01:36.440]  如果你在家裡看到這些東西
[00:01:36.440 --> 00:01:38.840]  你會用什麼來對付他?
[00:01:38.840 --> 00:01:42.500]  拖鞋 答對了 真的猜到了
[00:01:42.500 --> 00:01:44.340]  給你掌聲 拖鞋幫
[00:01:44.340 --> 00:01:46.700]  除了拖鞋你還會用什麼?
[00:01:46.700 --> 00:01:48.500]  殺蟲水
[00:01:48.500 --> 00:01:50.500]  我記得我小時候在家裡
[00:01:50.500 --> 00:01:53.200]  一般都是我婆婆在家照顧
[00:01:53.200 --> 00:01:54.500]  小時候我記得有一次
[00:01:54.500 --> 00:01:56.300]  我看到一隻蟑螂真的很大
[00:01:56.300 --> 00:01:58.800]  我整個手掌加上手指這麼大
[00:01:58.800 --> 00:02:00.000]  你說哪有這麼大
[00:02:00.000 --> 00:02:02.940]  當時我很小的 小一半
[00:02:02.940 --> 00:02:06.140]  我看到很害怕 馬上在叫
[00:02:06.140 --> 00:02:07.740]  在叫的時候 我婆婆馬上出來
[00:02:07.740 --> 00:02:09.100]  什麼事?
[00:02:09.100 --> 00:02:10.500]  我說有蟑螂了
[00:02:10.500 --> 00:02:11.740]  我在找什麼呢?
[00:02:11.740 --> 00:02:14.000]  我在找剛才兩大武器之一
[00:02:14.000 --> 00:02:15.900]  拖鞋我都覺得我不行
[00:02:15.900 --> 00:02:17.500]  就找殺蟲水
[00:02:17.500 --> 00:02:18.800]  在找的時候
[00:02:18.800 --> 00:02:21.000]  我婆婆突然走出來
[00:02:21.000 --> 00:02:22.800]  在我面前 蟑螂就在這裡
[00:02:22.800 --> 00:02:23.900]  我找殺蟲水
[00:02:23.900 --> 00:02:26.100]  她看著我 怕什麼?
[00:02:26.100 --> 00:02:28.800]  嘩 那隻手就是徒手
[00:02:28.800 --> 00:02:30.340]  那隻蟑螂就
[00:02:30.340 --> 00:02:32.600]  嘩 真的很厲害
[00:02:32.600 --> 00:02:36.840]  原來有這個武器是超越我們的想像
[00:02:36.840 --> 00:02:40.100]  但是我們知道要用對武器
[00:02:40.100 --> 00:02:42.700]  當然說到型女
[00:02:42.700 --> 00:02:46.100]  不知道你用什麼 特別是生命的型女
[00:02:46.100 --> 00:02:49.000]  你生命裡面有些東西阻礙著你
[00:02:49.000 --> 00:02:52.600]  你就要用適合的武器
[00:02:52.600 --> 00:02:54.900]  你才可以攻破
[00:02:54.900 --> 00:02:57.100]  不是隨便的 不是亂來的
[00:02:57.100 --> 00:03:00.700]  當然這個武器不可以用我們好像攻堡壘那樣
[00:03:00.700 --> 00:03:03.300]  用火 用石頭是不行的
[00:03:03.300 --> 00:03:06.800]  就好像我們要去游泳 不可以穿西裝
[00:03:06.800 --> 00:03:08.900]  去滑雪 不可以穿泳衣
[00:03:08.900 --> 00:03:12.300]  要穿對裝備 用對裝備
[00:03:12.300 --> 00:03:14.800]  今天我們正正在看
[00:03:14.800 --> 00:03:17.100]  在哥倫多後書第十章
[00:03:17.100 --> 00:03:19.400]  說到攻破型女
[00:03:19.400 --> 00:03:21.400]  我們慢慢看看我們究竟有什麼學到
[00:03:21.400 --> 00:03:24.800]  我們先看看第三第四節
[00:03:24.800 --> 00:03:26.300]  有些內容
[00:03:26.300 --> 00:03:27.800]  你開始明白一下
[00:03:27.800 --> 00:03:30.700]  保羅想對付的是什麼問題
[00:03:30.700 --> 00:03:33.100]  我們慢慢深入學習
[00:03:33.100 --> 00:03:36.000]  我們先讀第三第四節第十章
[00:03:36.000 --> 00:03:37.100]  預備起
[00:03:37.100 --> 00:03:41.600]  因為我們雖然在血氣中行事
[00:03:41.600 --> 00:03:44.800]  卻不憑著血氣征戰
[00:03:44.800 --> 00:03:47.400]  我們征戰的兵器
[00:03:47.400 --> 00:03:50.800]  本不是屬血氣的
[00:03:50.800 --> 00:03:54.600]  乃是在神面前有能力
[00:03:54.600 --> 00:03:58.800]  可以攻破堅固的型女
[00:03:58.800 --> 00:04:00.600]  第三第四節說到一些事情
[00:04:00.600 --> 00:04:05.000]  因為我們雖然在血氣中行事
[00:04:05.000 --> 00:04:06.000]  什麼血氣呢
[00:04:06.000 --> 00:04:07.600]  如果只是Flesh
[00:04:07.600 --> 00:04:11.600]  或者我們看NRS用Human Being 即是人
[00:04:11.600 --> 00:04:13.200]  有血有肉的
[00:04:13.200 --> 00:04:14.400]  有血有肉是怎樣的呢
[00:04:14.400 --> 00:04:16.000]  看一看你旁邊的就知道了
[00:04:16.000 --> 00:04:16.600]  有血有肉的
[00:04:16.600 --> 00:04:18.600]  你撕開它
[00:04:18.600 --> 00:04:20.800]  會痛的 會長肉的
[00:04:20.800 --> 00:04:22.600]  說到長肉
[00:04:22.600 --> 00:04:24.200]  剛剛前幾天
[00:04:24.200 --> 00:04:29.800]  我們每年在教會都有不同的神學實習傳道
[00:04:29.800 --> 00:04:31.800]  即是神學生來實習
[00:04:31.800 --> 00:04:39.000]  今年未來一年有見道、有伯達利、有忠臣、有恩福神學院
[00:04:39.000 --> 00:04:41.000]  前兩天去忠臣的時候
[00:04:41.000 --> 00:04:43.000]  有兩位新的實習傳道
[00:04:43.000 --> 00:04:44.800]  在那裡聊天
[00:04:44.800 --> 00:04:46.800]  來我們教會服事的時候
[00:04:46.800 --> 00:04:47.600]  注意什麼呢
[00:04:47.600 --> 00:04:50.400]  看到我們教會過去的歷史等等
[00:04:50.400 --> 00:04:51.800]  有什麼要注意的呢
[00:04:51.800 --> 00:04:53.800]  我說你最注意的是什麼呢
[00:04:53.800 --> 00:04:55.800]  就是注意你的肉
[00:04:55.800 --> 00:04:59.800]  因為我們來侍奉的傳道
[00:04:59.800 --> 00:05:04.400]  通常一年都會重五磅、十磅肉的
[00:05:04.400 --> 00:05:06.400]  這麼嚴重
[00:05:06.400 --> 00:05:08.400]  我們看一看梁牧師就知道了
[00:05:08.400 --> 00:05:10.400]  真的會長肉的
[00:05:10.400 --> 00:05:13.400]  當然這些肉代表什麼呢
[00:05:13.400 --> 00:05:16.400]  你會有血氣
[00:05:16.400 --> 00:05:18.400]  你會生長的
[00:05:18.400 --> 00:05:20.400]  是有機的
[00:05:20.400 --> 00:05:21.400]  是會動的
[00:05:21.400 --> 00:05:23.400]  不過保羅說
[00:05:23.400 --> 00:05:26.400]  但是我們打有血有肉地上的仗
[00:05:26.400 --> 00:05:30.400]  並不是用血氣征戰
[00:05:30.400 --> 00:05:35.400]  你不是用人的標準去打有血氣的仗
[00:05:35.400 --> 00:05:36.400]  那代表什麼呢
[00:05:36.400 --> 00:05:38.400]  就是說如果你直譯
[00:05:38.400 --> 00:05:40.400]  我們有人用NRS也很有趣
[00:05:40.400 --> 00:05:41.400]  他說我們是人類
[00:05:41.400 --> 00:05:43.400]  但是我們去打仗
[00:05:43.400 --> 00:05:45.400]  不是用人類標準
[00:05:45.400 --> 00:05:47.400]  一會兒我們會說多一點
[00:05:47.400 --> 00:05:49.400]  我們繼續看下去
[00:05:49.400 --> 00:05:51.400]  這個還在介紹
[00:05:51.400 --> 00:05:54.400]  第一節、第二節再看上去一點
[00:05:54.400 --> 00:05:58.400]  更加明白當時保羅在回應什麼問題
[00:05:58.400 --> 00:05:59.400]  我們一起讀第一、第二節
[00:05:59.400 --> 00:06:00.400]  1、2、3
[00:06:00.400 --> 00:06:06.400]  我保羅就是與你們見面的時候是謙卑的
[00:06:06.400 --> 00:06:08.400]  不在你們那裡的時候
[00:06:08.400 --> 00:06:11.400]  向你們是勇敢的
[00:06:11.400 --> 00:06:16.400]  如今親自藉著基督的溫柔和平勸你們
[00:06:16.400 --> 00:06:20.400]  有人以為我是憑著血氣行事
[00:06:20.400 --> 00:06:25.400]  我也以為必須用勇敢待者等日
[00:06:25.400 --> 00:06:29.400]  求你們不要叫我在你們那裡的時候
[00:06:29.400 --> 00:06:31.400]  有這樣的勇敢
[00:06:31.400 --> 00:06:33.400]  原來他在面對一些情況
[00:06:33.400 --> 00:06:36.400]  我們解釋多一點讓你明白
[00:06:36.400 --> 00:06:38.400]  如果我們記得哥倫多後書
[00:06:38.400 --> 00:06:41.400]  特別說到有超級仕途
[00:06:41.400 --> 00:06:43.400]  跟他反對他
[00:06:43.400 --> 00:06:45.400]  如果我們一開始第一章
