
[00:00:00.000 --> 00:00:10.000]  各位電影姊妹, 大家要在線上參與崇拜, 也無阻我們對主有敬拜的心。
[00:00:10.000 --> 00:00:16.000]  今日的講題是道路不偏離, 剛才我們也讀過一段經文,
[00:00:16.000 --> 00:00:26.000]  在《針研》第22章第6節, 教養孩童是他走當行的道, 就是道路他也不偏離。
[00:00:26.000 --> 00:00:33.000]  教養孩童的「教」是教導的「教」, 「養」是修養的「養」,
[00:00:33.000 --> 00:00:41.000]  不單止是養大他, 給他食物養他的意思, 要給他有修養是包括訓練的意思。
[00:00:41.000 --> 00:00:50.000]  這個指引很好, 因為他讓我們知道我們教養孩童是他走當行的道, 就是道路他也不偏離。
[00:00:50.000 --> 00:00:58.000]  但是一個這麼好的指引, 卻不夠具體。 當然, 聖經只是提供原則給我們,
[00:00:58.000 --> 00:01:06.000]  至於應用, 就真的要按不同的文化, 不同的時代, 和不同的處境來應用。
[00:01:06.000 --> 00:01:14.000]  例如十誡第五誡講到要孝敬父母, 但沒有具體說明怎樣才叫孝敬父母,
[00:01:14.000 --> 00:01:20.000]  就要按個人在不同的時代, 不同的文化, 不同的處境來應用。
[00:01:20.000 --> 00:01:26.000]  好了, 就讓我們來看看, 在教養孩童的事情上,
[00:01:26.000 --> 00:01:33.000]  怎樣具體地幫助孩童走在當行的道, 以至他道路也不會偏離呢?
[00:01:33.000 --> 00:01:42.000]  我今天講到, 又不會具體到要幫大家定立家規, 規定新嬰兒九時就要上床睡覺, 就不會這樣。
[00:01:42.000 --> 00:01:49.000]  以下我會參考Avanna家長士工的教材, 以及根據自己的見證和經驗,
[00:01:49.000 --> 00:01:53.000]  和大家一起分享教養孩童的指引。
[00:01:53.000 --> 00:02:02.000]  主要和大家分享的是有三個指引, 或者說三個向導, 教養孩童的三個指引, 三個向導。
[00:02:02.000 --> 00:02:11.000]  首先第一, 最重要的, 就是要讓孩子知道關於信靠耶穌基督的事, 這是最重要的。
[00:02:11.000 --> 00:02:19.000]  信靠耶穌基督的事是什麼呢? 我們簡單地說, 指的是福音,
[00:02:19.000 --> 00:02:25.000]  我們經常說傳福音, 我們經常和別人講福音, 或者我們教會很重視福音。
[00:02:25.000 --> 00:02:29.000]  到底福音的內容是什麼呢?
[00:02:29.000 --> 00:02:38.000]  在哥倫多前書十五章一至二節, 保羅和哥倫多教會的弟兄姊妹說,
[00:02:38.000 --> 00:02:50.000]  「弟兄們, 我如今把先前所傳給你們的福音告訴你們知道, 這福音你們也領受了, 休巧著站立得住。
[00:02:50.000 --> 00:02:58.000]  並且你們若不是徒然相信能以持守我所傳給你們的, 就必因這福音得救。」
[00:02:58.000 --> 00:03:05.000]  原來這個福音是保羅傳給哥倫多的朋友, 他們相信了,
[00:03:05.000 --> 00:03:12.000]  於是就把福音傳給他們, 他們又接受了福音, 因而得救。
[00:03:12.000 --> 00:03:18.000]  福音的核心是什麼呢? 這是哥倫多前書十五章一至二節,
[00:03:18.000 --> 00:03:24.000]  第三第四節就解釋了福音最核心的內容是什麼。
[00:03:24.000 --> 00:03:36.000]  就是「基督照聖經所說, 為我們的罪死了, 而且埋葬了, 又照聖經所說, 第三天復活了。」
[00:03:36.000 --> 00:03:50.000]  福音的核心內容就是耶穌基督的死和復活, 祂是為我們的罪而死, 埋葬, 然後第三天復活。
[00:03:50.000 --> 00:03:55.000]  這就是福音最核心的內容。
[00:03:55.000 --> 00:04:04.000]  簡單地我們看看福音的輪子來解釋, 到底福音是什麼我們可以跟孩子分享的呢?
[00:04:04.000 --> 00:04:11.000]  除了講到核心的內容就是耶穌基督為我們的罪死了, 埋葬和復活之外,
[00:04:11.000 --> 00:04:15.000]  我們看到人的本質, 人的本質是罪人。
[00:04:15.000 --> 00:04:22.000]  在羅馬書三章二十三節說:「世人都犯了罪, 規決了神的榮耀。」
[00:04:22.000 --> 00:04:32.000]  所有人, 無論是成年人, 小朋友, 老人家, 有病的人, 沒有病的人,
[00:04:32.000 --> 00:04:37.000]  所有人都犯了罪, 規決了神的榮耀。
[00:04:37.000 --> 00:04:39.000]  那後果是什麼呢?
[00:04:39.000 --> 00:04:47.000]  羅馬書六章二十三節說:「罪的功架乃是死, 唯有神的恩賜在我們主基督耶穌裡面, 乃是永生。」
[00:04:47.000 --> 00:04:49.000]  原來罪的結果就是死。
[00:04:49.000 --> 00:04:52.000]  所以人人都會死, 這個世界沒有人不會死的。
[00:04:52.000 --> 00:04:58.000]  你多有錢, 多窮, 多聰明, 多愚蠢都會死。
[00:04:58.000 --> 00:05:00.000]  這就是人的本質。
[00:05:00.000 --> 00:05:02.000]  那神呢?
[00:05:02.000 --> 00:05:07.000]  神的本質, 或者我們說神的屬性, 神是聖潔的。
[00:05:07.000 --> 00:05:10.000]  啟示六四章八節說:「聖哉! 聖哉! 聖哉!」
[00:05:10.000 --> 00:05:14.000]  英文是Holy! Holy! Holy! 很聖潔。
[00:05:14.000 --> 00:05:20.000]  主神是息在今在, 以後永在的全能者。
[00:05:20.000 --> 00:05:22.000]  神是很聖潔的。
[00:05:22.000 --> 00:05:27.000]  除了神是很聖潔之外, 神的另一個屬性就是神是愛。
[00:05:27.000 --> 00:05:31.000]  神是愛世人, 甚至將他的獨生子賜給他們,
[00:05:31.000 --> 00:05:35.000]  叫一切信他的, 不至滅亡, 反得永生。
[00:05:35.000 --> 00:05:38.000]  所以, 神是聖潔, 神是很愛。
[00:05:38.000 --> 00:05:42.000]  我們看到, 人有犯罪, 犯罪結果就是死亡。
[00:05:42.000 --> 00:05:46.000]  神是聖潔的, 祂又很愛世人。
[00:05:46.000 --> 00:05:49.000]  那神有什麼行動?
[00:05:49.000 --> 00:05:54.000]  在福音裡面, 神的行動就是十字架的救恩。
[00:05:54.000 --> 00:06:00.000]  羅馬書五章八節說:「惟有基督在我們還作罪人的時候為我們死,
[00:06:00.000 --> 00:06:05.000]  神的愛就在此向我們顯明了。」
[00:06:05.000 --> 00:06:11.000]  這個就是神的行動, 透過十字架, 彰顯出來, 讓我們知道,
[00:06:11.000 --> 00:06:18.000]  當我們的情況, 當我們的警方, 罪人的本質是這樣的時候,
[00:06:18.000 --> 00:06:25.000]  神的愛就向我們顯明, 耶穌基督為我們的罪受死埋葬, 第三天復活。
[00:06:25.000 --> 00:06:31.000]  那人需要什麼行動去回應呢? 怎樣去接受福音呢?
