
[00:00:00.000 --> 00:00:04.000]  今天和大家繼續思想尼加書的信息
[00:00:04.000 --> 00:00:09.000]  尼加書是教我們如何在一個亂世的時代裏
[00:00:09.000 --> 00:00:12.000]  來行神所喜悅的事情
[00:00:12.000 --> 00:00:15.000]  今天和大家來思想的是尼加書第三章
[00:00:15.000 --> 00:00:20.000]  來追求一個公平正直的生命
[00:00:20.000 --> 00:00:24.000]  在人生的路上我們會有挫折
[00:00:24.000 --> 00:00:26.000]  有不同的問題出現
[00:00:26.000 --> 00:00:29.000]  有人說總體上都是公平的
[00:00:29.000 --> 00:00:32.000]  不知道我們是否接納
[00:00:32.000 --> 00:00:35.000]  還是我們一生都帶著一個眼光
[00:00:35.000 --> 00:00:37.000]  就是人生是不公平的呢
[00:00:37.000 --> 00:00:42.000]  待會我們有機會來聽聽先知給我們的提醒
[00:00:42.000 --> 00:00:44.000]  同樣的題目裏面包括了正直
[00:00:44.000 --> 00:00:49.000]  我們都希望看見我們在當中作神自己的兒女
[00:00:49.000 --> 00:00:53.000]  我們都能夠有一個正直的生命在當中
[00:00:53.000 --> 00:00:57.000]  因為一個生人裏面正直的人生是非常寶貴
[00:00:57.000 --> 00:01:02.000]  尼加也說自己的生命裏靠著
[00:01:02.000 --> 00:01:05.000]  至於我植著耶和華的靈
[00:01:05.000 --> 00:01:09.000]  我滿有力量和公平才能
[00:01:09.000 --> 00:01:12.000]  這也是我們今天一起思想的部分
[00:01:12.000 --> 00:01:16.000]  我們都一同追求我們生命裏面是有內涵的
[00:01:16.000 --> 00:01:19.000]  正直的人生其中一個很重要的觀點
[00:01:19.000 --> 00:01:21.000]  就是表裡如一
[00:01:21.000 --> 00:01:23.000]  我們裏面是怎樣
[00:01:23.000 --> 00:01:25.000]  我們的外在都是一樣
[00:01:25.000 --> 00:01:27.000]  我們發現外在不好的時候
[00:01:27.000 --> 00:01:30.000]  我們求神幫助我們在內心裏面改變
[00:01:30.000 --> 00:01:34.000]  讓我們仍然能夠做一個表裡如一的人
[00:01:34.000 --> 00:01:36.000]  我們深信神會幫助我們
[00:01:36.000 --> 00:01:37.000]  因待我們
[00:01:37.000 --> 00:01:40.000]  因為神一直用他的信實
[00:01:40.000 --> 00:01:42.000]  來看顧我們自己的百姓
[00:01:42.000 --> 00:01:45.000]  所以在當中提到耶和華
[00:01:45.000 --> 00:01:47.000]  你慈愛上及諸天
[00:01:47.000 --> 00:01:50.000]  你的信實達到窮瘡
[00:01:50.000 --> 00:01:53.000]  當我們講到這個誠實信心的時候
[00:01:53.000 --> 00:01:55.000]  我們仍然深信唯有神
[00:01:55.000 --> 00:01:58.000]  自己的那種生命素質
[00:01:58.000 --> 00:02:00.000]  和他的保守和看顧
[00:02:00.000 --> 00:02:02.000]  成為我們最重要的基礎
[00:02:02.000 --> 00:02:05.000]  所以今天和大家來思想尼加書的時候
[00:02:05.000 --> 00:02:07.000]  我都想和大家一個題目開始
[00:02:07.000 --> 00:02:10.000]  就是一切從信靠來開始
[00:02:10.000 --> 00:02:12.000]  很多環境不是我們所能夠掌握
[00:02:12.000 --> 00:02:15.000]  當時尼加曙新的年代裏面
[00:02:15.000 --> 00:02:19.000]  都面對著他們當時國家的那種黑暗
[00:02:19.000 --> 00:02:21.000]  無論在這班的官長
[00:02:21.000 --> 00:02:23.000]  在他們的百姓裏面
[00:02:23.000 --> 00:02:25.000]  但尼加先知亦都相信
[00:02:25.000 --> 00:02:28.000]  神是看顧 神是正直
[00:02:28.000 --> 00:02:30.000]  神亦都是按著神的時間
[00:02:30.000 --> 00:02:33.000]  去完成他自己的工作
[00:02:33.000 --> 00:02:35.000]  我們嘗試去看尼加先知
[00:02:35.000 --> 00:02:37.000]  今天所給我們的訊息
[00:02:37.000 --> 00:02:39.000]  我們看第三章
[00:02:39.000 --> 00:02:41.000]  一開始的時候尼加就去責備
[00:02:41.000 --> 00:02:44.000]  當時一班虛假的領袖
[00:02:44.000 --> 00:02:47.000]  我們一起讀這段經文一章七節
[00:02:47.000 --> 00:02:51.000]  我説亞國的首領 以色列的官長
[00:02:51.000 --> 00:02:53.000]  你們要聽
[00:02:53.000 --> 00:02:56.000]  你們不當知道公平嗎
[00:02:56.000 --> 00:02:58.000]  你們獲善耗惡
[00:02:58.000 --> 00:03:00.000]  從人身上剝皮
[00:03:00.000 --> 00:03:02.000]  從人骨頭上剔肉
[00:03:02.000 --> 00:03:04.000]  是我的民的肉
[00:03:04.000 --> 00:03:05.000]  剝他們的皮
[00:03:05.000 --> 00:03:07.000]  打折他們的骨頭
[00:03:07.000 --> 00:03:10.000]  分成筷子將要下鑊
[00:03:10.000 --> 00:03:12.000]  又將苦中的肉
[00:03:12.000 --> 00:03:17.000]  到鳥遭災的時候 這些人必哀求耶和華
[00:03:17.000 --> 00:03:19.000]  他卻不應運他們
[00:03:19.000 --> 00:03:22.000]  那時他們必照他所行的惡事
[00:03:22.000 --> 00:03:24.000]  向他們掩面
[00:03:24.000 --> 00:03:28.000]  論到我等民的先知
[00:03:28.000 --> 00:03:31.000]  他們牙齒有所著的
