
[00:00:00.000 --> 00:00:01.600]  各位電視觀眾大家好
[00:00:01.600 --> 00:00:05.080]  又過了一天跟大家再讀聖經
[00:00:05.080 --> 00:00:07.080]  生命樹宣教網絡
[00:00:07.080 --> 00:00:08.760]  跟大家讀聖經
[00:00:08.760 --> 00:00:11.280]  很鼓勵你多讀經文
[00:00:11.280 --> 00:00:14.160]  今次仍然繼續是聖經人
[00:00:14.160 --> 00:00:17.560]  聖經事由聖經人和聖經故事
[00:00:17.560 --> 00:00:20.800]  我們更多了解上帝背後的心意
[00:00:20.800 --> 00:00:24.280]  今次的聖經人仍然繼續說了很多次
[00:00:24.280 --> 00:00:26.480]  繼續是思洗若翰
[00:00:26.480 --> 00:00:28.440]  看看思洗若翰是怎樣的
[00:00:28.440 --> 00:00:29.840]  思洗若翰是怎樣的
[00:00:29.840 --> 00:00:31.600]  今次我再講一下
[00:00:31.600 --> 00:00:34.400]  他是再抗野的
[00:00:34.400 --> 00:00:37.480]  我今天用再抗野作為主題
[00:00:37.480 --> 00:00:39.920]  馬太福音第三章第一節
[00:00:39.920 --> 00:00:40.960]  不知道大家有沒有留意
[00:00:40.960 --> 00:00:43.600]  本來我一直先用若翰呼音
[00:00:43.600 --> 00:00:46.600]  試圖若翰怎樣說思洗若翰
[00:00:46.600 --> 00:00:49.840]  現在馬太怎樣說思洗若翰
[00:00:49.840 --> 00:00:52.080]  第三章第一節第二節
[00:00:52.080 --> 00:00:55.800]  那時有思洗的若翰出來
[00:00:55.800 --> 00:00:59.880]  大家留意到馬太是說思洗的若翰
[00:00:59.880 --> 00:01:02.160]  若翰呼音試圖若翰
[00:01:02.160 --> 00:01:04.280]  他沒有叫他做思洗若翰
[00:01:04.280 --> 00:01:05.800]  就這樣若翰出來
[00:01:05.800 --> 00:01:08.160]  若翰和兩個門徒在一起
[00:01:08.160 --> 00:01:10.560]  於是一開始有些人不知道
[00:01:10.560 --> 00:01:13.080]  以為若翰是自己的作者
[00:01:13.080 --> 00:01:14.360]  其實不是
[00:01:14.360 --> 00:01:18.240]  馬太福音有說思洗的若翰出來
[00:01:18.240 --> 00:01:21.680]  在猶太的抗野傳道
[00:01:21.680 --> 00:01:23.200]  傳什麼道?
[00:01:23.200 --> 00:01:26.800]  傳道說天國近了
[00:01:26.800 --> 00:01:29.600]  你們應當悔改
[00:01:29.600 --> 00:01:33.160]  猶太的抗野就是我要說的第一點
[00:01:33.160 --> 00:01:34.640]  先讀完經文
[00:01:34.640 --> 00:01:38.200]  這個人是先知爾卓雅所說
[00:01:38.200 --> 00:01:40.200]  將來有一個人會出來
[00:01:40.200 --> 00:01:42.400]  他是在抗野
[00:01:42.400 --> 00:01:45.520]  在抗野有人聲喊著說
[00:01:45.520 --> 00:01:48.960]  在抗野沒有人很安靜
[00:01:48.960 --> 00:01:50.880]  可能有少少風聲
[00:01:50.880 --> 00:01:52.560]  但沒有人很安靜
[00:01:52.560 --> 00:01:55.160]  在抗野有人聲喊著說
[00:01:55.160 --> 00:01:57.400]  當他大聲喊很遠都聽到
[00:01:57.400 --> 00:01:58.520]  他喊什麼?
[00:01:58.520 --> 00:02:00.000]  預備主的道
[00:02:00.000 --> 00:02:01.360]  修直他的路
[00:02:01.360 --> 00:02:07.600]  我很欣賞中文和合本翻譯的時候
[00:02:07.600 --> 00:02:09.200]  百多年前
[00:02:09.200 --> 00:02:13.000]  有些傳教士他們的英文和希臘文比較好
[00:02:13.000 --> 00:02:16.080]  他們用英文做翻譯的原本
[00:02:16.080 --> 00:02:18.240]  有些中國的教士
[00:02:18.240 --> 00:02:21.600]  他們中國國學很好
[00:02:21.600 --> 00:02:23.240]  但英文和希臘文不好
[00:02:23.240 --> 00:02:24.640]  於是一起翻譯
[00:02:24.640 --> 00:02:29.440]  起碼中國的學者和當日的傳道人
[00:02:29.440 --> 00:02:31.360]  能夠翻譯得很好
[00:02:31.360 --> 00:02:32.360]  特別是翻譯詩篇
[00:02:32.360 --> 00:02:34.240]  他們能夠翻譯得對
[00:02:34.240 --> 00:02:35.640]  預備主的道
[00:02:35.640 --> 00:02:37.040]  修直他的路
[00:02:37.040 --> 00:02:40.000]  兩個好像對聯一樣對
[00:02:40.000 --> 00:02:41.920]  如果希伯來文就不是
[00:02:41.920 --> 00:02:42.920]  是詩歌體
[00:02:42.920 --> 00:02:44.520]  但不是這樣對
[00:02:44.520 --> 00:02:47.320]  不是用字數來對
[00:02:47.320 --> 00:02:48.400]  預備主的道
[00:02:48.400 --> 00:02:49.320]  修直他的路
[00:02:49.320 --> 00:02:50.320]  翻譯得很好
[00:02:50.320 --> 00:02:54.160]  這個約翰身穿駱駝毛衣服
[00:02:54.160 --> 00:02:55.760]  腰束皮帶
[00:02:55.760 --> 00:02:57.960]  吃蝗蟲野蜜
[00:02:57.960 --> 00:03:00.680]  就是我今天要和大家分享的
[00:03:00.680 --> 00:03:02.280]  先看看三點
[00:03:02.280 --> 00:03:05.240]  今天的主題叫再抗野
[00:03:05.240 --> 00:03:07.600]  我們怎樣去想再抗野呢?
[00:03:07.600 --> 00:03:12.200]  神是叫帶施洗約翰去抗野
[00:03:12.200 --> 00:03:15.920]  而施洗約翰也歡喜去抗野
[00:03:15.920 --> 00:03:18.720]  如果有機會去以色列聖地
[00:03:18.720 --> 00:03:21.040]  就會去到死海附近
[00:03:21.040 --> 00:03:23.640]  有一個地方叫昆蘭
[00:03:23.640 --> 00:03:28.400]  昆蘭就是人發現死海古卷的地方
[00:03:28.400 --> 00:03:31.760]  那裡有很多山洞
[00:03:31.760 --> 00:03:37.680]  有人發現了以往古代的皮卷
[00:03:37.680 --> 00:03:39.320]  就是死海古卷
[00:03:39.320 --> 00:03:40.520]  那個過程是怎樣的
[00:03:40.520 --> 00:03:42.200]  那些牧羊小孩怎樣找到
[00:03:42.200 --> 00:03:43.800]  牧羊人怎樣找到的就不說了
[00:03:43.800 --> 00:03:47.080]  那裡有一個廢墟昆蘭
[00:03:47.080 --> 00:03:50.600]  昆蘭廢墟發現了以前有一群
[00:03:50.600 --> 00:03:54.600]  叫愛悉尼派的猶太人
[00:03:54.600 --> 00:03:57.920]  是他們信仰的派別
[00:03:57.920 --> 00:03:59.760]  大家聽過法尼塞派
[00:03:59.760 --> 00:04:00.600]  薩都該派
[00:04:00.600 --> 00:04:02.040]  其實聖經裡面還有一個
[00:04:02.040 --> 00:04:04.000]  叫愛悉尼派
[00:04:04.000 --> 00:04:06.680]  不過沒有記載他的名字
[00:04:06.680 --> 00:04:09.640]  他們全部是男性
[00:04:09.640 --> 00:04:10.640]  住在一起
[00:04:10.640 --> 00:04:12.440]  全身白的
[00:04:12.440 --> 00:04:13.720]  白衣
[00:04:13.720 --> 00:04:15.480]  不太會說話
[00:04:15.480 --> 00:04:19.560]  不會冒失地說話
[00:04:19.560 --> 00:04:21.760]  吃飯的時候
