
[00:00:00.000 --> 00:00:02.780]  各位頂姐妹 主內平安
[00:00:02.780 --> 00:00:06.180]  不知道呢
[00:00:06.180 --> 00:00:08.800]  我通常都會這樣問大家
[00:00:08.800 --> 00:00:12.920]  但是大家是不是都感覺到有真的平安呢?
[00:00:12.920 --> 00:00:16.240]  我們很多時候都好像說到香港
[00:00:16.240 --> 00:00:18.000]  真的常常都處於
[00:00:18.000 --> 00:00:21.500]  甚至很多年來回顧這十幾二十年
[00:00:21.500 --> 00:00:24.180]  或者這麼說 不要說這麼遠
[00:00:24.180 --> 00:00:28.280]  但是這十幾年裏面都好像常常聽到很多的苦
[00:00:28.280 --> 00:00:31.280]  很多的憂慮 很多的不安
[00:00:31.280 --> 00:00:35.360]  我想大家都可能還記得十幾年前
[00:00:35.360 --> 00:00:37.880]  沙士那種陰謀
[00:00:37.880 --> 00:00:43.040]  當你看到這種疫病
[00:00:43.040 --> 00:00:46.440]  以至當你在經文聖經裏面看到
[00:00:46.440 --> 00:00:48.480]  有瘟疫這些的時候
[00:00:48.480 --> 00:00:51.960]  可能我們都不陌生 究竟是甚麼的情況
[00:00:51.960 --> 00:00:56.800]  當時被沙士的陰謀所籠罩
[00:00:56.800 --> 00:00:58.640]  經濟低迷
[00:00:58.640 --> 00:01:02.480]  我想大家還記得那個氣氛真的很差
[00:01:02.480 --> 00:01:04.640]  到街上好像沒有人
[00:01:04.640 --> 00:01:07.120]  整個死城一樣
[00:01:07.120 --> 00:01:11.000]  那個情況就是可能你不是患上沙士
[00:01:11.000 --> 00:01:14.000]  都隨時可能患上抑鬱
[00:01:14.000 --> 00:01:16.160]  到了今天
[00:01:16.160 --> 00:01:17.840]  這麼多年之後
[00:01:17.840 --> 00:01:21.840]  又真的不覺得經濟特別好了很多
[00:01:21.840 --> 00:01:27.840]  人工好像是多了 但是那些東西還貴
[00:01:27.840 --> 00:01:30.840]  所以好像生活質素
[00:01:30.840 --> 00:01:33.840]  又不是真的有提升
[00:01:33.840 --> 00:01:37.680]  我們又發現樓房好像越起越小
[00:01:37.680 --> 00:01:41.120]  就來起到比劏房還小
[00:01:41.120 --> 00:01:43.240]  現在更加看到的
[00:01:43.240 --> 00:01:45.920]  就是一些政治不安的問題
[00:01:45.920 --> 00:01:48.720]  日趨的嚴重
[00:01:48.720 --> 00:01:50.720]  相信大家有留意新聞
[00:01:50.720 --> 00:01:52.960]  看到人大強行釋法之後
[00:01:52.960 --> 00:01:55.880]  令到香港再進入一個
[00:01:55.880 --> 00:01:59.360]  紛亂 信心的問題
[00:01:59.360 --> 00:02:03.360]  很多人上街去泛釋合法遊行
[00:02:03.360 --> 00:02:05.560]  而在同時
[00:02:05.560 --> 00:02:08.880]  不是正正香港面對一些紛亂的問題
[00:02:08.880 --> 00:02:10.760]  我想大家都留意新聞
[00:02:10.760 --> 00:02:12.880]  在地球另一邊的一個大國
[00:02:12.880 --> 00:02:17.480]  發生了令很多國民不安的政權轉變
[00:02:17.480 --> 00:02:21.240]  因為一個言行野火的特朗普
[00:02:21.240 --> 00:02:25.040]  居然冷門當選做總統
[00:02:25.040 --> 00:02:28.680]  不少的美國人都恐怕前途堪虞
[00:02:28.680 --> 00:02:31.280]  希望另覓出路
[00:02:31.280 --> 00:02:35.040]  於是發現加拿大的一些
[00:02:35.040 --> 00:02:40.240]  幫助外國人移民到那個地方的律師的網站
[00:02:40.240 --> 00:02:43.480]  就非常之多人上
[00:02:43.480 --> 00:02:46.680]  最近甚至接獲數千人查詢
[00:02:46.680 --> 00:02:50.720]  差點拖垮了網站
[00:02:50.720 --> 00:02:54.360]  所以被迫都要暫時關閉
[00:02:54.360 --> 00:02:57.880]  因為有很多很多的加拿大的律師行
[00:02:57.880 --> 00:03:00.560]  都表示真的收到很多美國人
[00:03:00.560 --> 00:03:03.040]  去打電話去查詢
[00:03:03.040 --> 00:03:07.080]  當然他們不知道可能只是一時受到影響
[00:03:07.080 --> 00:03:08.600]  還是真是很希望
[00:03:08.600 --> 00:03:14.240]  真心很想移民到那個地方
[00:03:14.240 --> 00:03:18.800]  我們回想或者看聖經的歷史裏面
[00:03:18.800 --> 00:03:21.680]  每一個世代都有不同的挑戰
