
[00:00:00.000 --> 00:00:04.620]  大家有沒有試過與上帝吵架?
[00:00:04.620 --> 00:00:08.060]  與上帝爭論
[00:00:08.060 --> 00:00:12.700]  《舊約聖經》裏面記載了幾個人物
[00:00:12.700 --> 00:00:15.300]  是與上帝劇烈吵架的
[00:00:15.300 --> 00:00:17.560]  他們的下場是怎樣呢?
[00:00:17.560 --> 00:00:19.820]  他們的下場每個人都很好
[00:00:19.820 --> 00:00:21.620]  比如約伯
[00:00:21.620 --> 00:00:24.460]  你看約伯就知道他與上帝吵架
[00:00:24.460 --> 00:00:26.200]  結果上帝祝福他
[00:00:26.200 --> 00:00:30.080]  他的兒女和財產都雙倍了
[00:00:30.080 --> 00:00:31.800]  這個好不好?
[00:00:31.800 --> 00:00:32.700]  好了
[00:00:32.700 --> 00:00:34.440]  另一個就是瓦割
[00:00:34.440 --> 00:00:36.960]  瓦割不單止與上帝吵架
[00:00:36.960 --> 00:00:39.040]  他又與上帝吵架
[00:00:39.040 --> 00:00:41.440]  整晚與他吵架
[00:00:41.440 --> 00:00:43.440]  上帝就祝福他
[00:00:43.440 --> 00:00:48.760]  上帝就選擇了他做以色列國的始祖
[00:00:48.760 --> 00:00:51.920]  他12個兒子就成爲12個支派
[00:00:51.920 --> 00:00:53.280]  這個是不是好事?
[00:00:53.280 --> 00:00:54.000]  好事
[00:00:54.000 --> 00:00:58.280]  今天我看到約娜她與上帝吵架
[00:00:58.280 --> 00:01:01.520]  結果她成爲了最出名的先知
[00:01:01.520 --> 00:01:04.040]  所有番主學學的小朋友都認識她
[00:01:04.040 --> 00:01:04.840]  是不是?
[00:01:04.840 --> 00:01:07.720]  我想問你
[00:01:07.720 --> 00:01:10.920]  爲什麼上帝祝福這些人呢?
[00:01:10.920 --> 00:01:14.120]  其實與上帝吵架的人
[00:01:14.120 --> 00:01:16.920]  就是對上帝認真的人
[00:01:16.920 --> 00:01:21.240]  上帝欣賞一些對他認真的人
[00:01:21.240 --> 00:01:24.880]  你對上帝是不是認真呢?
[00:01:24.880 --> 00:01:28.560]  你怎麼知道自己對上帝是不是認真呢?
[00:01:28.560 --> 00:01:31.920]  就有一個方法可以認出來的
[00:01:31.920 --> 00:01:34.240]  如果上帝叫你做一些事
[00:01:34.240 --> 00:01:35.840]  你不想做
[00:01:35.840 --> 00:01:38.600]  你就與上帝吵架、爭辯
[00:01:38.600 --> 00:01:40.040]  這個就是認真
[00:01:40.040 --> 00:01:41.760]  但有些人就不是
[00:01:41.760 --> 00:01:43.040]  上帝叫他做一些事
[00:01:43.040 --> 00:01:44.000]  他不肯做
[00:01:44.000 --> 00:01:45.880]  但他好像軟皮蛇那樣
[00:01:45.880 --> 00:01:47.720]  又不說又不聽
[00:01:47.720 --> 00:01:49.000]  上帝不知道你做什麼
[00:01:49.000 --> 00:01:51.160]  這個就不認真
[00:01:51.160 --> 00:01:54.560]  譬如上帝叫你十一奉獻
