
[00:00:00.000 --> 00:00:01.780]  我們在領受聖餵之前
[00:00:01.780 --> 00:00:03.640]  我們先低頭我們來祈禱
[00:00:03.640 --> 00:00:07.320]  天文教你自己親自的來使用孩子
[00:00:07.320 --> 00:00:10.140]  特別願意你的能力在孩子的願望上顯得完全
[00:00:10.140 --> 00:00:11.740]  叫我能夠宣講的時候
[00:00:11.740 --> 00:00:13.380]  不會令到別人被眼窒
[00:00:13.380 --> 00:00:14.680]  令到別人被阻礙
[00:00:14.680 --> 00:00:16.800]  也都叫我能夠有一個好的訊息
[00:00:16.800 --> 00:00:18.360]  聖靈給親自的工作
[00:00:18.360 --> 00:00:20.180]  也教導我們不只是聽一堂道
[00:00:20.180 --> 00:00:21.440]  叫我們真是實踐
[00:00:21.440 --> 00:00:22.800]  叫我們能夠在主理裏面
[00:00:22.800 --> 00:00:24.920]  真是享受真正的安息
[00:00:24.920 --> 00:00:26.520]  聽孩子在你面前的祈禱交托
[00:00:26.520 --> 00:00:27.880]  拉奉主的特性的名
[00:00:27.880 --> 00:00:28.680]  Amen
[00:00:29.840 --> 00:00:33.320]  前特首梁振英當他就快要下台的時候
[00:00:33.320 --> 00:00:38.320]  又有些報章會來看他來到競選之前
[00:00:38.320 --> 00:00:40.040]  許下什麼的承諾
[00:00:40.040 --> 00:00:41.960]  又兌現了多少
[00:00:41.960 --> 00:00:44.000]  發現有很多是沒有兌現的
[00:00:44.000 --> 00:00:47.080]  為了要減輕這些衝擊的時候
[00:00:47.080 --> 00:00:48.200]  你有沒有留意到
[00:00:48.200 --> 00:00:54.000]  他是沒有通過資方和勞方詳細的討論諮詢
[00:00:54.000 --> 00:00:57.360]  就推行了一個叫做合約公示
[00:00:57.360 --> 00:00:59.240]  這個合約公示是什麼呢?
[00:00:59.240 --> 00:01:03.360]  就是如果你月薪少於一萬一千元的話
[00:01:03.360 --> 00:01:05.840]  就要訂下這個合約
[00:01:05.840 --> 00:01:09.680]  如果你要去加班工作的話
[00:01:09.680 --> 00:01:13.480]  僱主就要去另給一個薪金
[00:01:13.480 --> 00:01:15.880]  但是這個合約公示
[00:01:15.880 --> 00:01:18.480]  是三年之後才推行的
[00:01:18.480 --> 00:01:21.840]  表面上就說有六十多萬人去受惠
[00:01:21.840 --> 00:01:24.360]  但是後來一些勞工組織就說
[00:01:24.360 --> 00:01:26.200]  其實受惠的人是很少的
[00:01:26.200 --> 00:01:28.680]  因為一萬一千元月薪的人
[00:01:28.680 --> 00:01:29.920]  其實現在不是很多
[00:01:29.920 --> 00:01:32.960]  就是日薪那些或者散工那些
[00:01:32.960 --> 00:01:34.080]  可能一萬一千元
[00:01:34.080 --> 00:01:35.640]  但是因為他是日薪
[00:01:35.640 --> 00:01:38.920]  所以散工就不計較在這裡了
[00:01:38.920 --> 00:01:42.320]  同時也可以走很多的法律縫隙
[00:01:42.320 --> 00:01:44.480]  因為你想想你賺一萬一千元
[00:01:44.480 --> 00:01:46.760]  絕對不是一個有議價能力的人
[00:01:46.760 --> 00:01:48.160]  於是老闆跟你說
[00:01:48.160 --> 00:01:50.600]  一個星期做六十個小時
[00:01:50.600 --> 00:01:52.880]  那個時間是由老闆訂的
[00:01:52.880 --> 00:01:54.280]  超過六十個小時
[00:01:54.280 --> 00:01:55.520]  我才可以加班
[00:01:55.520 --> 00:01:56.480]  我才給你錢
[00:01:56.480 --> 00:01:58.080]  如果你沒有議價能力
[00:01:58.080 --> 00:01:59.480]  可能你就要接受
[00:01:59.480 --> 00:02:01.480]  又或者老闆再簡單
