
[00:00:00.000 --> 00:00:07.520]  這段經文,如果你想明白它大概想講甚麼
[00:00:07.520 --> 00:00:10.920]  你可以看看有三句說話
[00:00:10.920 --> 00:00:12.600]  是它重複出現過的
[00:00:12.600 --> 00:00:13.600]  有三句說話
[00:00:13.600 --> 00:00:17.600]  在第六節、第十二節和第十四節
[00:00:17.600 --> 00:00:20.760]  這三句說話的意思都是這樣說的
[00:00:20.760 --> 00:00:21.600]  是甚麼?
[00:00:21.600 --> 00:00:25.320]  第六節、第十二節和第十四節
[00:00:25.320 --> 00:00:27.320]  都是在說
[00:00:27.320 --> 00:00:34.320]  使他榮耀的恩典得著稱讚
[00:00:34.320 --> 00:00:38.880]  然後第十二節是甚麼呢?
[00:00:38.880 --> 00:00:44.280]  叫他的榮耀從我們這首先在基督裡有盼望的人
[00:00:44.280 --> 00:00:46.280]  可以得著稱讚
[00:00:46.280 --> 00:00:48.280]  第十四節
[00:00:48.280 --> 00:00:50.280]  最後一句
[00:00:50.280 --> 00:00:54.480]  又是使他的榮耀得著稱讚
[00:00:54.480 --> 00:01:00.560]  所以你看到整段經文可以斬開三個段落
[00:01:00.560 --> 00:01:02.560]  都是用這句作結束
[00:01:02.560 --> 00:01:05.560]  就是神的榮耀或是他的恩典的榮耀
[00:01:05.560 --> 00:01:07.560]  榮耀的恩典得著稱讚
[00:01:07.560 --> 00:01:15.560]  這是敬拜、讚美神的一個很工整的格式和說法
[00:01:15.560 --> 00:01:17.560]  如果再看裏面的內容
[00:01:17.560 --> 00:01:20.560]  你會發覺第一段是講聖父的工作
[00:01:20.560 --> 00:01:24.560]  神、我們的父、耶穌基督的父
[00:01:24.560 --> 00:01:26.560]  他在永恆的裏面
[00:01:26.560 --> 00:01:28.560]  在創造世界以前
[00:01:28.560 --> 00:01:30.560]  他已經預定了
[00:01:30.560 --> 00:01:32.560]  他已經揀選了你和我
[00:01:32.560 --> 00:01:34.560]  他怎樣揀選和預定呢?
[00:01:34.560 --> 00:01:36.560]  他沒有告訴我們
[00:01:36.560 --> 00:01:38.560]  是否因為他靚仔靚女呢?
[00:01:38.560 --> 00:01:40.560]  是否因為你聽他的話呢?
[00:01:40.560 --> 00:01:42.560]  他沒有說這是他的主權
[00:01:42.560 --> 00:01:44.560]  但他已經揀選了
[00:01:44.560 --> 00:01:46.560]  他已經預定在計劃裏面
