
[00:00:00.000 --> 00:00:04.160]  各位弟兄姊妹,主內平安,新年蒙福
[00:00:04.160 --> 00:00:10.320]  在新一年的裏面,我祝願大家凡事興盛,身體健壯
[00:00:10.320 --> 00:00:13.720]  正如你們的靈魂興盛一樣
[00:00:13.720 --> 00:00:17.320]  希望在新一年的裏面,各位弟兄姊妹繼續蒙福
[00:00:17.320 --> 00:00:21.680]  亦都能夠成為,繼續成為主次福的渠道
[00:00:21.680 --> 00:00:25.040]  在每一年,我們踏入新的一年的時候
[00:00:25.040 --> 00:00:27.720]  我們總是抱有期盼
[00:00:27.720 --> 00:00:31.800]  我們希望在新一年的裏面,有更美好的發展
[00:00:31.800 --> 00:00:33.680]  或者有一些的轉機
[00:00:33.680 --> 00:00:37.240]  無論是我們的淑靈生命,還是我們的家庭
[00:00:37.240 --> 00:00:40.360]  我們的學業,我們的事業等等
[00:00:40.360 --> 00:00:44.360]  確實,新一年是一個里程碑
[00:00:44.360 --> 00:00:46.400]  給我們有新開始的機會
[00:00:46.400 --> 00:00:50.840]  但是具體來說,去年和新一年
[00:00:50.840 --> 00:00:52.840]  除了數字上不同之外
[00:00:52.840 --> 00:00:56.320]  有什麼實質的分別呢
[00:00:56.320 --> 00:01:01.360]  以至可以為我們新一年裏面,帶來新的盼望呢
[00:01:01.360 --> 00:01:03.880]  在過去兩年的裏面
[00:01:03.880 --> 00:01:09.560]  在新年的時候,很多人的新年願望都是希望疫情快快的過去
[00:01:09.560 --> 00:01:13.280]  但是很可惜,在過去兩年,願望都落空
[00:01:13.280 --> 00:01:16.440]  不少人都曾經出現抗疫疲勞
[00:01:16.440 --> 00:01:19.280]  在過去的日子裏面
[00:01:19.280 --> 00:01:22.880]  可能自己、家人、身邊的人相繼染疫
[00:01:22.880 --> 00:01:26.520]  要隔離等等,很多不容易的故事
[00:01:26.520 --> 00:01:31.200]  有時我們都可能感覺到很疲乏、很累
[00:01:31.200 --> 00:01:35.200]  近來我們終於漸漸開始復常了
[00:01:35.200 --> 00:01:37.960]  這個是我們一直所等待的
[00:01:37.960 --> 00:01:39.120]  不過我們都知道
[00:01:39.120 --> 00:01:42.920]  疫情雖然影響著我們生活裏面每一個的環節
[00:01:42.920 --> 00:01:47.320]  但是疫情並不是我們生命的全部
[00:01:47.320 --> 00:01:52.600]  我們仍然要面對生活裏面種種很多不同的事情
[00:01:52.600 --> 00:01:54.320]  在復常的當中
[00:01:54.320 --> 00:01:59.480]  我們仍然要面對可能會遇到的一些無常的事情
[00:01:59.480 --> 00:02:04.960]  因此,或者我們更加要去關注的一個很基本的問題
[00:02:04.960 --> 00:02:10.960]  是究竟怎樣才能夠恆久地在生活裏面有力量
[00:02:10.960 --> 00:02:13.880]  去面對每一天遇到的事情
[00:02:13.880 --> 00:02:17.240]  在每一天裏面來靠主前行
[00:02:17.240 --> 00:02:21.280]  今天我們繼續去看《二刷書》的講道系列
[00:02:21.280 --> 00:02:26.080]  今天我們來到第四十章的最後一個段落
[00:02:26.080 --> 00:02:29.160]  盼望藉著這短短五節的經文
[00:02:29.160 --> 00:02:33.520]  我們一起去思想怎樣去舊迎新
[00:02:33.520 --> 00:02:37.840]  怎樣去除我們生命裏面一些疲乏、一些重擔
[00:02:37.840 --> 00:02:42.000]  並且我們迎接充滿力量新的一年
[00:02:42.000 --> 00:02:44.440]  首先我們一起去看今天的經文
[00:02:44.440 --> 00:02:50.360]  《二刷書》四十章,二十七至三十一節
[00:02:50.360 --> 00:02:53.160]  我們一起讀出這段經文
[00:02:53.160 --> 00:02:58.560]  雅閣啊!你為何說,我的道路向耶和華隱藏?
[00:02:58.560 --> 00:03:04.000]  以色列啊!你為何言,我的冤屈神並不查問?
[00:03:04.000 --> 00:03:07.880]  你豈不曾知道嗎?你豈不曾聽見嗎?
[00:03:07.880 --> 00:03:11.880]  永在的神耶和華,創造地極的主
[00:03:11.880 --> 00:03:17.240]  並不疲乏,也不困倦,他的智慧無法測度
[00:03:17.240 --> 00:03:21.840]  疲乏的他賜能力,軟弱的他加力量
[00:03:21.840 --> 00:03:25.200]  就是少年人也要疲乏困倦
[00:03:25.200 --> 00:03:28.320]  強壯的也必全然跌倒
[00:03:28.320 --> 00:03:32.080]  但那等候耶和華的必重新得力
[00:03:32.080 --> 00:03:34.760]  他們必如鷹展翅上騰
[00:03:34.760 --> 00:03:40.320]  他們奔跑卻不困倦,行走卻不疲乏
[00:03:40.320 --> 00:03:45.440]  《二刷書》四十章是《二刷書》第二部分的開始
[00:03:45.440 --> 00:03:51.080]  之前主要是講到神對他的指紋和列國的審判
[00:03:51.080 --> 00:03:53.400]  來到第四十章開始下半部分
[00:03:53.400 --> 00:03:58.440]  的訊息主要是聚焦在安慰和救贖之中
[00:03:58.440 --> 00:04:02.480]  《二刷書》第四十章正正是上下兩部分的轉折點
[00:04:02.480 --> 00:04:04.920]  處於一個很特別的位置
[00:04:04.920 --> 00:04:09.680]  就好像黑夜和黎明之間的一個交替
[00:04:09.680 --> 00:04:12.480]  《上文》第三十九章
[00:04:12.480 --> 00:04:15.440]  「以錯下先知,清楚來到去預言,
[00:04:15.440 --> 00:04:19.200]  猶大國將會被巴比倫所擄掠」
[00:04:19.200 --> 00:04:21.160]  在歷史當中我們也看見
[00:04:21.160 --> 00:04:24.800]  確實在公元前五百八十六年
[00:04:24.800 --> 00:04:28.160]  猶大國被巴比倫所攻陷
[00:04:28.160 --> 00:04:31.040]  很多神的指紋被擄到巴比倫
[00:04:31.040 --> 00:04:34.880]  前後共有大概七十年時間那麼久
[00:04:34.880 --> 00:04:38.160]  在這個很漫長艱苦的歲月裏面
[00:04:38.160 --> 00:04:41.920]  一連串問題不禁就會在神的指紋心裏面
[00:04:41.920 --> 00:04:43.640]  浮現
[00:04:43.640 --> 00:04:47.680]  究竟為什麼這樣的厄運會臨到我們身上呢?
[00:04:47.680 --> 00:04:52.880]  究竟神是否不再眷顧、不再顧念我們呢?
[00:04:52.880 --> 00:04:54.320]  祂是否沒有能力保護我們?
[00:04:54.320 --> 00:04:56.960]  祂是否已經忘記了我們呢?
[00:04:56.960 --> 00:04:59.080]  丙子妹,這些連串的問題
[00:04:59.080 --> 00:05:03.000]  或者我們都會似曾相識
[00:05:03.000 --> 00:05:04.920]  有時在我們人生的低潮裏面
[00:05:04.920 --> 00:05:08.800]  我們心裏面可能都會浮現類似這樣的疑問
[00:05:08.800 --> 00:05:11.120]  雖然我們理性上
[00:05:11.120 --> 00:05:13.160]  我們可能都知道答案
[00:05:13.160 --> 00:05:17.280]  不過這樣的感受就在我們心頭裏面湧現
[00:05:17.280 --> 00:05:19.520]  《倚翠下書》四十章
[00:05:19.520 --> 00:05:25.160]  正正是要回應神指紋這些內心的吶喊
[00:05:25.160 --> 00:05:27.680]  在幾個星期前
[00:05:27.680 --> 00:05:31.600]  梁牧師和我們的同師上過四十章的第一部份
