
[00:00:00.000 --> 00:00:04.560]  今早回來,大家準備好聆聽神的話語未呢?
[00:00:04.560 --> 00:00:07.600]  還記不記得這個暑假,我今次回來
[00:00:07.600 --> 00:00:10.680]  就講了兩堂肥里門書
[00:00:10.680 --> 00:00:12.960]  今日係最後一堂
[00:00:12.960 --> 00:00:18.180]  重溫少少啦,第一堂呢
[00:00:18.180 --> 00:00:20.940]  講到那個title叫做「星」呢
[00:00:20.940 --> 00:00:26.200]  係講緊福音如何重新定義人與人之間嘅關係
[00:00:26.200 --> 00:00:30.320]  第二堂愛回家,講到教會群體嘅功課
[00:00:30.320 --> 00:00:33.860]  今日第三堂,請勿超越黃線
[00:00:33.860 --> 00:00:36.480]  Please stand behind the yellow line
[00:00:36.480 --> 00:00:39.120]  咁如果上兩堂你冇喺我哋當中
[00:00:39.120 --> 00:00:41.440]  或者係網上面去睇嘅時候呢
[00:00:41.440 --> 00:00:44.040]  我而家嘗試用少少嘅時間
[00:00:44.040 --> 00:00:47.240]  去同大家重溫,做個總結
[00:00:47.240 --> 00:00:52.400]  咁肥里門書呢唔係一本好深入神學嘅書卷
[00:00:52.400 --> 00:00:56.520]  但係佢對基督徒人際之間嘅關係
[00:00:56.520 --> 00:00:58.880]  同教會群體嘅本質呢
[00:00:58.880 --> 00:01:02.400]  提供咗好多好寶貴嘅見解
[00:01:02.400 --> 00:01:04.280]  根據經文去推斷
[00:01:04.280 --> 00:01:07.680]  保羅第一次喺羅馬被監禁嘅時候
[00:01:07.680 --> 00:01:12.080]  為奴隸亞利西謀寫咗一封求情信
[00:01:12.080 --> 00:01:16.520]  要佢親身將呢封信帶去哥羅西
[00:01:16.520 --> 00:01:21.120]  因為佢冒犯咗佢嘅主人肥里門
[00:01:21.120 --> 00:01:25.200]  普遍推測呢係呢個奴隸偷咗佢主人嘅錢
[00:01:25.200 --> 00:01:27.000]  之後呢就走咗佬
[00:01:27.000 --> 00:01:28.320]  去咗羅馬
[00:01:28.320 --> 00:01:31.680]  唔知喺咩情況底下呢就認識咗保羅
[00:01:31.680 --> 00:01:35.080]  藉住保羅信咗耶穌
[00:01:35.080 --> 00:01:38.680]  之後呢佢仲成為咗保羅嘅福音夥伴
[00:01:38.680 --> 00:01:42.160]  同佢一齊宣講天國嘅福音
[00:01:42.160 --> 00:01:46.680]  喺信裡面保羅稱呼亞利西謀為孩子
[00:01:46.680 --> 00:01:50.320]  甚至無願意將佢虧欠主人嘅攬上身
[00:01:50.320 --> 00:01:52.640]  代佢還債
[00:01:52.640 --> 00:01:59.000]  保羅呢個動作突顯咗福音徹底和解同寬恕嘅大能
[00:01:59.000 --> 00:02:04.160]  另外一個可能性係呢個肥里門主人
[00:02:04.160 --> 00:02:08.200]  將呢個奴隸差咗出去去辦一啲事情
[00:02:08.200 --> 00:02:11.960]  結果呢個奴隸去咗之後一去不返
[00:02:11.960 --> 00:02:14.280]  屋企少咗個奴隸
[00:02:14.280 --> 00:02:18.280]  唔多唔少都令到佢嘅主人有所損失
[00:02:18.280 --> 00:02:21.480]  無論點都好呢封信嘅主要目的
[00:02:21.480 --> 00:02:27.480]  係保羅懇求肥里門要重新接納亞利西謀
[00:02:27.480 --> 00:02:31.400]  因為亞利西謀已經信咗主耶穌基督
[00:02:31.400 --> 00:02:34.120]  成為佢自己嘅個人救主
[00:02:34.120 --> 00:02:35.720]  所以保羅喺裡面話
[00:02:35.720 --> 00:02:41.800]  「不再是奴隸,而是高過奴隸,是親愛的弟兄」
[00:02:41.800 --> 00:02:43.640]  呢一封求情信
[00:02:43.640 --> 00:02:47.360]  表面收信嘅人係主人肥里門
[00:02:47.360 --> 00:02:50.880]  但實質收信嘅其實係肥里門
[00:02:50.880 --> 00:02:54.520]  家裡面一齊聚會嘅弟兄姊妹
[00:02:54.520 --> 00:02:59.480]  一個相信並且跟隨基督嘅群體
[00:02:59.480 --> 00:03:03.120]  佢哋都要寬恕同接納呢位弟兄
[00:03:03.120 --> 00:03:08.520]  因為寬恕同接納係基督耶穌樹立嘅榜樣
[00:03:08.520 --> 00:03:11.320]  保羅嘅心願係教會呢一個群體
[00:03:11.320 --> 00:03:15.400]  能夠反映基督嘅生命、福音嘅文化
[00:03:15.400 --> 00:03:18.920]  今日第三堂請勿超越黃線
[00:03:18.920 --> 00:03:21.080]  Please stand behind the yellow line
[00:03:21.080 --> 00:03:24.520]  我哋先低頭祈禱
[00:03:24.520 --> 00:03:27.640]  出入主掌管我哋生命嘅神
[00:03:27.640 --> 00:03:30.280]  感謝你與我哋同在
[00:03:30.280 --> 00:03:33.160]  聖靈24/7咁樣喺我哋生命裡面
[00:03:33.160 --> 00:03:35.920]  去為我哋去祈禱
[00:03:35.920 --> 00:03:37.600]  去提醒
[00:03:37.600 --> 00:03:39.320]  指引
[00:03:39.320 --> 00:03:42.280]  願人都尊你的名為聖
[00:03:42.280 --> 00:03:44.720]  願你的國降臨
[00:03:44.720 --> 00:03:47.360]  願你的旨意行在地上
[00:03:47.360 --> 00:03:49.800]  如同行在天上
[00:03:49.800 --> 00:03:51.880]  阿們
[00:03:51.880 --> 00:03:53.960]  唔知你有冇留意呢
[00:03:53.960 --> 00:03:55.760]  肥利門書裏面呢
[00:03:55.760 --> 00:04:00.360]  短短嘅25節前後係提過十個人名嘅
[00:04:00.360 --> 00:04:02.560]  而當中呢係有三個主角
[00:04:02.560 --> 00:04:07.880]  呢三個主角就係保羅、肥利門同埋亞利西某
[00:04:07.880 --> 00:04:11.920]  但成封信呢其實係得一個人喺我講嘅嘢嘅啫
[00:04:11.920 --> 00:04:16.400]  而耶穌基督呢係從來冇出現過
