
[00:00:00.000 --> 00:00:02.540]  讓我們先做一次同心低頭的禱告
[00:00:02.540 --> 00:00:07.820]  愛我們的恩主,我們要感謝祢
[00:00:07.820 --> 00:00:10.720]  祢讓我們有今天這麼美好的清晨
[00:00:10.720 --> 00:00:13.480]  能夠去到祢的面前去崇拜祢
[00:00:13.480 --> 00:00:15.980]  願祢讓我們能夠專心
[00:00:15.980 --> 00:00:18.620]  可以留心去聽
[00:00:18.620 --> 00:00:21.860]  專心去看,去經歷祢的豐富
[00:00:21.860 --> 00:00:23.360]  沾染祢的榮光
[00:00:23.360 --> 00:00:26.120]  願每人口中的寓意,對應節目之間的心思意念
[00:00:26.120 --> 00:00:28.080]  蒙聖靈的啟迪,蒙主的月立
[00:00:28.080 --> 00:00:30.080]  禱告奉耶穌基督的名
[00:00:30.080 --> 00:00:32.080]  阿們
[00:00:58.080 --> 00:01:00.080]  這次不知道你預備了會做些什麼
[00:01:00.080 --> 00:01:02.080]  可能最忙預備的就是
[00:01:02.080 --> 00:01:05.220]  訂定地方吃聖誕大餐
[00:01:05.220 --> 00:01:08.240]  又或者聖誕節要休息一下
[00:01:08.240 --> 00:01:10.240]  去看一齣戲
[00:01:10.240 --> 00:01:12.240]  我記得很小的時候已經
[00:01:12.240 --> 00:01:14.240]  經常想著
[00:01:14.240 --> 00:01:16.240]  等聖誕節,因為我很喜歡聖誕節
[00:01:16.240 --> 00:01:18.240]  因為聖誕節可以吃大餐
[00:01:18.240 --> 00:01:20.240]  聖誕節可以休息
[00:01:20.240 --> 00:01:23.240]  聖誕節我每年都有習慣都會去戲院看戲
[00:01:23.240 --> 00:01:26.340]  當然這個習慣過去這十年開始就沒有了
[00:01:27.340 --> 00:01:29.340]  前幾天有一個朋友跟我聊天
[00:01:29.340 --> 00:01:31.340]  一個很舊的老朋友跟我聊天
[00:01:31.340 --> 00:01:36.840]  他說他終於等到今年有機會再去戲院看戲了
[00:01:36.840 --> 00:01:41.340]  因為可能他等了一套戲等了很多年,終於有了
[00:01:41.340 --> 00:01:43.340]  不知道你是不是也在等那套戲
[00:01:43.340 --> 00:01:45.340]  他問我,不如一起看吧
[00:01:45.340 --> 00:01:48.340]  接著他還說,我記得你以前很喜歡看戲的
[00:01:48.340 --> 00:01:50.340]  你經常都聖誕節去看戲的
[00:01:50.340 --> 00:01:52.340]  我回答他
[00:01:52.340 --> 00:01:55.340]  是呀,以前嘛,現在就很久沒有了
[00:01:55.340 --> 00:01:58.340]  太久沒有進戲院了,因為太忙碌
[00:01:58.340 --> 00:02:00.340]  我告訴他,近幾年開始
[00:02:00.340 --> 00:02:06.340]  我更喜歡看的聖誕表演或畫面或場景
[00:02:06.340 --> 00:02:08.340]  就是聖經裏面的場景
[00:02:08.340 --> 00:02:10.340]  包括在聖誕崇拜裏面
[00:02:10.340 --> 00:02:12.340]  看小朋友做的聖景都很精彩
[00:02:12.340 --> 00:02:14.340]  希望大家到時也一起去參與
[00:02:14.340 --> 00:02:16.340]  但當我們打開聖經
[00:02:16.340 --> 00:02:18.340]  看見聖經這個場景
[00:02:18.340 --> 00:02:21.340]  耶穌基督出世,這個聖誕場景的時候
[00:02:21.340 --> 00:02:23.340]  不知道會想起甚麼
[00:02:23.340 --> 00:02:25.340]  我小時候看聖經的時候已經在想
[00:02:25.340 --> 00:02:29.340]  到底耶穌出世這個畫面,這個情景裏面
[00:02:29.340 --> 00:02:31.340]  有甚麼的主角呢
[00:02:31.340 --> 00:02:33.340]  當然有耶穌啦
[00:02:33.340 --> 00:02:36.340]  不過如果要選最佳的主角
[00:02:36.340 --> 00:02:38.340]  無論是男主角還是女主角都好
[00:02:38.340 --> 00:02:40.340]  你會選哪一個呢
[00:02:40.340 --> 00:02:42.340]  我小時候就在想
[00:02:42.340 --> 00:02:43.340]  應該不是耶穌吧
[00:02:43.340 --> 00:02:46.340]  在嬰兒時期也沒有甚麼演技
[00:02:46.340 --> 00:02:48.340]  可能也是爸爸或媽媽
[00:02:48.340 --> 00:02:50.340]  最佳男主角應該也是約瑟
[00:02:50.340 --> 00:02:52.340]  最佳女主角應該也是瑪麗亞
[00:02:52.340 --> 00:02:53.340]  不過如果比較的話
[00:02:53.340 --> 00:02:55.340]  我想也是瑪麗亞會贏的
[00:02:55.340 --> 00:02:57.340]  因為約瑟沒有甚麼氣氛
[00:02:57.340 --> 00:02:58.340]  看聖經揭來揭去
[00:02:58.340 --> 00:02:59.340]  約瑟沒有甚麼氣氛
[00:02:59.340 --> 00:03:00.340]  瑪麗亞多一點點
[00:03:00.340 --> 00:03:02.340]  這個最佳的女主角
[00:03:02.340 --> 00:03:04.340]  瑪麗亞
[00:03:04.340 --> 00:03:06.340]  到底我們怎樣看她呢
[00:03:06.340 --> 00:03:08.340]  我曾經在教會成長的時候
[00:03:08.340 --> 00:03:11.340]  回教會跟一些電影姐妹、導師分享
[00:03:11.340 --> 00:03:13.340]  我覺得瑪麗亞也很好
[00:03:13.340 --> 00:03:14.340]  說了很多話的時候
[00:03:14.340 --> 00:03:16.340]  有人跟我說
[00:03:16.340 --> 00:03:18.340]  我們教會不是很多說瑪麗亞的
[00:03:18.340 --> 00:03:20.340]  我說為甚麼呢
[00:03:20.340 --> 00:03:22.340]  因為當我們說瑪麗亞
[00:03:22.340 --> 00:03:23.340]  例如說聖母瑪麗亞
[00:03:23.340 --> 00:03:25.340]  人們就會想起天主教會
[00:03:25.340 --> 00:03:26.340]  我們是基督教的
[00:03:26.340 --> 00:03:27.340]  基督教是不說聖母的
[00:03:27.340 --> 00:03:29.340]  然後我說哦
[00:03:29.340 --> 00:03:31.340]  當然小時候我不太明白
[00:03:31.340 --> 00:03:33.340]  教會也有不同的傳統
[00:03:33.340 --> 00:03:34.340]  但當我大一點發現的時候
[00:03:34.340 --> 00:03:35.340]  沒錯
[00:03:35.340 --> 00:03:36.340]  當我們提到瑪麗亞
[00:03:36.340 --> 00:03:37.340]  我也明白
[00:03:37.340 --> 00:03:39.340]  她的神性不在於她很獨特
[00:03:39.340 --> 00:03:40.340]  她跟上帝很不同
[00:03:40.340 --> 00:03:41.340]  她不是神
[00:03:41.340 --> 00:03:45.340]  但是瑪麗亞也有她值得我們欣賞學習的地方
[00:03:45.340 --> 00:03:46.340]  我們稱呼她為聖母
[00:03:46.340 --> 00:03:49.340]  不是因為她比我們神性很多
[00:03:49.340 --> 00:03:50.340]  而是因為她的經歷
[00:03:50.340 --> 00:03:51.340]  她的感受
[00:03:51.340 --> 00:03:53.340]  她對上帝那份堅守的信心
[00:03:53.340 --> 00:03:55.340]  是我們值得學習的
[00:03:55.340 --> 00:03:57.340]  所以我們尊稱她為聖母瑪麗亞
