
[00:00:00.000 --> 00:00:05.200]  約翰福音第六章,三十二節到三十三節,我們一起來念
[00:00:05.200 --> 00:00:17.000]  耶穌說:我實實在在地告訴你們,那從天上來的鳥不是摩西賜給你們的,乃是我父將天上的來賜給你們
[00:00:17.000 --> 00:00:25.000]  因為神的鳥就是祂從天上叫下來賜給我們,給世界,我們一起禱告
[00:00:25.000 --> 00:00:28.000]  我們在天上的父神愛我們的主耶穌基督
[00:00:28.000 --> 00:00:32.000]  我們真的是滿心歡喜的來到你們面前
[00:00:32.000 --> 00:00:37.000]  也知道我們每一個人在這個世界上,我們會有重擔
[00:00:37.000 --> 00:00:40.000]  我們也會有難過的時候,我們也會有憂傷的時候
[00:00:40.000 --> 00:00:43.000]  我們都願意把祂帶到你們面前來
[00:00:43.000 --> 00:00:46.000]  我們知道你是天天背負我們重擔的主
[00:00:46.000 --> 00:00:51.000]  我們再一次的把弟兄姊妹或者是朋友,我們都交在自己的手中
[00:00:51.000 --> 00:00:56.000]  讓我們來到你面前,我們得見你的面,我們就心滿意足了
[00:00:56.000 --> 00:01:00.000]  我們感謝你,禱告放耶穌基督的聖名
[00:01:00.000 --> 00:01:07.000]  好,那麼我們今天先從經文我們看內容
[00:01:07.000 --> 00:01:11.000]  然後之後我們再找出相關的重點,好不好
[00:01:11.000 --> 00:01:14.000]  約翰福音第六章第一節到三十三節
[00:01:14.000 --> 00:01:17.000]  我們大概可以從第一節到第十四節
[00:01:17.000 --> 00:01:20.000]  這是主耶穌行的一個很大的一個神蹟
[00:01:20.000 --> 00:01:27.000]  然後從十五節是一個好像單獨的一句話
[00:01:27.000 --> 00:01:31.000]  但是從十六節一直到第二十七節
[00:01:31.000 --> 00:01:38.000]  那麼這裡講到這個人當他們看見主耶穌行的神蹟之後
[00:01:38.000 --> 00:01:40.000]  他們的反應是怎麼樣的
[00:01:40.000 --> 00:01:43.000]  那最後我們就是看到三十三節
[00:01:43.000 --> 00:01:45.000]  那第一節到第十四節
[00:01:45.000 --> 00:01:51.000]  這裡我們看見耶穌祂用五餅二魚,食五千個男人
[00:01:51.000 --> 00:01:55.000]  在這裡我們要記住,是五千個男人吃飽
[00:01:55.000 --> 00:01:59.000]  所以要加上婦女或者是孩子們
[00:01:59.000 --> 00:02:04.000]  所以有很多人認為說大概有超過一萬人以上
[00:02:04.000 --> 00:02:06.000]  那我們看到第一節的時候
[00:02:06.000 --> 00:02:11.000]  他說這是以後耶穌渡過加利利海,就是提比利亞海
[00:02:11.000 --> 00:02:16.000]  有許多人因為看見祂在病人身上所行的神蹟
[00:02:16.000 --> 00:02:17.000]  就跟隨祂
[00:02:17.000 --> 00:02:19.000]  這是我們從經文裡面我們曉得
[00:02:19.000 --> 00:02:21.000]  為什麼會有這麼多人跟隨祂
[00:02:21.000 --> 00:02:25.000]  因為祂在病人身上所行的神蹟
[00:02:25.000 --> 00:02:28.000]  所以就跟隨祂
[00:02:28.000 --> 00:02:30.000]  我們接下去就看見
[00:02:30.000 --> 00:02:33.000]  耶穌上了山和門徒一同坐在那裡
[00:02:33.000 --> 00:02:35.000]  那時猶太人的月節近了
[00:02:35.000 --> 00:02:38.000]  耶穌舉目看見許多人來
[00:02:38.000 --> 00:02:42.000]  就對菲利說我們從哪裡買餅叫這些人吃呢
[00:02:42.000 --> 00:02:45.000]  他說這話是要試驗菲利
[00:02:45.000 --> 00:02:48.000]  他自己原知道要怎樣行
[00:02:48.000 --> 00:02:50.000]  耶穌看見許多人
[00:02:50.000 --> 00:02:51.000]  所以他對菲利
[00:02:51.000 --> 00:02:53.000]  菲利就對他說
[00:02:53.000 --> 00:02:58.000]  我們從哪裡買這麼多餅叫這些人吃呢
[00:02:58.000 --> 00:03:02.000]  他說這話主耶穌實際上
[00:03:02.000 --> 00:03:04.000]  祂知道祂要做什麼
[00:03:04.000 --> 00:03:06.000]  祂也知道祂應該做什麼
[00:03:06.000 --> 00:03:08.000]  菲利的反應是什麼
[00:03:08.000 --> 00:03:09.000]  他說二十兩銀子
[00:03:09.000 --> 00:03:15.000]  這個二十兩銀子相當於兩百天的一個工錢
