
[00:00:00.000 --> 00:00:03.280]  在開啓我們回到這段經文之前
[00:00:03.280 --> 00:00:06.240]  我想問大家一條問題
[00:00:06.240 --> 00:00:07.320]  這條問題是什麼呢
[00:00:07.320 --> 00:00:09.320]  就是基督徒
[00:00:09.320 --> 00:00:11.880]  你們相信耶和華嗎
[00:00:11.880 --> 00:00:15.360]  基督徒你們相信耶和華嗎
[00:00:15.360 --> 00:00:19.920]  那這句話如果我想問你們的時候
[00:00:19.920 --> 00:00:22.440]  我希望你們不要猜測
[00:00:22.440 --> 00:00:26.760]  牧師你是不是今天透過這個機會來到
[00:00:26.760 --> 00:00:30.040]  奉行一下我們的主靈生命
[00:00:30.040 --> 00:00:30.920]  不是這個意思
[00:00:30.920 --> 00:00:33.480]  我最主要爲什麼問大家這個問題
[00:00:33.480 --> 00:00:36.920]  就是因爲今天我們發現有一個很明顯的情況
[00:00:36.920 --> 00:00:38.560]  就是我們很多基督徒
[00:00:38.560 --> 00:00:41.080]  今天是說到我們是聖經主的
[00:00:41.080 --> 00:00:44.440]  我們明明白白的來到
[00:00:44.440 --> 00:00:46.520]  每一個星期來到崇拜
[00:00:46.520 --> 00:00:49.720]  每天我們也可能打開你的說話
[00:00:49.720 --> 00:00:52.120]  打開聖經來到一起來讀
[00:00:52.120 --> 00:00:54.400]  但是我們發現很多基督徒
[00:00:54.400 --> 00:00:57.440]  縱嚴他們自己聖經已經聖經主
[00:00:57.440 --> 00:01:00.760]  但是他們實際上面的表面的生活
[00:01:00.760 --> 00:01:06.200]  表現出對於耶和華很不信任的一種情況
[00:01:06.200 --> 00:01:12.000]  我最近學到一個普通話的名詞
[00:01:12.000 --> 00:01:15.320]  信任意思普通話應該就是靠譜
[00:01:15.320 --> 00:01:15.880]  對不對
[00:01:15.880 --> 00:01:16.920]  靠譜
[00:01:16.920 --> 00:01:17.640]  對不對
[00:01:17.640 --> 00:01:20.160]  很多時候我們道理上面
[00:01:20.160 --> 00:01:23.200]  覺得我們神是不是真的靠得住了
[00:01:23.200 --> 00:01:29.120]  我們真是相信他能夠帶領我們走每一天的生活嗎
[00:01:29.120 --> 00:01:29.640]  很明顯
[00:01:29.640 --> 00:01:30.920]  很多時候我們發現
[00:01:30.920 --> 00:01:33.760]  當我們在我們平常的生活裏面
[00:01:33.760 --> 00:01:36.080]  我們自作主張的情況
[00:01:36.080 --> 00:01:39.400]  比我們真的相信主的說話來的根據
