
[00:00:00.000 --> 00:00:07.520]  這次我們來看《耶和華神在監房與弱室同在,仍然是弱室的故事》
[00:00:07.520 --> 00:00:09.360]  《弱室的故事》很長的
[00:00:09.360 --> 00:00:11.240]  要講很久了
[00:00:11.240 --> 00:00:14.680]  聖經人聖經事新穎說書的網絡為大家提供的
[00:00:14.680 --> 00:00:17.360]  希望我們當中人就是弱室
[00:00:17.360 --> 00:00:21.760]  事就是耶和華在監房仍然與弱室同在
[00:00:21.760 --> 00:00:24.240]  神的手是從來沒有離開過的
[00:00:24.240 --> 00:00:26.240]  十分之感恩
[00:00:26.240 --> 00:00:28.240]  好了,繼續下去
[00:00:28.240 --> 00:00:34.360]  「弱室的主人波提弗聽見他妻子對他所說的話」
[00:00:34.360 --> 00:00:36.360]  說什麼呢?
[00:00:36.360 --> 00:00:39.360]  「你的僕人如此如此待我」
[00:00:39.360 --> 00:00:40.720]  聽到他太太這麼說
[00:00:40.720 --> 00:00:44.600]  他就生氣
[00:00:44.600 --> 00:00:49.960]  「把弱室下在監裡,就是王的囚犯被囚的地方」
[00:00:49.960 --> 00:00:52.960]  「於是弱室在那裡坐監」
[00:00:52.960 --> 00:00:54.360]  真的很有趣
[00:00:54.360 --> 00:00:59.800]  這句字原來一百年前也用「坐監」的中文
[00:00:59.800 --> 00:01:06.960]  「弱室的主人波提弗聽見他妻子對他所說的話」
[00:01:06.960 --> 00:01:08.960]  留意一下
[00:01:08.960 --> 00:01:11.240]  主人有名叫波提弗
[00:01:11.240 --> 00:01:14.560]  但他太太上帝並沒有提起他
[00:01:14.560 --> 00:01:17.000]  連名字也沒有,到現在也不知道
[00:01:17.000 --> 00:01:20.720]  「他太太對他所說的話」
[00:01:20.720 --> 00:01:23.560]  「你的僕人如此如此對我」
[00:01:23.560 --> 00:01:25.560]  生氣
[00:01:25.560 --> 00:01:28.880]  這個「生氣」
[00:01:28.880 --> 00:01:30.880]  第一點要說的就是
[00:01:30.880 --> 00:01:36.240]  有個人生氣而令弱室坐監
[00:01:36.240 --> 00:01:40.800]  「生」和「氣」是兩個字
[00:01:40.800 --> 00:01:43.880]  「生」是kara
[00:01:43.880 --> 00:01:47.600]  「kara」是引發燃氣
[00:01:47.600 --> 00:01:54.840]  例如漏油漏氣
[00:01:54.840 --> 00:01:56.840]  是引發的
[00:01:56.840 --> 00:02:03.440]  例如砲槍有條心,引發爆炸
[00:02:03.440 --> 00:02:08.960]  「生」是引發、燃起了氣
[00:02:08.960 --> 00:02:11.440]  「生氣」是Anger
[00:02:11.440 --> 00:02:19.600]  但「氣」這個字「af」可以讀作「af」
[00:02:19.600 --> 00:02:22.240]  是「鼻」的意思
[00:02:22.240 --> 00:02:24.640]  是引發了鼻
[00:02:24.640 --> 00:02:27.040]  很生氣
[00:02:27.040 --> 00:02:30.680]  聖經中很多時會用「鼻」這個字
[00:02:30.680 --> 00:02:32.680]  是表示怒氣
[00:02:32.680 --> 00:02:38.040]  他向我鼻子或鼻的氣
[00:02:38.040 --> 00:02:40.040]  是表示生氣
[00:02:40.040 --> 00:02:42.040]  引發了生氣
[00:02:42.040 --> 00:02:45.240]  就將弱室下在監裡
[00:02:45.240 --> 00:02:48.240]  這個「生氣」導致弱室坐監
[00:02:48.240 --> 00:02:52.920]  把他押入大牢
[00:02:52.920 --> 00:02:55.240]  就是他的主人
[00:02:55.240 --> 00:02:58.760]  這個大牢是甚麼呢?
[00:02:58.760 --> 00:03:06.480]  是埃及王法老囚禁一些他想囚禁的犯人
[00:03:06.480 --> 00:03:09.240]  當時這樣可以嗎?不用審嗎?
[00:03:09.240 --> 00:03:11.880]  皇帝說是審的
[00:03:11.880 --> 00:03:13.160]  把他押入大牢
[00:03:13.160 --> 00:03:15.160]  慢慢罰下來
[00:03:15.160 --> 00:03:17.160]  慢慢處置
[00:03:17.160 --> 00:03:19.160]  大牢在哪裏呢?
[00:03:19.160 --> 00:03:26.840]  原來皇帝要把人押入大牢
[00:03:26.840 --> 00:03:31.960]  大牢的監房在波提弗家
[00:03:31.960 --> 00:03:33.960]  因為他是護衛長
[00:03:33.960 --> 00:03:35.960]  這個人交給你看守
[00:03:35.960 --> 00:03:39.960]  把他押入監房,因為監房在他家
[00:03:39.960 --> 00:03:44.680]  所以監房的弱室是熄滅的
[00:03:44.680 --> 00:03:47.640]  而主母也知道監房在哪裏
[00:03:47.640 --> 00:03:50.200]  不過豈有此理
[00:03:50.200 --> 00:03:53.720]  我看你這麼帥
