
[00:00:00.000 --> 00:00:03.160]  剛剛讀了兩篇聖經,兩章三十九四十章
[00:00:03.160 --> 00:00:05.520]  我不知道大家記不記得兩個禮拜前
[00:00:05.520 --> 00:00:08.580]  在港島的時候,我很罕有的會用PowerPoint
[00:00:08.580 --> 00:00:11.060]  出了一張照片,有沒有印象,那張照片是什麼?
[00:00:11.060 --> 00:00:15.700]  聽完就忘記了
[00:00:15.700 --> 00:00:17.480]  阿國書說的那一樣,什麼?
[00:00:17.480 --> 00:00:20.700]  任建輝白雪仙,多謝Grace,真的好啊
[00:00:20.700 --> 00:00:23.700]  你不是記得我,你記得任伯的戲寶
[00:00:23.700 --> 00:00:26.160]  是什麼?帝女花
[00:00:26.160 --> 00:00:28.880]  是,我們上兩個禮拜是在讀帝女花
[00:00:28.880 --> 00:00:31.880]  當然,你知道我們這幾年都是這樣的做法
[00:00:31.880 --> 00:00:34.720]  我們在港島都儘量跟着我們讀經
[00:00:34.720 --> 00:00:38.020]  每日一章的次序去,之前一直都在講耶利米的情況
[00:00:38.020 --> 00:00:40.980]  他的掙扎就是,神的話來告訴他一件事
[00:00:40.980 --> 00:00:43.900]  就是猶太國要亡的,他在那邊宣講
[00:00:43.900 --> 00:00:46.880]  很掙扎,上兩個禮拜前講到
[00:00:46.880 --> 00:00:49.420]  城都要圍了,那個時候的情況
[00:00:49.420 --> 00:00:52.200]  今天,我剛剛讀到這裏,三十九章
[00:00:52.200 --> 00:00:54.260]  城還是不是單單被人圍呢?
[00:00:54.260 --> 00:00:56.120]  圍完沒有?
[00:00:56.560 --> 00:00:59.560]  圍完了,倒塌了
[00:00:59.560 --> 00:01:02.440]  當然,你又想起帝女花的處境
[00:01:02.440 --> 00:01:05.240]  那個背景,歷史背景是真實的
[00:01:05.240 --> 00:01:08.120]  到戲就另一件事了,就講到明末
[00:01:08.120 --> 00:01:10.980]  最後的皇帝,崇禎皇帝
[00:01:10.980 --> 00:01:15.040]  當北京城要淪陷的時候,這個崇禎皇帝的選擇是做什麼呢?
[00:01:15.040 --> 00:01:18.980]  在梅山自艾嘛,吊頸死了
[00:01:18.980 --> 00:01:21.980]  哦,這樣啊,按照那個劇本
[00:01:21.980 --> 00:01:24.940]  猶太的皇帝都應該要吊頸死了
[00:01:24.940 --> 00:01:27.560]  作爲領導人,他負責羣體不行的時候
[00:01:27.560 --> 00:01:30.520]  都要死了,所以呢,以前我們看戲
[00:01:30.520 --> 00:01:33.380]  Titanic啊,那些船要沉啊,船長要怎樣啊
[00:01:33.380 --> 00:01:35.020]  跟着下去啊,這樣
