
[00:00:00.000 --> 00:00:05.000]  主持人:香港和全世界的大城市都回復得一樣
[00:00:05.000 --> 00:00:09.900]  人民是很喜歡渴求新的東西,快的東西
[00:00:09.900 --> 00:00:13.060]  同樣,今天我們講耶穌基督的抉擇第六
[00:00:13.060 --> 00:00:15.940]  同樣都是在《路加福音》第六章
[00:00:15.940 --> 00:00:20.040]  耶穌提出了一個革新的一種思維
[00:00:20.040 --> 00:00:23.060]  我們請您打開《路加福音》第六章
[00:00:23.060 --> 00:00:25.180]  因爲如果你不打開聖經的話
[00:00:25.180 --> 00:00:28.280]  你跟不上我會講的內容和情況
[00:00:28.280 --> 00:00:30.620]  因爲我們在整個第六章看的時候
[00:00:30.620 --> 00:00:34.640]  我們看到究竟耶穌想提出些什麼
[00:00:34.640 --> 00:00:38.840]  《路加》這樣的鋪牌又想說些什麼給讀者聽
[00:00:38.840 --> 00:00:40.720]  我們見到耶穌的時代
[00:00:40.720 --> 00:00:44.300]  是祂出來的時候要創立一個新的時代
[00:00:44.300 --> 00:00:47.820]  這個新的時代是要革新了舊的條例
[00:00:47.820 --> 00:00:49.420]  是祂第一件事要做的
[00:00:49.420 --> 00:00:53.520]  所以當時無論是《路加福音》的第四章和第六章
[00:00:53.520 --> 00:00:55.920]  都不斷記載祂在衝擊安息日
[00:00:55.920 --> 00:00:58.700]  不要忘記當時的宗教界人士
[00:00:58.700 --> 00:01:02.540]  將十誡變成了613條
[00:01:02.540 --> 00:01:05.180]  就是將簡單變成複雜
[00:01:05.180 --> 00:01:08.200]  一個簡單複雜化的過程
[00:01:08.200 --> 00:01:09.420]  我經常說
[00:01:09.420 --> 00:01:14.020]  如果將耶穌的教導由簡單變成複雜化的話
[00:01:14.020 --> 00:01:15.840]  這不是耶穌要講的東西
[00:01:15.840 --> 00:01:20.180]  耶穌往往講的是將複雜變成簡單的
[00:01:20.180 --> 00:01:22.620]  我們見到十誡是很簡單的
[00:01:22.620 --> 00:01:28.220]  總結來說就是要盡心儘性盡義盡力去愛上帝
[00:01:28.220 --> 00:01:30.220]  接着就是愛人如己
[00:01:30.220 --> 00:01:33.240]  但是到了新疆時代的宗教界人士
[00:01:33.240 --> 00:01:37.280]  是由這十誡演變成了613條的條例
[00:01:37.280 --> 00:01:38.220]  但是不要忘記
[00:01:38.220 --> 00:01:42.360]  耶穌不是每一個條例都衝擊
[00:01:42.360 --> 00:01:44.020]  有很多人會搞錯了
[00:01:44.020 --> 00:01:47.260]  以爲所有舊的東西一定是不好的
[00:01:47.260 --> 00:01:48.960]  新的纔是好的
[00:01:48.960 --> 00:01:51.220]  這種說法是有問題的
[00:01:51.220 --> 00:01:53.040]  舊的東西里面都有好的東西
[00:01:53.040 --> 00:01:55.040]  新的東西里面都有不好的東西
[00:01:55.040 --> 00:01:57.280]  所以重點不是舊還是新
[00:01:57.280 --> 00:01:59.680]  重點是它好還是不好
[00:01:59.680 --> 00:02:05.700]  所以耶穌衝擊的時候不是因爲這些條例是舊
[00:02:05.700 --> 00:02:09.960]  而是要衝擊的有兩個特點
[00:02:09.960 --> 00:02:11.600]  不要忘記
[00:02:11.600 --> 00:02:14.820]  耶穌說我來不是要廢除律法
[00:02:14.820 --> 00:02:17.020]  我來是要成全律法
[00:02:17.020 --> 00:02:19.860]  所以耶穌來不是要廢除十誡的要求
[00:02:19.860 --> 00:02:21.980]  而是要成全十誡的要求
[00:02:21.980 --> 00:02:24.180]  但是在衝擊這個條例裏面
[00:02:24.180 --> 00:02:26.240]  有兩個特色是必須要衝擊的
[00:02:26.240 --> 00:02:27.320]  包括第一
[00:02:27.320 --> 00:02:31.980]  就是這些條例令人誤解了神設立的誡命的原意
[00:02:31.980 --> 00:02:34.820]  所以衝擊這個安息日條例
[00:02:34.820 --> 00:02:40.700]  因爲當時安息日條例是令人誤解了安息日的原意
[00:02:40.700 --> 00:02:41.540]  第二
[00:02:41.540 --> 00:02:44.020]  他衝擊這個條例
[00:02:44.020 --> 00:02:46.900]  是因爲這個條例是窒礙了
[00:02:46.900 --> 00:02:52.140]  甚至窒息了人的屬靈生命和上帝的生命的連結
[00:02:52.140 --> 00:02:55.780]  例如《哥羅西書2:20-23》提出
[00:02:55.780 --> 00:03:00.080]  難道今天我們還要遵守不可摸不可食的規條嗎?
[00:03:00.080 --> 00:03:03.280]  這些規條有否幫助了我們的屬靈生命有所成長
[00:03:03.280 --> 00:03:06.780]  還是難阻了我們的屬靈生命成長呢?
[00:03:06.780 --> 00:03:11.740]  所以在《洛家方第6章1-11》兩個個案裏面
[00:03:11.740 --> 00:03:13.980]  都在說耶穌和祂的門徒
[00:03:13.980 --> 00:03:17.340]  耶穌自己本身特意在安息日裏面治病
[00:03:17.340 --> 00:03:23.180]  是在衝擊當時整個違反了安息日精神的條例
[00:03:23.180 --> 00:03:24.180]  我們看到
[00:03:24.180 --> 00:03:27.620]  在這裏我們如何應用耶穌所提及所做的呢?
[00:03:27.620 --> 00:03:30.740]  就是如果任何形式化的宗教禮儀
[00:03:30.740 --> 00:03:35.500]  而這些禮儀本身不是幫助我們去親近上帝
[00:03:35.500 --> 00:03:39.060]  反而窒礙了我們去親近上帝的話
[00:03:39.060 --> 00:03:40.300]  任何的人
