
[00:00:00.000 --> 00:00:05.640]  好!各位平安!平安啊各位!
[00:00:05.640 --> 00:00:09.220]  是!很開心今天可以在這裡跟大家做一次分享
[00:00:09.220 --> 00:00:12.060]  上帝的話語,去一齊思想上帝的話語
[00:00:12.060 --> 00:00:16.240]  那今天其實是進入一個叫做
[00:00:16.240 --> 00:00:19.340]  一個舊的系列的新的季節,OK?
[00:00:19.340 --> 00:00:21.840]  即是這個系列叫做
[00:00:21.840 --> 00:00:25.180]  「做人很難,所以要學」的季節四
[00:00:25.180 --> 00:00:28.540]  那這個主題呢,就是「估你唔到」,OK?
[00:00:28.540 --> 00:00:32.360]  「估你唔到」,所以基本上很多東西的確是「估唔到」的
[00:00:32.360 --> 00:00:35.340]  譬如,在我們人生當中面對很多「估唔到」的東西
[00:00:35.340 --> 00:00:38.640]  無論你是「估唔到」天氣會突然間打風
[00:00:38.640 --> 00:00:42.420]  或者之前天氣突然間會不斷下雨
[00:00:42.420 --> 00:00:45.460]  或者突然間可能健康變得很差
[00:00:45.460 --> 00:00:48.080]  或者我們「估唔到」之前竟然要面對疫情
[00:00:48.080 --> 00:00:49.580]  很多東西都「估唔到」
[00:00:49.580 --> 00:00:53.720]  當然,很多東西都可以是我們很掙扎的東西
[00:00:53.720 --> 00:00:55.480]  那我不會全部講完
[00:00:55.480 --> 00:01:00.160]  因為要留給之後的講員可以講一些有他們份的東西
[00:01:00.160 --> 00:01:02.520]  所以我不會講完所有「估唔到」的東西
[00:01:02.520 --> 00:01:06.180]  不過我今天想跟大家一起去看
[00:01:06.180 --> 00:01:11.440]  有些經文,然後去看一下裡面發生了一些「估唔到」的東西
[00:01:11.440 --> 00:01:16.080]  那究竟我們又怎樣去面對這些「估唔到」的情況?
[00:01:16.080 --> 00:01:18.520]  那今天呢,有一點特別就是
[00:01:18.520 --> 00:01:22.000]  「估唔到」就是原來上個星期Sandy說最後會講出埃及的
[00:01:22.000 --> 00:01:24.520]  但是我今天又是講出埃及的東西,OK?
