
[00:00:00.000 --> 00:00:02.680]  今天是父親節,是嗎?
[00:00:02.680 --> 00:00:09.040]  父親節,今天父親們都比他生意大一點。
[00:00:09.040 --> 00:00:16.400]  我不曉得前面那些席位是不是表示absent father。
[00:00:16.400 --> 00:00:26.600]  你知道,很多年的時間,當我在講父親節信息的時候,
[00:00:27.720 --> 00:00:35.920]  當我去查考一些資料,我常常看到的資料都是父親缺席、統計數字。
[00:00:35.920 --> 00:00:38.640]  今天我就決定不講這個了。
[00:00:38.640 --> 00:00:44.080]  雖然那是一個社會的現象,
[00:00:44.080 --> 00:00:50.560]  但是我們相信這就是爲什麼我們需要耶穌基督。
[00:00:50.560 --> 00:00:55.600]  因爲沒有耶穌基督,你可以看見這個世界就是如此。
[00:00:56.200 --> 00:00:58.960]  整個世界的走向就是如此。
[00:00:58.960 --> 00:01:01.880]  今天我們要來跟大家分享,
[00:01:01.880 --> 00:01:08.880]  其實我們當中,我今天這個不是隻是跟父親講的,
[00:01:08.880 --> 00:01:12.440]  我是跟所有做父親、做母親的,
[00:01:12.440 --> 00:01:15.960]  甚至做祖父母、外祖父母的,
[00:01:15.960 --> 00:01:21.040]  我們都需要來看看今天這篇信息。
[00:01:21.040 --> 00:01:24.880]  我們中國人講說,再苦也不能夠苦孩子,
[00:01:25.680 --> 00:01:28.640]  再窮也不能夠窮教育。
[00:01:28.640 --> 00:01:30.720]  請問這是誰說的話?
[00:01:30.720 --> 00:01:32.680]  有聽過嗎?
[00:01:32.680 --> 00:01:42.080]  這個話最早是中國大陸在文化大革命結束之後,
[00:01:42.080 --> 00:01:47.680]  改革開放,政府爲了推及九年義務教育,
[00:01:47.680 --> 00:01:52.720]  解決農村失學問題,就提出的一個宣傳的標語。
[00:01:53.560 --> 00:01:57.440]  後來就在很多的牆壁上面都貼了這個標語。
[00:01:57.440 --> 00:02:04.400]  鄧小平後來在1970年代到80年代推動科教新國的時候,
[00:02:04.400 --> 00:02:09.000]  他也強調,千方百計在別的方面忍耐一些,
[00:02:09.000 --> 00:02:13.360]  甚至犧牲一點速度,把教育問題解決好。
[00:02:13.360 --> 00:02:17.840]  那不是隻有中國大陸講這些話,
[00:02:17.840 --> 00:02:22.600]  臺灣在前任的行政院長蘇貞昌,
[00:02:23.880 --> 00:02:25.920]  也曾經引用過。
[00:02:25.920 --> 00:02:28.680]  馬英九總統也講過,
[00:02:28.680 --> 00:02:32.840]  窮不能窮教育,苦不能夠苦孩子。
[00:02:32.840 --> 00:02:38.640]  所以你會發現我們中國人對於孩子的教育非常看重,對不對?
[00:02:38.640 --> 00:02:43.880]  我在墨西哥宣講,我告訴你,
[00:02:43.880 --> 00:02:46.400]  墨西哥人想法跟我們不一樣。
[00:02:46.400 --> 00:02:51.440]  中國人很看重教育,對不對?
[00:02:52.560 --> 00:02:55.160]  中國父母親看重孩子,
[00:02:55.160 --> 00:02:57.680]  這是一方面是好,
[00:02:57.680 --> 00:03:00.960]  但是另外一方面,今天我要問大家一個問題。
[00:03:00.960 --> 00:03:03.440]  父母親,你想,
[00:03:03.440 --> 00:03:07.640]  如果有一天你離開這個世界,
[00:03:07.640 --> 00:03:12.480]  你希望把什麼傳承給你自己的孩子?
[00:03:20.880 --> 00:03:26.240]  上個禮拜我去一個老闆是基督徒的一個公司去講道,
[00:03:26.240 --> 00:03:28.440]  禮拜一的時候,
[00:03:28.440 --> 00:03:34.880]  帶敬拜的姐妹就用了一個破冰遊戲,
[00:03:34.880 --> 00:03:38.240]  那時候剛好要準備過端午節。
[00:03:38.240 --> 00:03:39.760]  她就問說,
[00:03:39.760 --> 00:03:44.800]  你們最想跟哪一個人,如果可以的話,
[00:03:44.800 --> 00:03:47.880]  你最想跟哪一個人一起喫糉子?
[00:03:51.000 --> 00:03:52.320]  她就用了這個破冰遊戲,
[00:03:52.320 --> 00:03:55.000]  每個人都講了,我也講了,等等這些。
[00:03:55.000 --> 00:03:59.360]  結果他們老闆就講了,
