
[00:00:00.000 --> 00:00:05.440]  首先很感謝Lee和Cindy幫我們選擇這麼好的歌
[00:00:05.440 --> 00:00:09.880]  和我們今天的正道是非常非常有密切的關係
[00:00:09.880 --> 00:00:15.760]  我們又要繼續講羅馬書的系列
[00:00:15.760 --> 00:00:19.040]  其實我們講的是十四十五章
[00:00:19.040 --> 00:00:21.720]  我都說過我們這個主題
[00:00:21.720 --> 00:00:25.920]  在這個系列裏面每一個題目都有一個白字
[00:00:25.920 --> 00:00:31.480]  第一篇的道是基督徒如何處理是非黑白
[00:00:31.480 --> 00:00:34.640]  如果一件事與真理無關
[00:00:34.640 --> 00:00:36.640]  是黑白不分明的事
[00:00:36.640 --> 00:00:38.640]  我們應該如何處理
[00:00:38.640 --> 00:00:44.200]  上次和大家講了基督徒如何防止逆經叛道
[00:00:44.200 --> 00:00:47.400]  這個叛不是背叛的叛
[00:00:47.400 --> 00:00:50.440]  這個叛是半腳石的叛
[00:00:50.440 --> 00:00:55.480]  如何不要使大兄姐妹跌低
[00:00:55.480 --> 00:01:01.600]  今天又要和大家講基督徒如何學習來慈悲爲懷
[00:01:01.600 --> 00:01:03.600]  你說什麼這麼搞笑
[00:01:03.600 --> 00:01:07.640]  慈悲爲懷是佛教的口頭禪
[00:01:07.640 --> 00:01:10.680]  爲什麼我們基督徒都講慈悲爲懷
[00:01:10.680 --> 00:01:13.440]  這個悲不是悲哀的悲
[00:01:13.440 --> 00:01:15.680]  這個悲是謙悲的悲
[00:01:15.680 --> 00:01:20.640]  我們基督教是講謙悲
[00:01:20.640 --> 00:01:25.880]  剛纔的經文我們讀了羅馬書的十五章一至二節
[00:01:25.880 --> 00:01:31.080]  我們堅固的人應該擔待不堅固人的軟弱
[00:01:31.080 --> 00:01:33.080]  不求自己的喜悅
[00:01:33.080 --> 00:01:36.160]  我們各人務要叫輪舍喜悅
[00:01:36.160 --> 00:01:39.920]  使他得益處建立特行
[00:01:39.920 --> 00:01:44.480]  保羅說我們千萬不要求自己的喜悅
[00:01:44.480 --> 00:01:47.120]  我們要求輪舍的喜悅
[00:01:47.120 --> 00:01:52.680]  如果基督徒都是爲自己的喜悅求自己的喜悅
[00:01:52.680 --> 00:01:54.680]  那就天下大亂
[00:01:54.680 --> 00:02:01.240]  保羅說我們做堅固的人要擔待不堅固人的軟弱
[00:02:01.240 --> 00:02:04.440]  什麼叫做堅固的人
[00:02:04.440 --> 00:02:08.440]  堅固的人未必是靈明成熟的人
[00:02:08.440 --> 00:02:13.840]  我們以前講過堅固的人就是信心強的人
[00:02:13.840 --> 00:02:19.040]  他很認識聖經他很知道自己有很多的自由
