
[00:00:00.000 --> 00:00:10.000]  「普世寬騰」議案
[00:00:30.000 --> 00:00:36.000]  陳偉業議員
[00:01:00.000 --> 00:01:06.000]  梁繼昌議員
[00:01:30.000 --> 00:01:36.000]  主席
[00:02:00.000 --> 00:02:06.000]  梁繼昌議員
[00:02:30.000 --> 00:02:36.000]  主席
[00:03:00.000 --> 00:03:06.000]  梁繼昌議員
[00:03:30.000 --> 00:03:36.000]  主席
[00:04:00.000 --> 00:04:06.000]  主席
[00:04:30.000 --> 00:04:36.000]  梁繼昌議員
[00:05:00.000 --> 00:05:06.000]  主席
[00:05:30.000 --> 00:05:36.000]  主席
[00:06:00.000 --> 00:06:06.000]  梁繼昌議員
[00:06:30.000 --> 00:06:36.000]  主席
[00:07:00.000 --> 00:07:06.000]  主席
[00:07:30.000 --> 00:07:36.000]  梁繼昌議員
[00:08:00.000 --> 00:08:06.000]  主席
[00:08:30.000 --> 00:08:36.000]  梁繼昌議員
[00:09:00.000 --> 00:09:06.000]  主席
[00:09:30.000 --> 00:09:36.000]  梁繼昌議員
[00:10:00.000 --> 00:10:06.000]  主席
[00:10:30.000 --> 00:10:36.000]  梁繼昌議員
[00:11:00.000 --> 00:11:06.000]  主席
[00:11:30.000 --> 00:11:36.000]  梁繼昌議員
[00:12:00.000 --> 00:12:06.000]  主席
[00:12:30.000 --> 00:12:36.000]  梁繼昌議員
[00:13:00.000 --> 00:13:06.000]  主席
[00:13:30.000 --> 00:13:36.000]  梁繼昌議員
[00:14:00.000 --> 00:14:06.000]  主席
[00:14:30.000 --> 00:14:36.000]  梁繼昌議員
[00:15:00.000 --> 00:15:06.000]  主席
[00:15:30.000 --> 00:15:36.000]  梁繼昌議員
[00:16:00.000 --> 00:16:06.000]  《聖經》第2章:犯罪的屬魔鬼
[00:16:06.000 --> 00:16:12.000]  《聖經》第2章:犯罪的屬魔鬼
[00:16:12.000 --> 00:16:18.000]  《聖經》第2章:犯罪的屬魔鬼
[00:16:18.000 --> 00:16:24.000]  《聖經》第2章:犯罪的屬魔鬼
[00:16:24.000 --> 00:16:30.000]  《聖經》第2章:犯罪的屬魔鬼
[00:16:30.000 --> 00:16:36.000]  《聖經》第2章:犯罪的屬魔鬼
[00:16:36.000 --> 00:16:42.000]  《聖經》第2章:犯罪的屬魔鬼
[00:16:42.000 --> 00:16:48.000]  《聖經》第2章:犯罪的屬魔鬼
[00:16:48.000 --> 00:16:54.000]  《聖經》第2章:犯罪的屬魔鬼
[00:16:54.000 --> 00:17:00.000]  《聖經》第2章:犯罪的屬魔鬼
[00:17:00.000 --> 00:17:06.000]  《聖經》第2章:犯罪的屬魔鬼
[00:17:06.000 --> 00:17:12.000]  《聖經》第2章:犯罪的屬魔鬼
[00:17:12.000 --> 00:17:18.000]  《聖經》第2章:犯罪的屬魔鬼
[00:17:18.000 --> 00:17:24.000]  《聖經》第2章:犯罪的屬魔鬼
[00:17:24.000 --> 00:17:30.000]  《聖經》第2章:犯罪的屬魔鬼
[00:17:30.000 --> 00:17:36.000]  《聖經》第2章:犯罪的屬魔鬼
[00:17:36.000 --> 00:17:42.000]  《聖經》第2章:犯罪的屬魔鬼
[00:17:42.000 --> 00:17:48.000]  《聖經》第2章:犯罪的屬魔鬼
[00:18:06.000 --> 00:18:12.000]  除滅魔鬼,只有耶穌能得勝罪惡
[00:18:36.000 --> 00:18:42.000]  除滅魔鬼,只有耶穌能得勝罪惡
