
[00:00:00.000 --> 00:00:01.800]  奉子明問候弟兄姊妹平安
[00:00:01.800 --> 00:00:04.680]  奉主子明問候弟兄姊妹平安
[00:00:04.680 --> 00:00:06.520]  今天的經文是很長的
[00:00:06.520 --> 00:00:08.160]  所以我就不說其他的
[00:00:08.160 --> 00:00:09.360]  直接就經文
[00:00:09.360 --> 00:00:10.840]  今天的經文比較長
[00:00:10.840 --> 00:00:14.800]  所以我直接的跟大家分享經文裡面的教訓
[00:00:14.800 --> 00:00:19.520]  本文就是耶利米蘇的十章一到十六節
[00:00:19.520 --> 00:00:23.600]  本文是在耶利米蘇的十章第一到十六節
[00:00:23.600 --> 00:00:27.120]  耶利米向猶大對偶像崇拜
[00:00:27.120 --> 00:00:29.640]  是發出很嚴厲的譴責
[00:00:29.640 --> 00:00:34.960]  耶利米向猶大人對偶像敬拜崇拜的事情
[00:00:34.960 --> 00:00:37.760]  是最嚴厲的譴責
[00:00:37.760 --> 00:00:41.480]  因為他們放棄了祖宗的上帝
[00:00:41.480 --> 00:00:44.320]  因為他們放棄了祖宗的上帝
[00:00:44.320 --> 00:00:46.000]  就變成不認識耶和華
[00:00:46.000 --> 00:00:47.760]  變成不認識耶和華
[00:00:47.760 --> 00:00:51.400]  更不知道耶和華喜悅世人在這個世界上
[00:00:51.400 --> 00:00:57.720]  知道他喜悅人行慈愛
[00:00:57.720 --> 00:01:03.200]  他們更不知道神喜悅人的世上是悉行慈愛
[00:01:03.200 --> 00:01:06.200]  又要人行公平
[00:01:06.200 --> 00:01:09.440]  行公義
[00:01:09.440 --> 00:01:14.640]  但是他所愛的子民
[00:01:14.640 --> 00:01:19.040]  採取了列國的信仰
[00:01:19.040 --> 00:01:21.280]  拜他們的偶像
[00:01:21.280 --> 00:01:23.880]  禱行日西
[00:01:23.880 --> 00:01:26.000]  於是我們在經文當中
[00:01:26.000 --> 00:01:30.720]  看到耶利米說這個國家國度猶大國是亂七八糟
[00:01:30.720 --> 00:01:32.840]  於是從經文裡面我們看到
[00:01:32.840 --> 00:01:36.200]  猶大國裡面的情況是很混亂的
[00:01:36.200 --> 00:01:38.160]  社會秩序大亂
[00:01:38.160 --> 00:01:43.640]  社會的秩序是混亂
[00:01:43.640 --> 00:01:47.160]  道德崩潰
[00:01:47.160 --> 00:01:49.360]  那個描述我就想大家看到
[00:01:49.360 --> 00:01:51.440]  耶利米書八章十節那裡說了
[00:01:51.440 --> 00:01:53.160]  這樣的描述可以在
[00:01:53.160 --> 00:01:56.200]  耶利米書八章的十節裡面已經描述過了
[00:01:56.200 --> 00:02:02.960]  從最小的到最大的都一味貪婪
[00:02:02.960 --> 00:02:07.280]  從最小的到最大的都一味的貪婪
[00:02:07.280 --> 00:02:09.120]  這是講到宗教世界
[00:02:09.120 --> 00:02:12.440]  這是講到有關這個俗世裡面的情況
[00:02:12.440 --> 00:02:13.520]  宗教人士呢
[00:02:13.520 --> 00:02:14.920]  宗教人士怎麼樣呢
[00:02:14.920 --> 00:02:22.120]  從先知到祭司都行事虛荒
[00:02:22.120 --> 00:02:24.120]  造型是虛荒
[00:02:24.120 --> 00:02:26.000]  這是耶利米書八章十節的
[00:02:26.000 --> 00:02:30.280]  這是耶利米書第八章的十節裡面所講的
[00:02:30.280 --> 00:02:31.880]  你看回今天的世界
[00:02:31.880 --> 00:02:34.600]  我們回看這個世界
[00:02:34.600 --> 00:02:36.640]  我們今天的社會
[00:02:36.640 --> 00:02:39.560]  有什麼不同呢
[00:02:39.560 --> 00:02:41.040]  這裡有些人是打工的
[00:02:41.040 --> 00:02:45.080]  在這裡也有很多是有一份工作的人
[00:02:45.080 --> 00:02:46.880]  你上班的時候有沒有看到你的同事
[00:02:46.880 --> 00:02:49.120]  你想辦的時候有沒有留意到你的同事
[00:02:49.120 --> 00:02:51.400]  誰說謊最厲害的那個升得最快
[00:02:51.400 --> 00:02:55.440]  誰說謊話最好的最後是升級最快的
[00:02:55.440 --> 00:02:57.520]  有沒有想過呢
[00:02:57.520 --> 00:02:58.840]  誰最老實的那個呢
[00:02:58.840 --> 00:03:03.200]  越誠實的人呢
[00:03:03.200 --> 00:03:04.440]  就沒有什麼作為的
[00:03:04.440 --> 00:03:05.480]  就沒有作為的
[00:03:05.480 --> 00:03:07.160]  其實香港人很厲害的
[00:03:07.160 --> 00:03:09.000]  香港人很厲害的
[00:03:09.000 --> 00:03:10.560]  有句話不知道你聽過沒有
[00:03:10.560 --> 00:03:13.320]  有一句話有沒有聽過
[00:03:13.320 --> 00:03:15.280]  奸奸搞搞
[00:03:15.280 --> 00:03:19.440]  越賤賤的人
[00:03:19.440 --> 00:03:23.280]  就煎煎炒炒
[00:03:23.280 --> 00:03:25.840]  忠忠直直
[00:03:25.840 --> 00:03:27.120]  忠忠直直的
[00:03:27.120 --> 00:03:28.160]  忠雖乞食
[00:03:28.160 --> 00:03:30.160]  最終是變成虛概
