
[00:00:00.000 --> 00:00:03.000]  我們再次同心祈禱
[00:00:03.000 --> 00:00:14.000]  願培安口中的言語
[00:00:14.000 --> 00:00:17.000]  頌鼎姊妹的心思意念
[00:00:17.000 --> 00:00:19.000]  夢聖靈的體滴
[00:00:19.000 --> 00:00:21.000]  夢主的月亮
[00:00:21.000 --> 00:00:23.000]  禱告藉主耶穌基督的聖名而求
[00:00:23.000 --> 00:00:25.000]  阿們
[00:00:28.000 --> 00:00:30.000]  我相信一般的人
[00:00:30.000 --> 00:00:33.000]  包括我們在座當中每一個
[00:00:33.000 --> 00:00:36.000]  都或者會嘗試
[00:00:36.000 --> 00:00:39.000]  很努力去迎合這個世界
[00:00:39.000 --> 00:00:41.000]  一些要求
[00:00:41.000 --> 00:00:43.000]  又或者很努力
[00:00:43.000 --> 00:00:45.000]  希望趕上潮流
[00:00:45.000 --> 00:00:49.000]  所以當有新的手機出的時候
[00:00:49.000 --> 00:00:51.000]  有些人因為想著
[00:00:51.000 --> 00:00:53.000]  在半夜一開始開手
[00:00:53.000 --> 00:00:56.000]  就等著一小時
[00:00:56.000 --> 00:00:58.000]  就馬上上去訂購
[00:00:58.000 --> 00:01:00.000]  希望做第一批
[00:01:00.000 --> 00:01:03.000]  可以擁有這些手機的人
[00:01:03.000 --> 00:01:06.000]  又或者在早兩個星期
[00:01:06.000 --> 00:01:09.000]  大家知道有一個手機的遊戲
[00:01:09.000 --> 00:01:10.000]  香港終於可以玩
[00:01:10.000 --> 00:01:12.000]  又是突然之間
[00:01:12.000 --> 00:01:14.000]  聽到同事說
[00:01:14.000 --> 00:01:16.000]  我下載到了
[00:01:16.000 --> 00:01:18.000]  就很興奮
[00:01:18.000 --> 00:01:22.000]  這個可能都是一般人的方式
[00:01:22.000 --> 00:01:24.000]  但也有更多的人
[00:01:24.000 --> 00:01:29.000]  認為如何去迎合這個世界
[00:01:29.000 --> 00:01:31.000]  跟上這個潮流
[00:01:31.000 --> 00:01:34.000]  最重要的方法就是要有錢
[00:01:34.000 --> 00:01:36.000]  所以要有錢
[00:01:36.000 --> 00:01:43.000]  就要找一些又快又合法的方式去找
[00:01:43.000 --> 00:01:45.000]  而且還要找很多
[00:01:45.000 --> 00:01:50.000]  有什麼辦法才可以又快又賺得多錢呢
[00:01:50.000 --> 00:01:53.000]  其中一個比較有保證的
