
[00:00:00.000 --> 00:00:05.120]  每一個人對驚喜都有不同的反應。
[00:00:05.120 --> 00:00:09.480]  好的驚喜,正面的驚喜,會給人帶來加倍的快樂;
[00:00:09.480 --> 00:00:13.640]  負面的驚喜,會給人帶來加倍的挫敗。
[00:00:13.640 --> 00:00:19.040]  你知道嗎,我們的神是常常給我們驚喜的神。
[00:00:19.040 --> 00:00:24.720]  當耶穌基督復活的早晨,耶穌基督就給那幾個婦女一個驚喜。
[00:00:24.720 --> 00:00:27.720]  他們來到墳墓那裏,有兩位天使告訴他們說,
[00:00:27.720 --> 00:00:30.760]  你們爲什麼在死人當中找活人呢?
[00:00:30.760 --> 00:00:33.240]  祂不在這裏,已經復活了。
[00:00:33.240 --> 00:00:36.440]  然後在馬太福音28章第10節告訴我們說,
[00:00:36.440 --> 00:00:40.760]  這兩個婦女,這些婦女又害怕又歡喜,
[00:00:40.760 --> 00:00:44.720]  就跑去告訴耶穌的門徒。
[00:00:44.720 --> 00:00:48.040]  老張不是一個很羅曼蒂克的人,
[00:00:48.040 --> 00:00:51.160]  也不是一個很會給太太驚喜的人。
[00:00:51.160 --> 00:00:56.120]  經過朋友們的調教之下,他開始送玫瑰花給老婆,
[00:00:56.120 --> 00:00:59.000]  而且每次都送十一朵。
[00:00:59.000 --> 00:01:03.400]  有一天,太太在CHPT上找到花語背後十一,
[00:01:03.400 --> 00:01:05.720]  乃是代表一生一世。
[00:01:05.720 --> 00:01:09.160]  心裏想,哇,老公真的下了功夫了。
[00:01:09.160 --> 00:01:13.120]  但是她非常願意聽到她老公親口告訴她,
[00:01:13.120 --> 00:01:15.800]  這十一朵代表什麼意思。
[00:01:15.800 --> 00:01:20.200]  就問她老公,老張就吱吱嗚嗚了半天,
[00:01:20.200 --> 00:01:25.760]  終於說,這是花店的促銷活動了,買十送一。
[00:01:25.760 --> 00:01:32.640]  告訴旁邊的人說,今天神要給你一個驚喜。
[00:01:32.640 --> 00:01:37.320]  是的,我們的神是會給我們驚喜的神。
[00:01:37.320 --> 00:01:39.520]  今天我們來思想有兩個門徒,
[00:01:39.520 --> 00:01:45.440]  他們在非常憂愁、難過、灰心、失望的途中,
[00:01:45.440 --> 00:01:48.440]  耶穌給他們一個特別大的驚喜。
[00:01:48.440 --> 00:01:53.240]  這個驚喜我稱它爲以馬五師路上的驚喜。
[00:01:53.240 --> 00:01:55.880]  我們一起來看《路加福音》第24章,
[00:01:55.880 --> 00:01:58.400]  我們從第13節,我們今天要講到36節,
[00:01:58.400 --> 00:02:01.520]  我們先看13節到21節。
[00:02:01.520 --> 00:02:03.200]  《路加福音》第24章第13節說,
[00:02:03.200 --> 00:02:09.040]  同一天,門徒中有兩個人往一個叫以馬五師的村子去,
[00:02:09.040 --> 00:02:12.360]  那村子距離耶路撒冷約有11公里。
[00:02:12.360 --> 00:02:16.280]  在《和爾本》裏面說25公里,其實不正確,正確應該是11公里。
[00:02:16.280 --> 00:02:19.320]  他們彼此談論所遇見的這一切事,
[00:02:19.320 --> 00:02:26.880]  正在交談議論的時候,耶穌親自走近他們,與他們同行。
[00:02:26.880 --> 00:02:31.760]  然後16節說,但他們的眼睛卻給矇蔽了,認不出他來。
[00:02:31.760 --> 00:02:35.480]  耶穌說,你們走路的時候,彼此討論的是什麼事呢?
[00:02:35.480 --> 00:02:40.640]  他們就站住,面帶愁容。
[00:02:40.640 --> 00:02:43.520]  18節說,一個名叫格留巴的回答他說,
[00:02:43.520 --> 00:02:49.800]  在耶路撒冷做客的難道只有你,不知道這幾天在那裏所發生的事嗎?
[00:02:49.800 --> 00:02:51.720]  他說,什麼事呢?
[00:02:51.720 --> 00:02:55.440]  他們說,就是拿撒勒人耶穌的事,他是先知,
[00:02:55.440 --> 00:03:01.520]  在神和衆人面前說話、行事都有大能。
[00:03:01.520 --> 00:03:08.720]  20節說,我們的祭司長和官長竟把他交出去,判了死罪,釘在十字架上。
[00:03:08.720 --> 00:03:14.280]  但我們樹萊所盼望要贖以色列的就是他。
[00:03:14.280 --> 00:03:22.080]  不但如此,這些事發生到今天,已經是第三天了。
[00:03:22.080 --> 00:03:25.160]  這是在伊瑪烏斯上的神給他們的驚喜。
[00:03:25.160 --> 00:03:27.400]  我們先來做幾個非常重要的觀察。
