
[00:00:00.000 --> 00:00:05.080]  我們回到原本的問題
[00:00:05.080 --> 00:00:12.280]  究竟利利美成迴轉的故事在若拿書的作用是甚麼
[00:00:12.280 --> 00:00:18.040]  他和若拿的關係又是甚麼
[00:00:18.040 --> 00:00:21.440]  講到這件事的時候有兩件事你一定要知道
[00:00:21.440 --> 00:00:28.560]  第一是史經學者相信利利美的迴轉頂多只是短暫
[00:00:28.560 --> 00:00:30.920]  就算是真的也是短暫的
[00:00:30.920 --> 00:00:32.120]  維持了不是很久
[00:00:32.120 --> 00:00:34.120]  因為照我們歷史所知
[00:00:34.120 --> 00:00:36.800]  很快他們又回到他們的殘暴
[00:00:36.800 --> 00:00:40.280]  他們不斷在攻打北角以色列人
[00:00:40.280 --> 00:00:42.080]  甚至三十年之後
[00:00:42.080 --> 00:00:45.440]  亞述人會將北角以色列人全部毀滅
[00:00:45.440 --> 00:00:46.720]  滅國
[00:00:46.720 --> 00:00:48.240]  這是第一件事你需要知道
[00:00:48.240 --> 00:00:50.880]  如果他們真的迴轉的也是很短暫
[00:00:50.880 --> 00:00:51.680]  第二
[00:00:51.680 --> 00:00:56.640]  聖經學家相信利利美的迴轉不是一個屬靈上的迴轉
[00:00:56.640 --> 00:00:59.600]  不是一個敬拜上的迴轉
[00:00:59.600 --> 00:01:04.920]  利利美人相信的是一個多神論
[00:01:04.920 --> 00:01:08.760]  他們相信有很多神明有很多偶像都會拜
[00:01:08.760 --> 00:01:12.960]  而整個故事裡面的名字其實是沒有出過的
[00:01:12.960 --> 00:01:14.560]  若拿去到那裡說
[00:01:14.560 --> 00:01:17.400]  「上帝」「神」要怎樣懲罰你
[00:01:17.400 --> 00:01:19.280]  他根本沒有跟你說誰是神
[00:01:19.280 --> 00:01:22.640]  但是他們馬上在自己演繹
[00:01:22.640 --> 00:01:24.480]  就說「神」我也不知道是誰
[00:01:24.480 --> 00:01:27.720]  總之我只知道其中一個很不喜歡我們
[00:01:27.720 --> 00:01:30.120]  於是他們在那個時候
[00:01:30.120 --> 00:01:34.880]  他們在道德上做了一個短時間的節制
[00:01:34.880 --> 00:01:36.760]  但是我想跟你說的就是
[00:01:36.760 --> 00:01:43.000]  宗教上他們仍然是拜多過偶像的一個子民
[00:01:43.000 --> 00:01:46.600]  就是說他們沒有真正相信耶和華
[00:01:46.600 --> 00:01:48.480]  簡單來說
[00:01:48.480 --> 00:01:50.120]  如果有一天你上到天堂
[00:01:50.120 --> 00:01:51.840]  你想找到利利美人
[00:01:51.840 --> 00:01:56.360]  你可能找不到
[00:01:56.360 --> 00:01:58.080]  你說我講了這麼多
[00:01:58.080 --> 00:01:59.200]  我想要講什麼呢
[00:01:59.200 --> 00:02:04.680]  我想要告訴你的就是利利美迴轉的這個故事
[00:02:04.680 --> 00:02:09.200]  作用真的不是告訴我們舊約裡面的大使命
[00:02:09.200 --> 00:02:11.560]  我不是說上帝不愛愛邦人
[00:02:11.560 --> 00:02:13.920]  我們這裡所有都是愛邦人
[00:02:13.920 --> 00:02:16.520]  上帝愛我們所以我們才有福音聽
[00:02:16.520 --> 00:02:20.120]  但是這個故事不是在講這件事
[00:02:20.120 --> 00:02:21.680]  如果是這樣的話
[00:02:21.680 --> 00:02:26.400]  那利利美迴轉的故事最終的作用在哪裡呢
[00:02:26.400 --> 00:02:28.160]  正如我剛才所講的
[00:02:28.160 --> 00:02:35.840]  整個故事是上帝通過這個故事去呼召若拿回家
[00:02:35.840 --> 00:02:38.880]  若拿是一個不愛回家的先知
[00:02:38.880 --> 00:02:42.120]  但是耶和華心愛若拿
[00:02:42.120 --> 00:02:45.680]  於是耶和華差派若拿去利利美
[00:02:45.680 --> 00:02:48.720]  通過他自己跟別人講的訊息
[00:02:48.720 --> 00:02:51.840]  映射他自己的光景
[00:02:51.840 --> 00:02:55.520]  通過利利美人的迴轉
[00:02:55.520 --> 00:02:58.480]  若上帝
[00:02:58.480 --> 00:03:04.480]  耶和華要將這個回家的路活生生的展示給若拿看
[00:03:04.480 --> 00:03:09.720]  他希望若拿都會幫我叩高耶和華
[00:03:09.720 --> 00:03:16.760]  以至若拿可以好像利利美一樣這樣迴轉
[00:03:16.760 --> 00:03:19.440]  若拿有沒有迴轉
[00:03:19.440 --> 00:03:21.240]  如果你看到第四章的時候
[00:03:21.240 --> 00:03:23.120]  你會發覺他完全沒有迴轉
[00:03:23.120 --> 00:03:26.360]  你會發覺他仍然是逃避耶和華的人
[00:03:26.360 --> 00:03:32.880]  你會發覺他仍然是沉睡的若拿
[00:03:32.880 --> 00:03:35.200]  但是最後呢
[00:03:35.200 --> 00:03:36.800]  我絕對相信若拿迴轉了
[00:03:36.800 --> 00:03:38.480]  因為若拿沒有迴轉
