
[00:00:00.000 --> 00:00:04.000]  今天我們來到看這個烈王記的實相
[00:00:04.000 --> 00:00:07.500]  我們看烈王記的實相在下
[00:00:07.500 --> 00:00:11.500]  大家有沒有看最近的新聞?
[00:00:11.500 --> 00:00:13.500]  但是也沒看最近的新聞
[00:00:13.500 --> 00:00:15.500]  充滿仇恨
[00:00:15.500 --> 00:00:17.500]  充滿仇恨
[00:00:17.500 --> 00:00:18.500]  今天的報紙頭條
[00:00:18.500 --> 00:00:20.500]  今天的報紙頭條
[00:00:20.500 --> 00:00:22.500]  IS
[00:00:22.500 --> 00:00:25.500]  Islamic Republic
[00:00:25.500 --> 00:00:28.500]  回教的共和國
[00:00:28.500 --> 00:00:30.500]  回教的共和國
[00:00:30.500 --> 00:00:32.500]  回教的共和國
[00:00:32.500 --> 00:00:38.500]  公開向一個英國人行刑
[00:00:38.500 --> 00:00:41.500]  公開向一個英國人行刑
[00:00:41.500 --> 00:00:44.500]  英國的總理叫金馬倫先生
[00:00:44.500 --> 00:00:47.500]  英國的總理
[00:00:47.500 --> 00:00:49.500]  今早報紙說他
[00:00:49.500 --> 00:00:50.500]  今天報紙說他
[00:00:50.500 --> 00:00:52.500]  我一定要找到這個兇手
[00:00:52.500 --> 00:00:54.500]  我一定要找到這個兇手
[00:00:54.500 --> 00:00:56.500]  我們用的手法呢?
[00:00:56.500 --> 00:00:58.500]  我們用的手法
[00:00:58.500 --> 00:00:59.500]  包括所有
[00:00:59.500 --> 00:01:00.500]  包括所有
[00:01:00.500 --> 00:01:02.500]  不論派兵
[00:01:02.500 --> 00:01:03.500]  不論派兵
[00:01:03.500 --> 00:01:04.500]  或者轟炸
[00:01:04.500 --> 00:01:05.500]  或者轟炸
[00:01:05.500 --> 00:01:07.500]  All options open
[00:01:07.500 --> 00:01:09.500]  即是說呢?
[00:01:09.500 --> 00:01:12.500]  所有的選項都沒有了
[00:01:12.500 --> 00:01:14.500]  上個星期三
[00:01:14.500 --> 00:01:15.500]  上個星期三
[00:01:15.500 --> 00:01:16.500]  奧巴馬總統
[00:01:16.500 --> 00:01:17.500]  奧巴馬總統
[00:01:17.500 --> 00:01:18.500]  就綁著兩隻手了
[00:01:18.500 --> 00:01:20.500]  就背著兩隻手
[00:01:20.500 --> 00:01:21.500]  我們會報復
[00:01:21.500 --> 00:01:22.500]  我們會報復
[00:01:22.500 --> 00:01:23.500]  因為之前他又查了我們美國
[00:01:23.500 --> 00:01:26.500]  因為之前他又查了我們美國
[00:01:26.500 --> 00:01:28.500]  就殺了我們兩個美國記者
[00:01:28.500 --> 00:01:29.500]  就殺了我們兩個美國記者
[00:01:29.500 --> 00:01:30.500]  一個記者
[00:01:30.500 --> 00:01:31.500]  另一個是不是worker呢?
[00:01:31.500 --> 00:01:32.500]  另一個記者
[00:01:32.500 --> 00:01:33.500]  我忘了是什麼
[00:01:33.500 --> 00:01:34.500]  殺了兩個美國人
[00:01:34.500 --> 00:01:35.500]  殺了兩個美國人
[00:01:35.500 --> 00:01:36.500]  殺了兩個美國人
[00:01:36.500 --> 00:01:37.500]  殺了兩個美國人
[00:01:37.500 --> 00:01:38.500]  奧巴馬說
[00:01:38.500 --> 00:01:39.500]  奧巴馬說
[00:01:39.500 --> 00:01:40.500]  我們會伸張正義
[00:01:40.500 --> 00:01:41.500]  奧巴馬說
[00:01:41.500 --> 00:01:42.500]  我們會伸張正義
[00:01:42.500 --> 00:01:43.500]  奧巴馬說
