
[00:00:00.000 --> 00:00:02.000]  讓我們一起在聆聽主導的意思
[00:00:02.000 --> 00:00:04.000]  我們一起同心體頭肚仰望
[00:00:04.000 --> 00:00:05.000]  我們轉換一生
[00:00:05.000 --> 00:00:09.000]  天父我多謝你
[00:00:09.000 --> 00:00:10.000]  讓我們能夠再次回來
[00:00:10.000 --> 00:00:12.000]  在你的說話的面前去學習
[00:00:12.000 --> 00:00:15.000]  求天父你的聖靈與我們同在
[00:00:15.000 --> 00:00:16.000]  無論在網上的
[00:00:16.000 --> 00:00:18.000]  在實體裡面崇拜的
[00:00:18.000 --> 00:00:20.000]  每一個弟兄姊妹都交上
[00:00:20.000 --> 00:00:21.000]  讓我們能夠同心
[00:00:21.000 --> 00:00:23.000]  在主你的靈的裡面
[00:00:23.000 --> 00:00:25.000]  一起去仰望學習
[00:00:25.000 --> 00:00:28.000]  並且認識主你的啟示的過程當中
[00:00:28.000 --> 00:00:31.000]  讓我們能夠成為一個合神心意的人
[00:00:31.000 --> 00:00:33.000]  我們將以下的時間
[00:00:33.000 --> 00:00:35.000]  完全的恭敬交上
[00:00:35.000 --> 00:00:36.000]  我們的禱告
[00:00:36.000 --> 00:00:39.000]  奉靠主耶穌基督德性的名詞而靠
[00:00:39.000 --> 00:00:40.000]  阿們
[00:00:40.000 --> 00:00:42.000]  在教會
[00:00:42.000 --> 00:00:43.000]  我在侍奉
[00:00:43.000 --> 00:00:45.000]  或者在聚會這麼多年的裡面
[00:00:45.000 --> 00:00:47.000]  都發覺到教會分開了兩個
[00:00:47.000 --> 00:00:50.000]  很大的陣營的教徒
[00:00:50.000 --> 00:00:51.000]  對不起
[00:00:51.000 --> 00:00:52.000]  我只能夠這樣說
[00:00:52.000 --> 00:00:54.000]  真是籠統地上說
[00:00:54.000 --> 00:00:56.000]  教會是分為兩大陣營
[00:00:57.000 --> 00:00:59.000]  第一類的陣營是什麼呢
[00:00:59.000 --> 00:01:03.000]  就是它在教會不想太多參與的
[00:01:03.000 --> 00:01:05.000]  有這麼低調得這麼低調
[00:01:05.000 --> 00:01:07.000]  它的低調是為了
[00:01:07.000 --> 00:01:08.000]  不想讓人知道
[00:01:08.000 --> 00:01:11.000]  它真正的屬靈的狀況
[00:01:11.000 --> 00:01:14.000]  這類我們稱之為隱世的信徒
[00:01:14.000 --> 00:01:16.000]  或者隱世的教徒
[00:01:16.000 --> 00:01:18.000]  這一類的教徒在教會裡面
[00:01:18.000 --> 00:01:20.000]  或者基督徒
[00:01:20.000 --> 00:01:22.000]  如果說得好聽一點
[00:01:22.000 --> 00:01:25.000]  就是他們在教會很積極參與
[00:01:25.000 --> 00:01:26.000]  他們在教會裡面
[00:01:26.000 --> 00:01:30.000]  有很多不同的他們的侍奉崗位
[00:01:30.000 --> 00:01:32.000]  他都盡量把握機會
[00:01:32.000 --> 00:01:35.000]  去在當中能夠曝光
[00:01:35.000 --> 00:01:37.000]  我稱為這種信徒就是
[00:01:37.000 --> 00:01:41.000]  要顯一番顯赫的侍奉的信徒
[00:01:41.000 --> 00:01:44.000]  根據在過去美國的一些
[00:01:44.000 --> 00:01:47.000]  對教會的統計裡面
[00:01:47.000 --> 00:01:49.000]  就發現到
[00:01:49.000 --> 00:01:54.000]  那個機構叫做Barnard Research
[00:01:54.000 --> 00:01:57.000]  他們就發現到原來在教會裡面
[00:01:57.000 --> 00:02:00.000]  前者的那些隱世的信徒
[00:02:00.000 --> 00:02:03.000]  大約是佔教會八成多的
[00:02:03.000 --> 00:02:05.000]  而真正在教會裡面
[00:02:05.000 --> 00:02:10.000]  是積極參與的信徒不夠兩成
[00:02:10.000 --> 00:02:13.000]  但是在這兩成裡面
[00:02:13.000 --> 00:02:17.000]  又有多少是真心去明白
[00:02:17.000 --> 00:02:20.000]  侍奉的意思呢
[00:02:20.000 --> 00:02:25.000]  今天我們就會用多一點的時間
[00:02:25.000 --> 00:02:30.000]  去討論後者這些不夠兩成的信徒
[00:02:30.000 --> 00:02:33.000]  他們很喜歡積極地參與
[00:02:33.000 --> 00:02:36.000]  在不同的侍奉崗位裡面
[00:02:36.000 --> 00:02:38.000]  至於那些隱世信徒的
[00:02:38.000 --> 00:02:39.000]  或者將來我有機會
[00:02:39.000 --> 00:02:43.000]  再跟大家找個機會去討論
[00:02:43.000 --> 00:02:45.000]  問題就是很多時候教會
[00:02:45.000 --> 00:02:47.000]  很多信徒他有積極的參與
[00:02:47.000 --> 00:02:48.000]  但是這些人
[00:02:48.000 --> 00:02:50.000]  他帶著一個什麼態度和動機
[00:02:50.000 --> 00:02:51.000]  去參與教會呢
[00:02:51.000 --> 00:02:54.000]  這個反而是一個很值得商榷
[00:02:54.000 --> 00:02:56.000]  和我們去探究的問題
[00:02:56.000 --> 00:02:58.000]  因為如果我們對這件事不了解的話
[00:02:58.000 --> 00:03:01.000]  可能甚至可能我們自己
[00:03:01.000 --> 00:03:03.000]  以為在這裡不斷很積極地
[00:03:03.000 --> 00:03:08.000]  踴躍地參與教會的不同的活動
[00:03:08.000 --> 00:03:12.000]  甚至在教會擔當一官半職
[00:03:12.000 --> 00:03:14.000]  但是只不過可能只是對於
[00:03:14.000 --> 00:03:18.000]  我靈性上的一種擦除存在感的
[00:03:18.000 --> 00:03:20.000]  一種活動而已
