
[00:00:00.000 --> 00:00:07.000]  「世界都說活在當下,一個人只是moment by moment(一刻一刻)地活,
[00:00:07.000 --> 00:00:14.000]  即是你如果全人投入在每一個時刻,你就懂得享受生命,
[00:00:14.000 --> 00:00:21.000]  否則這個世界你不是真正活的,很多人在這裏從來都是旁觀者,
[00:00:22.000 --> 00:00:30.000]  為何要請你看著我,你聽東西只用耳朵聽不到,
[00:00:30.000 --> 00:00:38.000]  你看到我的表情,我的動作是傳遞很多訊息,
[00:00:38.000 --> 00:00:47.000]  所以你真的全人去聽,你看著他,你用眼,用耳,用腦,用心去聽,
[00:00:48.000 --> 00:00:52.000]  為何你經常都聽不到兒子講甚麼,你都沒有看他,
[00:00:52.000 --> 00:00:58.000]  你講話他都不看你,大家永遠沒有溝通,因為大家都不活在當下,
[00:00:58.000 --> 00:01:05.000]  你隨便講這些,他們從來都不聽,因為他們覺得你不是全心全意跟他們講話,
[00:01:05.000 --> 00:01:11.000]  他們從來都不全心全意聽,為何不活得自由呢?
[00:01:12.000 --> 00:01:21.000]  你自由的意思是你很free,你沒有掛慮,沒有擔憂,沒有悲觀,沒有抑鬱,
[00:01:21.000 --> 00:01:30.000]  所以為何你不能活在當下呢?上集講了,人有歷史,
[00:01:30.000 --> 00:01:35.000]  你不要以為你歷史發生的事沒有影響你,
[00:01:35.000 --> 00:01:41.000]  如果我轉行的時間我就去讀一個人的成長,讀回怎樣做counselor,
[00:01:42.000 --> 00:01:45.000]  你小時候你爸爸怎樣對待你,你記得的,
[00:01:45.000 --> 00:01:49.000]  因為人經常記得那些最負面的人,你記得的,
[00:01:49.000 --> 00:01:53.000]  所以其實你積極埋埋過去很多事的時間,
[00:01:53.000 --> 00:02:00.000]  你經常都回頭看,就很depressed,很悲觀,
[00:02:00.000 --> 00:02:05.000]  你對人不信,對自己也不信,對其他人也不信,
[00:02:05.000 --> 00:02:10.000]  所以你不讓背後那些事,昨天所發生的事,那些困擾,
[00:02:11.000 --> 00:02:14.000]  它經常纏著你,你見很多人講話,講來講去都講,
[00:02:14.000 --> 00:02:16.000]  講回以前誰得罪你,講回爸爸怎樣對你,
[00:02:16.000 --> 00:02:19.000]  講回以前你的生意拍檔怎樣炒起你,
[00:02:19.000 --> 00:02:23.000]  你多慘,你不free,你經常耿耿於懷,
[00:02:23.000 --> 00:02:27.000]  上集你沒有聽,你未聽回來,
[00:02:27.000 --> 00:02:32.000]  但另外一個是,那些人為何不在今天,
[00:02:32.000 --> 00:02:38.000]  他經常擔心你,我發覺你父母最喜歡講一句信話,
[00:02:39.000 --> 00:02:43.000]  我擔心你,你擔甚麼心,我擔心你考不到這間學校,
[00:02:43.000 --> 00:02:45.000]  我擔心你就算畢業也找不到工作,
[00:02:45.000 --> 00:02:51.000]  下流都明天發生的事,我有個師父教我們怎樣做parent,
[00:02:51.000 --> 00:02:57.000]  那次我一班很有學識,我不講名字,你又怎會識,
[00:02:57.000 --> 00:03:02.000]  我跟他談,他很好,長者很好,
[00:03:03.000 --> 00:03:09.000]  他說你們一班在香港來,我們去瑞士見過,
[00:03:09.000 --> 00:03:14.000]  個個有一個字重複出現,我哪有字,worry,擔心,
[00:03:14.000 --> 00:03:19.000]  你知不知兒子最憎你講擔心,你不信他,
[00:03:19.000 --> 00:03:23.000]  我擔心你又不到這間學校,你真是不信我,
[00:03:23.000 --> 00:03:27.000]  你明明擔心明天未發生的事,
[00:03:27.000 --> 00:03:30.000]  你未發生的事,你猛過腦袋,
[00:03:31.000 --> 00:03:35.000]  過去的事未搞掂,一直猛明天,你不死?
[00:03:35.000 --> 00:03:39.000]  你見香港的人,你看他樣子就知他free,
[00:03:39.000 --> 00:03:44.000]  所以才經常鬥對著機,讓他忘記背後,
[00:03:44.000 --> 00:03:50.000]  別想明天,就想活在當下,所以會上癮,
[00:03:50.000 --> 00:03:55.000]  你別看Candy Crush都幾好玩,暫時令你忘記一切,
[00:03:55.000 --> 00:03:59.000]  你知不知所有年青人打機個個都打機,
[00:04:00.000 --> 00:04:03.000]  不讓過去的事填軟,明天的事又不用想,
[00:04:03.000 --> 00:04:06.000]  幾free,是不是free,你addicted,
[00:04:06.000 --> 00:04:09.000]  你就給他一樣東西,那麼多人喜歡,
[00:04:09.000 --> 00:04:13.000]  賭錢不是想賭,他想令他忽然很投入,
[00:04:13.000 --> 00:04:18.000]  賭錢不投入會輸,一定要很投入,打機很投入,
[00:04:18.000 --> 00:04:22.000]  如果這樣你不死,我雖然無做醫生,
[00:04:22.000 --> 00:04:26.000]  我經常見那些醫生,剛上星期見了一個公共衛生,
[00:04:27.000 --> 00:04:32.000]  因為我做青少年,我說你有沒有最近研究青少年的情緒如何,
[00:04:32.000 --> 00:04:37.000]  他給我數字嚇死我,一萬個中學生,
[00:04:37.000 --> 00:04:42.000]  百分之四十到五十depressed,
[00:04:42.000 --> 00:04:50.000]  亦說我未證實幾多是clinically depressed,
[00:04:50.000 --> 00:04:54.000]  即要見psychiatrist,我們估過去大概如何,
[00:04:55.000 --> 00:04:59.000]  我前日又聽一個pediatrician一個很大的conference,
[00:04:59.000 --> 00:05:04.000]  那個是醫科精神科醫生,很著名,
[00:05:04.000 --> 00:05:09.000]  大概是百分之十到clinically depressed,
[00:05:09.000 --> 00:05:14.000]  你clinically depressed的時間,你一個人由初初擔心,
[00:05:14.000 --> 00:05:20.000]  擔心就開始焦慮,焦慮後你過去有些事填壓力,
[00:05:20.000 --> 00:05:24.000]  你就很容易兩種症,一個是焦慮症,一個是抑鬱症,
[00:05:25.000 --> 00:05:29.000]  所以全香港幾十年都是保持水準,
[00:05:29.000 --> 00:05:33.000]  最暢銷的藥都是焦慮藥,
[00:05:33.000 --> 00:05:40.000]  睡覺藥,第二現在急速上升的就是anti-depressant,
[00:05:40.000 --> 00:05:44.000]  抗抑鬱藥,抗抑鬱藥你真的有抑鬱症你一定要食藥,
[00:05:44.000 --> 00:05:47.000]  你不食你一定死,不是說笑,
[00:05:48.000 --> 00:05:55.000]  我真是醫生,你的腦分泌是轉了,它biochemically是轉了各位先生,
[00:05:55.000 --> 00:05:59.000]  牧師也是,你覺得clinically depressed,
[00:05:59.000 --> 00:06:02.000]  你跟他祈禱沒有用,你以為你是神醫,
[00:06:02.000 --> 00:06:11.000]  所以起來我不是神醫,我是醫生,不過是三十年前的,
[00:06:11.000 --> 00:06:15.000]  你明不明白,你要明白人的構造點,
[00:06:16.000 --> 00:06:19.000]  你明白過去如何影響他,明日的事如何影響他,
[00:06:19.000 --> 00:06:23.000]  否則你如何活在今天那麼free,你那麼投入,
[00:06:23.000 --> 00:06:26.000]  你真是每一刻跟人傾談你又很free,
[00:06:26.000 --> 00:06:30.000]  跟兒子傾談又很free,幾free,兒子幾怕你,
[00:06:30.000 --> 00:06:34.000]  兒子來我跟你說話,他知道他今次死定了,
[00:06:34.000 --> 00:06:39.000]  你一定剷了他,所以我自己說這是很重要,
[00:06:40.000 --> 00:06:48.000]  究竟說甚麼,我發覺主耶穌來的時候他真是好,
[00:06:48.000 --> 00:06:54.000]  他看到為何這班人,所以主耶穌說我來set you free,
[00:06:54.000 --> 00:07:00.000]  神的兒子來叫你得到自由,那些人我都沒有坐牢為何不自由,
