
[00:00:00.000 --> 00:00:06.800]  上次我們看到大衛,因為已經穩定了國勢,
[00:00:06.800 --> 00:00:10.080]  他的生活就開始糜爛了。
[00:00:10.080 --> 00:00:12.920]  他犯罪的背景是什麼呢?
[00:00:12.920 --> 00:00:17.720]  就是太陽平西,黃昏的時候他才起身,
[00:00:17.720 --> 00:00:22.960]  而當時在國家裡面其實仍然要打仗,
[00:00:22.960 --> 00:00:26.200]  不過他不需要御駕親征,
[00:00:26.200 --> 00:00:29.240]  他只是派藥鴨去前線打仗而已。
[00:00:29.800 --> 00:00:33.720]  起身後又沒什麼事做,在皇宮的平台悠悠閒,
[00:00:33.720 --> 00:00:37.800]  這樣逛逛,誰知就看到一個女士,
[00:00:37.800 --> 00:00:39.320]  來帶他去洗澡。
[00:00:39.320 --> 00:00:43.200]  他當然有這個淫念出現,
[00:00:43.200 --> 00:00:46.680]  但又不是為了要解決他生理上的需要,
[00:00:46.680 --> 00:00:49.720]  因為他有很多皇宮舅公佳麗,
[00:00:49.720 --> 00:00:53.520]  而更加是他要派人去打探,
[00:00:53.520 --> 00:00:57.280]  究竟這個女人是什麼人,探子回報,
[00:00:57.280 --> 00:01:00.600]  原來是他屬下一個將領的妻子,
[00:01:00.600 --> 00:01:03.560]  這個將領就已經在前線打仗,
[00:01:03.560 --> 00:01:06.440]  他就想著有機可乘,
[00:01:06.440 --> 00:01:10.000]  於是派人接這個女士拔士巴入宮,
[00:01:10.000 --> 00:01:11.920]  跟他發生了關係,
[00:01:11.920 --> 00:01:16.480]  但他想著是一夜情而已,送她回去,
[00:01:16.480 --> 00:01:20.480]  誰知拔士巴後來派人跟他說,
[00:01:20.480 --> 00:01:24.960]  我有了你的BB,但他沒想過這件事,
[00:01:25.480 --> 00:01:28.200]  於是他立即要掩飾他的錯,
[00:01:28.200 --> 00:01:32.560]  他就用辦法去遮蓋他的罪,
[00:01:32.560 --> 00:01:38.400]  他就派人叫拔士巴的丈夫烏尼亞在前線回來,
[00:01:38.400 --> 00:01:43.320]  假意問戰情,然後跟他說不如回家休息,
[00:01:43.320 --> 00:01:47.680]  他想著這個丈夫離家日久,
[00:01:47.680 --> 00:01:50.640]  回到家一定會跟太太有親密的行為,
[00:01:51.400 --> 00:01:56.640]  但誰知這個將領烏尼亞是忠心耿耿,
[00:01:56.640 --> 00:02:00.600]  他說我的同袍在前線打仗,
[00:02:00.600 --> 00:02:07.320]  我怎可以扔下他們而回家跟我妻子有溫馨的行動呢?
[00:02:07.320 --> 00:02:13.560]  於是他竟然就睡在皇宮門外去守衛王,
[00:02:13.560 --> 00:02:16.720]  但罪蠶食了大衛,
[00:02:17.520 --> 00:02:22.120]  他再用方法甚至灌他飲酒,
[00:02:22.120 --> 00:02:24.800]  等他飲醉酒希望他回去,
[00:02:24.800 --> 00:02:28.400]  但這個將領酒醉三昏醒,
[00:02:28.400 --> 00:02:33.000]  仍然留在皇宮外面,三次不得要領之後,
[00:02:33.000 --> 00:02:36.320]  於是沒辦法了,叫他回去前線,
[00:02:36.320 --> 00:02:37.800]  但他做了一件事,
[00:02:37.800 --> 00:02:40.960]  他叫烏尼亞帶一封信給元帥約翰,
[00:02:40.960 --> 00:02:43.560]  但很不幸這封是催命信,
[00:02:43.560 --> 00:02:47.440]  原來他叫約翰派烏尼亞去前線打仗,
