
[00:00:00.000 --> 00:00:01.640]  誰說我真的不知道
[00:00:01.640 --> 00:00:03.000]  我如果應許你
[00:00:03.000 --> 00:00:06.400]  這個憑據是不是也讓你看到
[00:00:06.400 --> 00:00:09.520]  就好像你沒有order
[00:00:09.520 --> 00:00:12.400]  或者是你郵寄什麼東西
[00:00:12.400 --> 00:00:18.640]  一般它的FedEx會有一個confirmation number
[00:00:18.640 --> 00:00:20.520]  還有你可以上網去看
[00:00:20.520 --> 00:00:22.600]  你那個包裹到了哪裏
[00:00:22.600 --> 00:00:24.520]  這是你的憑據
[00:00:24.520 --> 00:00:27.400]  或者你買了東西
[00:00:27.400 --> 00:00:29.840]  他說這個保證期多少
[00:00:29.840 --> 00:00:31.720]  他給你一張收據
[00:00:31.720 --> 00:00:33.200]  這是你的憑據
[00:00:33.200 --> 00:00:35.560]  你的warranty你的guarantee
[00:00:35.560 --> 00:00:37.520]  所以你才心安
[00:00:37.520 --> 00:00:39.480]  但是神說
[00:00:39.480 --> 00:00:41.080]  我應許你這個東西
[00:00:41.080 --> 00:00:44.360]  我不知道該不該給你一個憑據
[00:00:44.360 --> 00:00:47.280]  因爲你如果看到憑據
[00:00:47.280 --> 00:00:48.720]  你才安心
[00:00:48.720 --> 00:00:50.880]  你纔有平安的意念
[00:00:50.880 --> 00:00:53.560]  但是你如果沒有看到憑據
[00:00:53.560 --> 00:00:57.480]  你心裏面就有什麼降災禍的意念了
[00:00:57.480 --> 00:00:58.280]  不是嗎
[00:00:58.280 --> 00:01:01.840]  剛纔我們耶利米蘇就是這麼說
[00:01:01.840 --> 00:01:03.240]  他說在我們的生命中
[00:01:03.240 --> 00:01:06.120]  我們遇到大大小小的事情
[00:01:06.120 --> 00:01:08.560]  但是神是美善的神
[00:01:08.560 --> 00:01:09.920]  他應允我們
[00:01:09.920 --> 00:01:13.960]  他應允許多的先賢先祖始祖
[00:01:13.960 --> 00:01:15.800]  還有偉大的人
[00:01:15.800 --> 00:01:18.000]  他都這麼的跟他們說
[00:01:18.000 --> 00:01:21.960]  那麼他們跟我們有什麼不一樣的
[00:01:21.960 --> 00:01:23.720]  這就是神說
