
[00:00:00.000 --> 00:00:06.000]  剛剛接到這個講題說失敗,一聽到失敗兩個字我自己都嚇了一跳
[00:00:06.000 --> 00:00:12.000]  是不是我因為失敗得多,還是見到人失敗得多,為什麼要我講一個這樣的topic呢?
[00:00:12.000 --> 00:00:17.000]  但心想下,其實給個機會我自己回顧自己
[00:00:17.000 --> 00:00:23.000]  和回顧我以前在生命的歷程裏頭所經過的很多事
[00:00:23.000 --> 00:00:27.000]  所以今天和大家分享,亦都有一部份是自己個人的見證
[00:00:27.000 --> 00:00:32.000]  在座當中,大家都比較年輕
[00:00:32.000 --> 00:00:38.000]  有很多可能歷史上發生的事,你們未親身經歷過
[00:00:38.000 --> 00:00:47.000]  我舉個例子,因為我做這行,所以我盡量用我自己這行的例子來給大家看
[00:00:47.000 --> 00:00:57.000]  在金融界來說,香港在六零年初的時候還是很孕育的時期
[00:00:57.000 --> 00:01:03.000]  那時候有一點點的股災,起碼有百分之五十的上下落
[00:01:03.000 --> 00:01:10.000]  其實真真正正記錄到,因為那時候很多統計的方法都未必是
[00:01:10.000 --> 00:01:13.000]  以現在來說,未必是很準確
[00:01:13.000 --> 00:01:20.000]  但是以現在量度的方法來說,是完全不同的
[00:01:20.000 --> 00:01:27.000]  在六五年試過24%,在六七年股災試過三十多個百分比
[00:01:27.000 --> 00:01:33.000]  但大家記住那時候的資本架構,總資本量是很小的
[00:01:33.000 --> 00:01:37.000]  一講三十多個百分比,其實已經很厲害
[00:01:37.000 --> 00:01:45.000]  到七零年代我還很記得,那時候還要幫家人聽收音機,抄股價
[00:01:45.000 --> 00:01:49.000]  那時候股票行還在寫黑板的年代
[00:01:49.000 --> 00:01:53.000]  七三年有個大股災,九十一點五四個百分比
[00:01:53.000 --> 00:01:58.000]  這個是真的很驚人的,九十幾個百分比沒有了
[00:01:58.000 --> 00:02:01.000]  那時候還沒有衍生工具,什麼都沒有
[00:02:01.000 --> 00:02:04.000]  但這些已經被很多人遺忘了,七三年
[00:02:04.000 --> 00:02:07.000]  同一年李小龍死了,所以我一定記得
[00:02:07.000 --> 00:02:12.000]  一九八零年,八一年有股災,八七年有股災
[00:02:12.000 --> 00:02:14.000]  這兩個都超過百分之五十
[00:02:14.000 --> 00:02:19.000]  尤其是八七年,影響是相當相當之大
[00:02:19.000 --> 00:02:25.000]  八七年這個影響是相當相當之大
[00:02:25.000 --> 00:02:30.000]  因為我自己記得那天,我們叫Black Monday,黑色星期一之前
[00:02:30.000 --> 00:02:35.000]  那個禮拜五,我剛剛飛回來香港早上,馬上要坐飛機離開
[00:02:35.000 --> 00:02:40.000]  那麼大的影響,其實如果大家在學術界坐下來說
[00:02:40.000 --> 00:02:42.000]  沒有可能發生,為什麼?
[00:02:42.000 --> 00:02:45.000]  因為如果你拿著一本教科書來看
[00:02:45.000 --> 00:02:48.000]  其實很容易預測到禮拜一是這樣的
[00:02:48.000 --> 00:02:53.000]  由一月一號那年的一月一號,一直到十月一日升
[00:02:53.000 --> 00:02:59.000]  而且還有一樣東西就是,那個時候的債券市場和股票市場掛勾
[00:02:59.000 --> 00:03:02.000]  通常是相反的,是很有趣的掛勾
[00:03:02.000 --> 00:03:07.000]  而禮拜五那天,債券市場就完全崩潰
[00:03:07.000 --> 00:03:10.000]  所以知道禮拜一應該會有事
[00:03:10.000 --> 00:03:13.000]  但是個個不知道為什麼,過後再說吧
[00:03:13.000 --> 00:03:16.000]  因為當時大家的Ego都很大,沒有理由
[00:03:16.000 --> 00:03:20.000]  再舉個例子,我剛剛入行的時候
[00:03:20.000 --> 00:03:30.000]  我們在期貨市場對沖很多的指數,有個老師教我
[00:03:30.000 --> 00:03:36.000]  他說,Benjamin,你由今天起不要看報紙,不要看新聞,起碼三個月
[00:03:36.000 --> 00:03:40.000]  也不要把你的Theory拿出來,你就在市場觀察
[00:03:40.000 --> 00:03:44.000]  那時候剛剛入行,觀察,你看著水怎麼流
[00:03:44.000 --> 00:03:49.000]  你第一件事要做什麼? Swallow the big "I"
[00:03:49.000 --> 00:03:53.000]  我們一群人,個個都博士學位
[00:03:53.000 --> 00:03:59.000]  當我們學的東西全部沒有了,全部要吞掉,就是要你吞掉
[00:03:59.000 --> 00:04:03.000]  在這個市場上面,你跟他硬碰,以為你自己行的話
[00:04:03.000 --> 00:04:06.000]  你就死定了,不要怪我說得那麼俗
[00:04:06.000 --> 00:04:08.000]  為什麼會有這樣的情況,其實很簡單
[00:04:08.000 --> 00:04:12.000]  你聽到我有些新聞,或者我畫個chart,怎樣也好
[00:04:12.000 --> 00:04:16.000]  你覺得那時候全世界已經知道
[00:04:16.000 --> 00:04:19.000]  News is not news, news is old
[00:04:19.000 --> 00:04:26.000]  已經不是一個人所知的新聞
[00:04:26.000 --> 00:04:31.000]  在87年來說對我影響也很大
[00:04:31.000 --> 00:04:33.000]  一會兒我會再講為什麼影響那麼大
[00:04:33.000 --> 00:04:35.000]  我再看看下面是怎麼樣
[00:04:35.000 --> 00:04:40.000]  接著89年,接著一直到1990年代
[00:04:40.000 --> 00:04:43.000]  97大家知道大股災,金融風暴
[00:04:43.000 --> 00:04:49.000]  2000年代有科技股,911,SARS,環球金融
[00:04:49.000 --> 00:04:53.000]  一直到2010年,我們現在還是在2010年代裡頭
[00:04:53.000 --> 00:04:57.000]  到底最後的買單是怎樣買單我們都不知道
[00:04:57.000 --> 00:05:02.000]  香港流傳一句話
[00:05:02.000 --> 00:05:07.000]  一個都市的傳奇,就是每十年就來一次
[00:05:07.000 --> 00:05:10.000]  十年就好像是我們一個cycle
[00:05:10.000 --> 00:05:14.000]  所謂技術分析的人員都當作是一個cycle
[00:05:14.000 --> 00:05:20.000]  當他擺了下去,一定是遲早會發生的一件事
[00:05:20.000 --> 00:05:23.000]  這些災難是其中一個災難
[00:05:23.000 --> 00:05:27.000]  因為我是這一行,所以比較容易用這些例子來說
[00:05:27.000 --> 00:05:31.000]  比起我們很多人在商業上和個人的失敗
[00:05:31.000 --> 00:05:36.000]  有些人能夠沉住氣,等待下一個周期
[00:05:36.000 --> 00:05:41.000]  但有些人沒辦法接受這些人生的衝擊
[00:05:41.000 --> 00:05:44.000]  以很消極的方法去面對這些失敗
[00:05:44.000 --> 00:05:47.000]  我們兩方面都見過不少
[00:05:47.000 --> 00:05:51.000]  因為這樣曾經上過CNN,為什麼呢?
[00:05:51.000 --> 00:05:54.000]  就是87年,我們回到87年
[00:05:54.000 --> 00:05:59.000]  我們的市場叫Chicago Mercantile Exchange
[00:05:59.000 --> 00:06:02.000]  專門是期貨和指數
[00:06:02.000 --> 00:06:09.000]  當時有一位老人家是一個trader,買賣的操作員
[00:06:09.000 --> 00:06:12.000]  因為當日的市場實在太快了
[00:06:12.000 --> 00:06:17.000]  因為有一陣子的現貨和期貨脫勾,電腦壞了
[00:06:17.000 --> 00:06:20.000]  太緊張了,有一位老人家就跌倒了
[00:06:20.000 --> 00:06:23.000]  跌倒之後就沒人發現
[00:06:23.000 --> 00:06:28.000]  後來在visiting lounge,遊客見到再通知人
[00:06:28.000 --> 00:06:31.000]  再找人下去,據聞超過20分鐘
[00:06:31.000 --> 00:06:34.000]  20分鐘之後,那位老人家就不在了
[00:06:34.000 --> 00:06:37.000]  救生車來已經太遲了
[00:06:37.000 --> 00:06:41.000]  當然,新聞大做文章
[00:06:41.000 --> 00:06:43.000]  因為前後左右都是我公司的人
[00:06:43.000 --> 00:06:46.000]  我剛剛帶著一隊,是一隊隊衝隊
[00:06:46.000 --> 00:06:49.000]  專門是獻身工具的隊伍
[00:06:49.000 --> 00:06:52.000]  前後左右全部黑色衣服
[00:06:52.000 --> 00:06:55.000]  當時我們每個人有不同顏色的制服
[00:06:55.000 --> 00:06:57.000]  全部是我們的
