
[00:00:00.000 --> 00:00:11.000]  上個星期五有一個姊妹老在教會。
[00:00:11.000 --> 00:00:15.000]  她就問我在情人節你會為你的太太做些什麼呢?
[00:00:15.000 --> 00:00:17.000]  我說沒有什麼。
[00:00:17.000 --> 00:00:28.000]  我就回答,星期五晚上我有一個順念,
[00:00:28.000 --> 00:00:31.000]  星期六整天都有服侍。
[00:00:31.000 --> 00:00:42.000]  她說你必須要為她做些什麼,但是我回答說很遺憾,我不能夠。
[00:00:42.000 --> 00:00:52.000]  但感謝主,昨天晚上我可以跟她一起在教會裡面包餃子。
[00:00:52.000 --> 00:00:57.000]  你如何慶祝情人節呢?
[00:00:57.000 --> 00:01:07.000]  其實情人節的開始一點都不浪漫。
[00:01:07.000 --> 00:01:29.000]  其實情人節的開始是有一位神父叫Valentine,他是一位羅馬的修道士。
[00:01:29.000 --> 00:01:52.000]  在那個時候這個金王羅馬帝王叫做Claudia,他反對年輕人成家。
[00:01:52.000 --> 00:02:02.000]  他相信年輕人如果沒有成家的話,就能夠毫無掛慮的為國家獻上在戰場上。
[00:02:02.000 --> 00:02:14.000]  他不需要孤立他的妻子家人。
[00:02:14.000 --> 00:02:21.000]  Valentine他相信婚姻是上帝所設立的,那男女應該要成家。
[00:02:21.000 --> 00:02:35.000]  那他就暗中的為年輕人主持婚禮。
[00:02:35.000 --> 00:02:45.000]  很遺憾的最後他就被抓,放到監牢裡,以至於喪命。
[00:02:45.000 --> 00:02:55.000]  Valentine他沒有為情理的愛而犧牲自己的生命,他為了他的信仰放棄生命。
[00:02:55.000 --> 00:03:00.000]  就是上帝所教導我們的婚姻。
[00:03:00.000 --> 00:03:22.000]  今天我也不在這裡談說浪漫的愛,而是要跟大家分享無私的愛,對上帝無私的愛。
[00:03:22.000 --> 00:03:33.000]  我們今天的講題:愛神的人。
[00:03:33.000 --> 00:03:43.000]  翻譯出來的意思不是完全的正確。
[00:03:43.000 --> 00:03:52.000]  應該是神的情人。
[00:03:52.000 --> 00:03:59.000]  其實有一個人的名字就叫做神的愛人。
[00:03:59.000 --> 00:04:15.000]  他的名字叫做提阿菲羅,就是路加醫生在路加福音漢史圖形傳所提到的這位人。
[00:04:15.000 --> 00:04:23.000]  在希臘文提阿菲羅是兩個字。
[00:04:23.000 --> 00:04:32.000]  提阿就是神,菲羅就是弟兄之愛。
[00:04:32.000 --> 00:04:38.000]  或者是被神所愛。
[00:04:38.000 --> 00:04:45.000]  上帝所愛,或者是愛上帝的人。
[00:04:45.000 --> 00:04:53.000]  當然我們就選擇愛神的人。
[00:04:53.000 --> 00:05:10.000]  提阿菲羅這個名字是一個希臘人的名字。
[00:05:10.000 --> 00:05:29.000]  那很自然的他就不是一個猶太人,是外邦人。
[00:05:29.000 --> 00:05:52.000]  也許他的父母給他起名叫提阿菲羅,就是盼望他愛,或者他愛慕希臘裡面的其中一位神,或者是希臘宇宙裡面的神。
[00:05:52.000 --> 00:06:01.000]  他真的就活出他的名字,但是他選擇了愛宇宙萬物的真神。
[00:06:01.000 --> 00:06:22.000]  另外一個德國的神父,剛才我們講了一個羅馬的神父,現在我要講到一位德國的神父。
[00:06:22.000 --> 00:06:32.000]  他有一本非常出名的書,就是《效法基督》。
[00:06:32.000 --> 00:06:40.000]  他在他的書裡面強調,愛的越多,做的越多。
[00:06:40.000 --> 00:06:52.000]  我相信提阿菲羅就是這樣的一位人。
[00:06:52.000 --> 00:07:13.000]  因為提阿菲羅這一位人士,我們的聖經裡面就有了路加福音、漢史圖像,相信提阿菲羅聽到關於耶穌,他所行的神蹟,他這一位人。
[00:07:13.000 --> 00:07:29.000]  所以他要確認知道,這一位耶穌真的就是聖經裡面所說的米賽亞,他是真神。
[00:07:29.000 --> 00:07:38.000]  所以他就拆拍了路加醫生,為他做這個研究。
[00:07:38.000 --> 00:08:01.000]  是的,使徒形狀和路加福音是路德醫生所寫的,但是我們必須要表揚提阿菲羅這一位人。
[00:08:01.000 --> 00:08:10.000]  因為他對上帝的愛,他對上帝的追求,他花錢就是讓路加寫了這本書。
[00:08:10.000 --> 00:08:27.000]  所以使徒形狀和路加福音他的開始的起頭,跟聖經所有其他本書完全不一樣。
[00:08:32.000 --> 00:08:34.000]  他就是提到這一位人士。
