
[00:00:00.000 --> 00:00:08.000]  最近有人問我說牧師,你的講道是不是解經講道,是不是?
[00:00:08.000 --> 00:00:14.000]  我首先問你什麼叫解經講道?
[00:00:14.000 --> 00:00:17.000]  如果讀過神學院就知道,
[00:00:17.000 --> 00:00:22.000]  神學院裡面有所謂的主題式講道,
[00:00:22.000 --> 00:00:24.000]  有所謂經文式講道,
[00:00:24.000 --> 00:00:27.000]  也有所謂的解經講道。
[00:00:27.000 --> 00:00:30.000]  我們今年花了這麼多時間,
[00:00:30.000 --> 00:00:33.000]  我們就是以符所書,一段一段的。
[00:00:33.000 --> 00:00:35.000]  是不是?一段一段的。
[00:00:35.000 --> 00:00:37.000]  我們沒有辦法很快的,
[00:00:37.000 --> 00:00:42.000]  好像一章或者是七八節這樣子的來講,
[00:00:42.000 --> 00:00:45.000]  可能跟你在團契的查經不太一樣。
[00:00:45.000 --> 00:00:50.000]  但中嬸妹,請問我們查經,請問我們讀神的話,
[00:00:50.000 --> 00:00:53.000]  我們的目的是什麼?
[00:00:53.000 --> 00:00:57.000]  是為了把聖經讀一遍嗎?
[00:00:57.000 --> 00:00:59.000]  對,這是一個方式,對不對?
[00:00:59.000 --> 00:01:02.000]  這個叫速讀聖經。
[00:01:02.000 --> 00:01:05.000]  但中嬸妹,我們每一次來這邊,
[00:01:05.000 --> 00:01:08.000]  中嬸妹,今天神的話語,
[00:01:08.000 --> 00:01:10.000]  你禮拜天來這個地方,
[00:01:10.000 --> 00:01:13.000]  神要向我們說話,Amen?
[00:01:13.000 --> 00:01:16.000]  你相信神會跟你說話嗎?
[00:01:16.000 --> 00:01:21.000]  你相信神的話是使我們有智慧的來源嗎?
[00:01:21.000 --> 00:01:25.000]  你相信神的話是我們屬靈生命的糧食嗎?
[00:01:25.000 --> 00:01:29.000]  你相信神的話是我們腳前的燈,路上的光嗎?
[00:01:29.000 --> 00:01:30.000]  Amen?
[00:01:30.000 --> 00:01:32.000]  所以我們需要神的話,Amen?
[00:01:32.000 --> 00:01:40.000]  跟你旁邊說,你需要神的話。
[00:01:40.000 --> 00:01:42.000]  當我們仔細來讀神的話,
[00:01:42.000 --> 00:01:45.000]  你就會發現神的話真是寶貴,是不是?
[00:01:45.000 --> 00:01:52.000]  昨天師母去幫我買了野生的蜂蜜,
[00:01:52.000 --> 00:01:56.000]  為了讓我的感冒可以早點好。
