
[00:00:00.000 --> 00:00:10.000]  最近前幾個禮拜我們就講到基督是誰
[00:00:10.000 --> 00:00:12.000]  基督是誰 基督是誰 是不是
[00:00:12.000 --> 00:00:16.000]  這個可以說是很基要的真理
[00:00:16.000 --> 00:00:19.000]  但是也可以說是很深的真理
[00:00:19.000 --> 00:00:21.000]  他可以是一個還沒有認識主的人
[00:00:21.000 --> 00:00:23.000]  都應該要聽的
[00:00:23.000 --> 00:00:25.000]  他也是認識主三十年四十年的人
[00:00:25.000 --> 00:00:28.000]  他還需要認識的 Amen
[00:00:28.000 --> 00:00:31.000]  你有沒有覺得你跟你太太結婚了三十年四十年
[00:00:31.000 --> 00:00:35.000]  你發現你還需要更多認識他 有沒有
[00:00:35.000 --> 00:00:40.000]  沒有
[00:00:40.000 --> 00:00:43.000]  你會發現我們要認識這位主
[00:00:43.000 --> 00:00:46.000]  他更是窮我們一生之力
[00:00:46.000 --> 00:00:50.000]  我們都沒有辦法認識到一個透徹的地步
[00:00:50.000 --> 00:00:53.000]  所以要竭力地追求他
[00:00:53.000 --> 00:00:56.000]  基督是那個超越萬有的主
[00:00:56.000 --> 00:00:59.000]  他是宇宙萬物的主宰
[00:00:59.000 --> 00:01:02.000]  基督也是教會的主
[00:01:02.000 --> 00:01:04.000]  基督是創造的主
[00:01:04.000 --> 00:01:06.000]  基督也是救贖的主
[00:01:06.000 --> 00:01:13.000]  所以 哥羅西蘇保羅在這邊講到這些事情的時候
[00:01:13.000 --> 00:01:15.000]  他一再地讓我們看見
[00:01:15.000 --> 00:01:20.000]  基督是我們所敬拜 所追求的中心
[00:01:20.000 --> 00:01:23.000]  前提就是今天來很重要一件事情
[00:01:23.000 --> 00:01:26.000]  你來這邊要更多認識耶穌基督
[00:01:26.000 --> 00:01:32.000]  你來這邊不是只是來欣賞一個很好的敬拜
[00:01:32.000 --> 00:01:36.000]  你來這邊也不是只是為了聽一聽道
[00:01:36.000 --> 00:01:42.000]  前提就是你來這邊是為了要來認識這位耶穌基督 Amen
[00:01:42.000 --> 00:01:44.000]  所以當你來聚會的時候
