
[00:00:00.000 --> 00:00:04.840]  各位在視頻前的朋友 早晨 大家好
[00:00:04.840 --> 00:00:12.920]  你們今天很歡迎大家來到香港贈信教會的崇拜當中
[00:00:12.920 --> 00:00:16.440]  今天實在是一個很重要的日子
[00:00:16.440 --> 00:00:18.600]  我在這裏不僅歡迎你
[00:00:18.600 --> 00:00:22.480]  我還很想跟你說 耶穌很愛你
[00:00:22.480 --> 00:00:24.960]  今天是一個很美麗的日子
[00:00:24.960 --> 00:00:28.840]  因爲你再一次可以聽到上帝的說話
[00:00:28.840 --> 00:00:30.760]  神真的很愛你
[00:00:30.760 --> 00:00:35.080]  倘若在你身邊有一些家人、朋友
[00:00:35.080 --> 00:00:37.680]  他還沒準備好自己的話
[00:00:37.680 --> 00:00:43.760]  你快點叫他來到當中坐着一起敬拜主
[00:00:43.760 --> 00:00:46.760]  其實在我們教會當中
[00:00:46.760 --> 00:00:49.760]  就是今天這個禮拜日
[00:00:49.760 --> 00:00:54.240]  我們不僅在八點十五分有崇拜
[00:00:54.240 --> 00:00:59.920]  在九點四十五分 十一點半都有崇拜的時間
[00:00:59.920 --> 00:01:01.240]  如果你有感動
[00:01:01.240 --> 00:01:03.520]  或者你想起一些朋友
[00:01:03.520 --> 00:01:06.920]  他很需要聽到耶穌基督的福音
[00:01:06.920 --> 00:01:08.560]  以及去敬拜主的話
[00:01:08.560 --> 00:01:09.680]  你就不要客氣了
[00:01:09.680 --> 00:01:12.040]  你快點發信息給他
[00:01:12.040 --> 00:01:16.640]  通知他一起來到上帝的面前去敬拜他
[00:01:16.640 --> 00:01:17.920]  還有
[00:01:17.920 --> 00:01:24.320]  倘若有些好像在偷聽你聽道的朋友
[00:01:24.320 --> 00:01:26.880]  你不妨開大聲一點
[00:01:26.880 --> 00:01:29.000]  讓他聽得舒服一點
[00:01:29.000 --> 00:01:31.840]  因爲今天要講的這個信息
[00:01:31.840 --> 00:01:35.920]  卻是關乎不僅是基督徒
[00:01:35.920 --> 00:01:39.080]  未信主的都同樣重要
[00:01:39.080 --> 00:01:40.200]  準備了
[00:01:40.200 --> 00:01:45.960]  我們要自己在心裏想想這個問題
[00:01:45.960 --> 00:01:48.000]  這個問題是什麼呢?
[00:01:48.000 --> 00:01:51.080]  就是在過去這兩年裏
[00:01:51.080 --> 00:01:57.000]  有些什麼東西是令你覺得開心的呢?
[00:01:57.000 --> 00:01:58.480]  再問一次
[00:01:58.480 --> 00:02:00.240]  真的要想的
[00:02:00.240 --> 00:02:02.440]  在過去這兩年裏
[00:02:02.440 --> 00:02:06.320]  有些什麼東西令你的心
[00:02:06.320 --> 00:02:12.040]  是會灼熱、喜樂、開心的?
[00:02:12.040 --> 00:02:16.080]  和什麼有關係呢?
[00:02:16.080 --> 00:02:18.840]  和金錢有關係?
[00:02:18.840 --> 00:02:23.120]  和職位有關係?
[00:02:23.120 --> 00:02:29.360]  還是和名譽有關係呢?
[00:02:29.360 --> 00:02:33.760]  我們將這個片段放在心裏
