
[00:00:00.000 --> 00:00:06.000]  今天晚上不是一個愉快的聚會
[00:00:06.000 --> 00:00:16.000]  當我們思想耶穌基督為我們所承受的苦楚
[00:00:16.000 --> 00:00:19.000]  無論我們讀的經文
[00:00:19.000 --> 00:00:21.000]  我們唱的詩歌
[00:00:21.000 --> 00:00:24.000]  或者看的片段
[00:00:24.000 --> 00:00:30.000]  都萬分之一無法去形容
[00:00:30.000 --> 00:00:35.000]  今晚大家是全世界六分之一的人口
[00:00:35.000 --> 00:00:40.000]  都會選擇這個時間紀念這位寶貴的主為我們受死
[00:00:40.000 --> 00:00:44.000]  這個時間今晚全世界有六分之一的人口
[00:00:44.000 --> 00:00:47.000]  都在紀念我們的耶穌基督
[00:00:47.000 --> 00:00:52.000]  剛才讀了兩段經文
[00:00:52.000 --> 00:01:01.000]  看那神的羔羊背負世人的罪孽
[00:01:01.000 --> 00:01:08.000]  還有我的神我的神為什麼離棄我
[00:01:08.000 --> 00:01:11.000]  我不知道大家有沒有想過
[00:01:11.000 --> 00:01:18.000]  耶穌基督為什麼要發出這個呼喊
[00:01:18.000 --> 00:01:26.000]  二千多年前這位耶穌基督這位逾節被殺的羔羊
[00:01:26.000 --> 00:01:30.000]  他被釘在十字架上
[00:01:30.000 --> 00:01:38.000]  他發出一句慘絕人寰的呼求
[00:01:38.000 --> 00:01:43.000]  就說我的神我的神為什麼離棄我
[00:01:43.000 --> 00:01:48.000]  如果你研讀福音書的話
[00:01:48.000 --> 00:01:53.000]  你發現耶穌受死的前後充滿各種的聲音
[00:01:53.000 --> 00:01:57.000]  其實就在耶穌受難前幾天
[00:01:57.000 --> 00:02:02.000]  當耶穌騎驢進入耶路撒冷的時候
[00:02:02.000 --> 00:02:04.000]  聖經怎麼記載呢
[00:02:04.000 --> 00:02:09.000]  那裡記載著群眾夾道歡迎
[00:02:09.000 --> 00:02:13.000]  他們手搖中樹枝
[00:02:13.000 --> 00:02:16.000]  他們就把衣服鋪在地上面
[00:02:16.000 --> 00:02:18.000]  他們就高呼和撒勒和撒勒
[00:02:18.000 --> 00:02:23.000]  鳳主的名應當稱頌的
[00:02:23.000 --> 00:02:25.000]  但是幾天之後
[00:02:25.000 --> 00:02:32.000]  當比拉多找不到耶穌任何的罪狀
[00:02:32.000 --> 00:02:38.000]  他本來想利用這個逾節的節期釋放耶穌
[00:02:38.000 --> 00:02:40.000]  但是猶太人就說如果你釋放了
[00:02:40.000 --> 00:02:44.000]  你就不是我的朋友
[00:02:44.000 --> 00:02:51.000]  所以當比拉多面對群眾的另一把聲音
[00:02:51.000 --> 00:02:57.000]  他們就說要釘死他
[00:02:57.000 --> 00:03:01.000]  我在想同一批的群眾
[00:03:01.000 --> 00:03:06.000]  幾天前他們說和撒勒和撒勒
[00:03:06.000 --> 00:03:11.000]  但是幾天之後他們說釘死他
[00:03:11.000 --> 00:03:19.000]  最後大家看到那些兵丁和罪犯都嘲笑耶穌
[00:03:19.000 --> 00:03:27.000]  你聽到剛才那些皮鞭鞭打耶穌身上的聲音
[00:03:27.000 --> 00:03:36.000]  你聽到聖殿的萬子一開為二的聲音
[00:03:36.000 --> 00:03:46.000]  你聽到耶穌離開世界的時候地震盆石崩裂的聲音
[00:03:46.000 --> 00:03:54.000]  你也聽到耶穌的母親肝腸寸斷的哭聲
[00:03:54.000 --> 00:04:00.000]  其實這是今天晚上我講道的題目
[00:04:00.000 --> 00:04:05.000]  「漠天菊地,菊菊涼涼」
