
[00:00:00.000 --> 00:00:02.000]  兄弟姐妹平安
[00:00:02.000 --> 00:00:04.000]  今天有點冷
[00:00:04.000 --> 00:00:06.000]  跟你旁邊那個打聲招呼
[00:00:06.000 --> 00:00:08.000]  歡迎一下他好不好 讓他溫暖一下
[00:00:08.000 --> 00:00:14.000]  今天我們要講一個
[00:00:14.000 --> 00:00:18.000]  變還是不變的訊息
[00:00:18.000 --> 00:00:22.000]  究竟變還是不變呢
[00:00:22.000 --> 00:00:24.000]  不過對於我們來說
[00:00:24.000 --> 00:00:26.000]  人性兄弟姐妹我們都知道
[00:00:26.000 --> 00:00:28.000]  其實我們都很抗拒
[00:00:28.000 --> 00:00:30.000]  隨便要去改變
[00:00:30.000 --> 00:00:32.000]  大多數人
[00:00:32.000 --> 00:00:34.000]  都不喜歡改變
[00:00:34.000 --> 00:00:36.000]  我們有
[00:00:36.000 --> 00:00:38.000]  習慣原有的環境
[00:00:38.000 --> 00:00:40.000]  有習慣一些熟悉的方法
[00:00:40.000 --> 00:00:42.000]  習慣一些
[00:00:42.000 --> 00:00:44.000]  向來的做法
[00:00:44.000 --> 00:00:46.000]  所以你要變
[00:00:46.000 --> 00:00:48.000]  大家都不會喜歡
[00:00:48.000 --> 00:00:50.000]  就好像你們今天回來的教會一樣
[00:00:50.000 --> 00:00:52.000]  你坐開的位置
[00:00:52.000 --> 00:00:54.000]  你都是坐在那個位置
[00:00:54.000 --> 00:00:56.000]  你回來如果你坐開的位置
[00:00:56.000 --> 00:00:58.000]  你見到有人坐了你就很不高興
[00:00:58.000 --> 00:01:00.000]  不會
[00:01:00.000 --> 00:01:02.000]  那就不至於要打他
[00:01:02.000 --> 00:01:04.000]  所以我們
[00:01:04.000 --> 00:01:06.000]  人是很習慣了
[00:01:06.000 --> 00:01:08.000]  一向的做法的時候
[00:01:08.000 --> 00:01:10.000]  我們要去變
[00:01:10.000 --> 00:01:12.000]  是從來都不容易的
[00:01:12.000 --> 00:01:14.000]  因為改變是代表著
[00:01:14.000 --> 00:01:16.000]  未知
[00:01:16.000 --> 00:01:18.000]  也代表著很沒有安全感
[00:01:18.000 --> 00:01:20.000]  因為你不知道
[00:01:20.000 --> 00:01:22.000]  改變了之後會怎樣
[00:01:22.000 --> 00:01:24.000]  所以就沒有安全感
[00:01:24.000 --> 00:01:26.000]  亦都因為未知
[00:01:26.000 --> 00:01:28.000]  因為沒有安全感
[00:01:28.000 --> 00:01:30.000]  甚至會很害怕
[00:01:30.000 --> 00:01:32.000]  好像我控制不了
[00:01:32.000 --> 00:01:34.000]  我掌握不了
[00:01:34.000 --> 00:01:36.000]  所以這些都是令到我們
[00:01:36.000 --> 00:01:38.000]  很難去隨便改變
[00:01:38.000 --> 00:01:40.000]  亦都很抗拒去改變
[00:01:40.000 --> 00:01:42.000]  所以就算我們知道
[00:01:42.000 --> 00:01:44.000]  需要改變
[00:01:44.000 --> 00:01:46.000]  但卻是想要穩定
