
[00:00:00.000 --> 00:00:02.560]  一個比較少講的題目
[00:00:02.560 --> 00:00:03.580]  OK
[00:00:03.580 --> 00:00:07.160]  那麼你看看講什麼題目呢?講天國
[00:00:07.160 --> 00:00:09.980]  那麼你看到這個圖畫的時候
[00:00:09.980 --> 00:00:12.280]  不知道你有什麼
[00:00:12.280 --> 00:00:13.300]  想法呢
[00:00:13.300 --> 00:00:14.840]  你會想到什麼呢
[00:00:14.840 --> 00:00:16.380]  當你看到這個背景
[00:00:16.380 --> 00:00:17.400]  OK
[00:00:17.400 --> 00:00:18.440]  看到什麼
[00:00:18.440 --> 00:00:22.520]  去天堂的樓梯
[00:00:22.520 --> 00:00:24.060]  是不是
[00:00:24.060 --> 00:00:25.340]  還有看到什麼呢
[00:00:25.340 --> 00:00:27.140]  這個天堂的入口
[00:00:27.140 --> 00:00:27.900]  是不是
[00:00:27.900 --> 00:00:29.180]  還有看到什麼
[00:00:30.200 --> 00:00:32.000]  天堂的光輝
[00:00:32.000 --> 00:00:33.020]  是不是
[00:00:33.020 --> 00:00:36.860]  然後可能你會聯想到天堂裡面那種福樂
[00:00:36.860 --> 00:00:38.920]  還有看到什麼呢
[00:00:38.920 --> 00:00:41.220]  根本就沒有寫在裡面的外面
[00:00:41.220 --> 00:00:44.540]  對不對
[00:00:44.540 --> 00:00:45.560]  OK
[00:00:45.560 --> 00:00:49.660]  其實幾個月之前 我覺得就有一次跟大家說
[00:00:49.660 --> 00:00:51.980]  跟大家分享 不知道大家記不記得我講到的時候說的
[00:00:51.980 --> 00:00:55.040]  最近我經常很喜歡貝珠韜文
[00:00:55.040 --> 00:00:58.120]  為什麼我喜歡貝珠韜文呢
[00:00:58.620 --> 00:01:00.680]  因為我們說這個世界真的變得
[00:01:00.680 --> 00:01:02.200]  越來越差
[00:01:02.200 --> 00:01:02.960]  對不對
[00:01:02.960 --> 00:01:04.240]  越來越多問題
[00:01:04.240 --> 00:01:06.560]  越來越多邪惡的事情
[00:01:06.560 --> 00:01:08.600]  人心又變得越來越詭詐
[00:01:08.600 --> 00:01:09.360]  OK
[00:01:09.360 --> 00:01:11.680]  所以我心裡面一說貝珠韜文的時候
[00:01:11.680 --> 00:01:12.440]  是說什麼
[00:01:12.440 --> 00:01:13.980]  怨富的降臨
[00:01:13.980 --> 00:01:17.060]  真的很希望天國早點降臨
[00:01:17.060 --> 00:01:19.100]  那麼因為
[00:01:19.100 --> 00:01:23.960]  在天國裡面來說 似乎聖經講得很清楚 雖然不是講很多
[00:01:23.960 --> 00:01:26.520]  沒有眼淚 沒有死亡 沒有仇苦
[00:01:26.520 --> 00:01:27.540]  有多好呢
[00:01:27.540 --> 00:01:28.320]  對不對
[00:01:28.840 --> 00:01:30.880]  那麼我相信其實大家呢
[00:01:30.880 --> 00:01:34.200]  如果你是信耶穌的話 你都會有這樣的感覺
[00:01:34.200 --> 00:01:37.540]  當然你說 去天堂啊 我會很想念我的家人
[00:01:37.540 --> 00:01:43.680]  這是正常的 OK 我們都會覺得 哎呀 可能現在回天家的時候
[00:01:43.680 --> 00:01:46.500]  自己的親朋戚友 特別自己的子女
[00:01:46.500 --> 00:01:49.060]  爸爸媽媽 我會想念他們
[00:01:49.060 --> 00:01:50.340]  但是
[00:01:50.340 --> 00:01:53.660]  無論如何 當我們回顧這個世界
[00:01:53.660 --> 00:01:55.200]  回到現實的環境
[00:01:55.460 --> 00:01:58.780]  我們都覺得很開心 大家知道我們都笑得很開心
[00:01:58.780 --> 00:02:00.080]  很少人看到拉長了臉
[00:02:00.080 --> 00:02:03.400]  回到現實的世界 做工很辛苦
[00:02:03.400 --> 00:02:05.460]  老闆經常都在撒嬌我
[00:02:05.460 --> 00:02:07.500]  或者在世上不聽話
[00:02:07.500 --> 00:02:09.800]  或者這些人很麻煩
[00:02:09.800 --> 00:02:11.340]  Whatever啦
[00:02:11.340 --> 00:02:13.640]  原來在這個世界裡面生活的時候
[00:02:13.640 --> 00:02:15.940]  那些困苦
[00:02:15.940 --> 00:02:18.760]  煩惱 憂愁一裸狼
[00:02:18.760 --> 00:02:23.100]  大家有沒有這樣的感覺和這樣的經驗呢
[00:02:23.360 --> 00:02:26.420]  所以很多時候 我們真的會說 哎呀 其實天國真好
[00:02:26.420 --> 00:02:27.960]  有沒有這樣想過
[00:02:27.960 --> 00:02:31.540]  有時候我們都會期待 天國早日降臨
[00:02:31.540 --> 00:02:32.840]  原來
[00:02:32.840 --> 00:02:34.880]  不單單我們會這樣想
[00:02:34.880 --> 00:02:38.220]  耶穌時代的法令賽人都會這樣想
[00:02:38.220 --> 00:02:41.540]  我們看看 法令賽人為什麼會這樣想
[00:02:41.540 --> 00:02:43.080]  聖經裡面怎麼說
[00:02:43.080 --> 00:02:49.720]  法令賽人曾經問過耶穌 他說 聖經國什麼時候來啊
[00:02:49.720 --> 00:02:50.500]  OK
[00:02:50.500 --> 00:02:52.280]  然後耶穌怎樣回答他呢
[00:02:52.540 --> 00:02:55.620]  耶穌回答說 神的國來到
[00:02:55.620 --> 00:02:57.660]  就不是眼所能見的
[00:02:57.660 --> 00:03:01.500]  人也不得說 看啊在這裏 看啊在那裏
[00:03:01.500 --> 00:03:02.780]  因為神的國
[00:03:02.780 --> 00:03:05.340]  就在你們心裏
[00:03:05.340 --> 00:03:08.160]  耶穌究竟的答案是什麼
[00:03:08.160 --> 00:03:13.020]  法令賽人問耶穌 耶穌說 天國什麼時候來啊
[00:03:13.020 --> 00:03:17.380]  如果留心再看幾次的時候 你會知道 耶穌的答案是什麼
[00:03:17.380 --> 00:03:18.660]  天國來了
[00:03:18.660 --> 00:03:20.440]  天國已經來臨了
[00:03:20.700 --> 00:03:23.760]  只不過是人的肉眼 人的眼
[00:03:23.760 --> 00:03:25.300]  就看不到
[00:03:25.300 --> 00:03:27.860]  耶穌跟著告訴他 為什麼呢
[00:03:27.860 --> 00:03:30.940]  他說 神的國就在你們的心裏面
[00:03:30.940 --> 00:03:33.000]  什麼意思啊
[00:03:33.000 --> 00:03:34.280]  什麼意思啊
[00:03:34.280 --> 00:03:38.120]  耶穌的意思是 當我們心中有神
[00:03:38.120 --> 00:03:41.960]  你心中有上帝 你真的信主的 而且相信
[00:03:41.960 --> 00:03:44.000]  既然他是神他是主
[00:03:44.000 --> 00:03:45.780]  他就是我們生命的主宰
