
[00:00:00.000 --> 00:00:01.360]  福利是我們同心的禱告
[00:00:01.360 --> 00:00:02.680]  是,我們同心禱告
[00:00:02.680 --> 00:00:09.040]  菩薩求祢讓我們再一次有祢的聖靈在我們其中
[00:00:09.040 --> 00:00:11.600]  保佑我們真的能夠明白
[00:00:11.600 --> 00:00:13.600]  在聖經裏面的教訓
[00:00:13.600 --> 00:00:17.360]  並且能夠在我們今天的生活裏面
[00:00:17.360 --> 00:00:19.840]  可以秉承著祢的教訓
[00:00:19.840 --> 00:00:21.960]  求祢的幫助
[00:00:21.960 --> 00:00:28.040]  也懇求祢讓我們能夠有一份熱切追求主導的心智
[00:00:28.560 --> 00:00:32.880]  讓每一天我們的生命更加的活得更有靈氣
[00:00:32.880 --> 00:00:34.520]  祈禱祢,祝祢的名格
[00:00:34.520 --> 00:00:41.600]  今天有很多人都會去買電視機
[00:00:41.600 --> 00:00:43.600]  這些人都喜歡去買電視機
[00:00:43.600 --> 00:00:46.480]  買一部電視機就不二之選
[00:00:46.480 --> 00:00:48.480]  就一定是高清電視
[00:00:48.480 --> 00:00:50.800]  就去買了肯定會顯高清電視
[00:00:50.800 --> 00:00:51.960]  如果去買電視機
[00:00:51.960 --> 00:00:55.320]  你都不會再買一部很大的一部放回家的了
[00:00:55.320 --> 00:00:59.400]  就不會再去買CRT的那種回來
[00:00:59.400 --> 00:01:01.840]  那CRT也好
[00:01:01.840 --> 00:01:06.560]  通常買一部高清電視機都有很多的竅門的
[00:01:06.560 --> 00:01:08.680]  不是,高清電視都有很多竅門
[00:01:08.680 --> 00:01:11.880]  我都對電視機都有些研究
[00:01:11.880 --> 00:01:15.040]  雖然我都還是在用那些CRT
[00:01:15.040 --> 00:01:17.960]  儘管我還是在用老式電視
[00:01:17.960 --> 00:01:20.760]  那譬如你買電視機第一樣東西
[00:01:20.760 --> 00:01:27.120]  你現在來算就是要買LED版的總比買Plasma的好
[00:01:27.120 --> 00:01:31.280]  就是說你現在去買的高清電視買LED的肯定比Plasma的好
[00:01:31.280 --> 00:01:34.160]  那你們知道什麼叫LED了
[00:01:34.160 --> 00:01:39.160]  如果是買高清的當然要買108全高清
[00:01:39.160 --> 00:01:42.240]  就不要買120標清
[00:01:42.240 --> 00:01:44.280]  就是說有時候你要買這個
[00:01:44.280 --> 00:01:50.320]  譬如說買了1080的Pixel的肯定比720的要好
[00:01:50.320 --> 00:01:55.400]  還有包括你買的時候要考慮到它那個所謂的
[00:01:55.400 --> 00:01:56.960]  Refresh Rate
[00:01:56.960 --> 00:01:59.160]  就是那個閃動速度
[00:01:59.160 --> 00:02:02.120]  所以要考慮到這個就是刷新的速度
[00:02:02.120 --> 00:02:04.160]  就是Refresh Rate
[00:02:04.160 --> 00:02:05.840]  還有它那個對比度
