
[00:00:00.000 --> 00:00:02.000]  今天早上是猜拳主日
[00:00:02.000 --> 00:00:04.800]  顧名思義提醒我們猜拳的重要
[00:00:04.800 --> 00:00:07.300]  顧名思義提醒我們宣教的重要性
[00:00:07.300 --> 00:00:11.300]  第二世紀有一個教父特土良有一句宣教的名言
[00:00:11.300 --> 00:00:15.000]  第二世紀的教父特土良有一句宣教的名言
[00:00:15.000 --> 00:00:18.000]  他說宣道者的血是教會的種子
[00:00:18.000 --> 00:00:21.500]  他說宣道者的血是教會的種子
[00:00:21.500 --> 00:00:24.000]  我們生活在香港很難理解這句話
[00:00:24.000 --> 00:00:27.000]  我們生活在發達的香港我們很難理解這句話
[00:00:27.000 --> 00:00:28.800]  我們算是有一個舒適的禮堂
[00:00:28.800 --> 00:00:30.600]  我們算是有一個舒適的禮堂
[00:00:30.600 --> 00:00:31.800]  空氣調節
[00:00:31.800 --> 00:00:34.000]  有舒適的空調設備
[00:00:34.000 --> 00:00:36.000]  所有的東西都有專人打點
[00:00:36.000 --> 00:00:38.000]  所有的事情都有專人打點
[00:00:38.000 --> 00:00:40.000]  有時我們覺得一切是理所當然
[00:00:40.000 --> 00:00:44.000]  有些人覺得我們這些都是理所當然的
[00:00:44.000 --> 00:00:49.500]  我們忘記了其實原來在很多的地方是很缺乏的
[00:00:49.500 --> 00:00:53.000]  也許我們忘記了在很多地方是有很多的缺乏
[00:00:53.000 --> 00:00:54.500]  我們身在福中不知福
[00:00:54.500 --> 00:00:57.000]  或者說我們是身在福中不知福
[00:00:57.000 --> 00:01:02.000]  其實是很多宣教士離鄉別井去為我們傳揚這個福音
[00:01:02.000 --> 00:01:08.800]  其實是真實是許多宣教士為放棄一切來到當中為我們宣講福音
[00:01:08.800 --> 00:01:10.000]  我們才有機會聽到
[00:01:10.000 --> 00:01:11.800]  我們才有機會去聽到這個福音
[00:01:11.800 --> 00:01:13.000]  曾經有人這樣說
[00:01:13.000 --> 00:01:14.000]  曾經有人這麼說
[00:01:14.000 --> 00:01:18.000]  他說所有偉大的人物不是一開始想做偉人
[00:01:18.000 --> 00:01:21.800]  所有偉大的人物都不是一開始就要成心當偉人
[00:01:21.800 --> 00:01:24.000]  他們只是盡其本分
[00:01:24.000 --> 00:01:25.500]  他們只是恪守本分
[00:01:25.500 --> 00:01:27.000]  堅持不放棄
[00:01:27.000 --> 00:01:28.000]  堅持不放棄
[00:01:28.000 --> 00:01:31.000]  結果他們就成就了一些偉大的事件
[00:01:31.000 --> 00:01:33.500]  結果他們就成就了許多偉大的事蹟
[00:01:33.500 --> 00:01:34.500]  然後被人尊崇
[00:01:34.500 --> 00:01:36.000]  然後被人所尊崇
[00:01:36.000 --> 00:01:38.000]  盡其本分
[00:01:38.000 --> 00:01:39.000]  恪守本分
[00:01:39.000 --> 00:01:41.000]  聽起來很容易
[00:01:41.000 --> 00:01:42.000]  聽起來非常容易
