
[00:00:00.000 --> 00:00:05.700]  有一段聖經在以西結書第37章第9跟第10兩節
[00:00:05.700 --> 00:00:10.840]  這裏說主對我說 仁子啊 你要發預言 向風發預言
[00:00:10.840 --> 00:00:15.040]  說主耶和華如此說 氣息啊 要從四方而來
[00:00:15.040 --> 00:00:19.200]  吹在這些被殺的人身上 使他們活了
[00:00:19.200 --> 00:00:24.400]  於是我遵命說預言 氣息就進入骸骨 骸骨便活了
[00:00:24.400 --> 00:00:30.400]  並且站起來成為極大的軍隊 我們就讀到這裏
[00:00:30.400 --> 00:00:38.240]  每次我看到剛才所放的生命和交響曲 我都非常的感動
[00:00:38.240 --> 00:00:43.840]  你要知道這首交響曲是一位從小在我們教會長大的孩子
[00:00:43.840 --> 00:00:47.200]  為我們教會30週年所寫的曲子
[00:00:47.200 --> 00:00:50.240]  再加上我們傳播中心影音的製作
[00:00:50.240 --> 00:00:55.760]  真的好像帶領我們走過這30年的歲月
[00:00:55.760 --> 00:01:01.360]  從小小的溪流一直到如今滾滾江河
[00:01:01.360 --> 00:01:05.360]  回想這30年神在我們中間的帶領
[00:01:05.360 --> 00:01:09.160]  我們真的只有在神面前獻上無盡的感恩
[00:01:09.160 --> 00:01:15.600]  Amen 我們將一切榮耀歸給我們的神 Hallelujah
[00:01:15.600 --> 00:01:19.300]  在聖經當中 30是一個很重要的數字
[00:01:19.300 --> 00:01:25.440]  主耶穌是在30歲的時候才開始地上的服事
[00:01:25.440 --> 00:01:32.000]  換句話說 神用30年預備了主耶穌基督
[00:01:32.000 --> 00:01:34.560]  一直到他30歲的時候
[00:01:34.560 --> 00:01:42.600]  神才開始讓他進入在服事 在工作當中來完成神的託付
[00:01:42.600 --> 00:01:48.560]  所以今天當我們在生命和剛剛慶祝完30週年慶祝的時候
[00:01:48.560 --> 00:01:51.400]  我們需要明白一件事情
[00:01:51.400 --> 00:01:57.760]  那就是無論神過去在我們中間做了多少的工作
[00:01:57.760 --> 00:02:01.400]  那只是神的預備的工作而已
[00:02:01.400 --> 00:02:10.400]  Amen 現在才是神要開始真正的工作的時刻
[00:02:10.400 --> 00:02:17.040]  Amen 我還記得在8月10號我們特會的主日
[00:02:17.040 --> 00:02:20.060]  那天我們的講員 Dr. Billy Wilson
[00:02:20.060 --> 00:02:25.000]  他特別就用剛才我們所讀那段經文
[00:02:25.000 --> 00:02:31.760]  講到以西捷看見一個平原上充滿了枯乾的骸骨
[00:02:31.760 --> 00:02:35.660]  神吩咐他向風發預言
[00:02:35.660 --> 00:02:39.060]  當以西捷遵照神的吩咐發預言的時候
[00:02:39.060 --> 00:02:44.760]  風就吹在骸骨身上 使骸骨活過來
[00:02:44.760 --> 00:02:48.960]  Billy Wilson 特別講到神在我們教會的心意
[00:02:48.960 --> 00:02:53.160]  就在我們成為一支極大的軍隊
[00:02:53.160 --> 00:02:55.960]  Amen 換句話說
[00:02:55.960 --> 00:03:02.060]  今天無論你是什麼時候加入到生命和的
[00:03:02.060 --> 00:03:09.160]  無論你是在實體的會眾 或者是在網路上的會眾
[00:03:09.160 --> 00:03:14.360]  無論是什麼時候經歷過聖靈的更新的
[00:03:14.360 --> 00:03:18.460]  神現在所要做的一件事情
[00:03:18.460 --> 00:03:22.960]  就是要把我們在基督裡面連結在一起
[00:03:22.960 --> 00:03:26.560]  我們本來好像一個一個枯乾的骸骨
[00:03:26.560 --> 00:03:29.760]  但如今神要把我們連結在一起
[00:03:29.760 --> 00:03:34.760]  在這個末後的世代成為一支極大的軍隊
[00:03:34.760 --> 00:03:41.560]  Amen 那你說我們要怎麼樣能夠成為神的軍隊呢
[00:03:41.560 --> 00:03:45.160]  今天早上從四方面我們來思想
[00:03:45.160 --> 00:03:50.460]  首先第一個我們一定要確認主耶穌是我們的元帥
[00:03:50.460 --> 00:03:56.660]  跟你們說確認主耶穌是我們的元帥 跟他說
[00:03:56.660 --> 00:04:02.660]  我就想到當神帶領以色列人準備要進入迦南地的時候
[00:04:02.660 --> 00:04:05.560]  那個時刻對以色列人來講
[00:04:05.560 --> 00:04:09.760]  也是要進入一個嶄新的季節
[00:04:09.760 --> 00:04:14.660]  在曠野的四十年神預備他的百姓
[00:04:14.660 --> 00:04:19.460]  現在他們能夠起來成為一支神國的大軍隊
[00:04:19.460 --> 00:04:23.160]  來進入神的應許之地
[00:04:23.160 --> 00:04:26.560]  我們看見在約瑟爾基地三章第三節
