
[00:00:00.000 --> 00:00:03.040]  上次主要跟大家說的那篇道的題目是甚麼
[00:00:03.040 --> 00:00:11.240]  你們真的很記性
[00:00:11.240 --> 00:00:13.640]  一個星期前的東西都記得
[00:00:13.640 --> 00:00:20.880]  上一次我們來看老吉坊第八章
[00:00:20.880 --> 00:00:23.440]  四十到五十六節的經文
[00:00:23.440 --> 00:00:25.240]  我給他這個題目
[00:00:25.240 --> 00:00:30.000]  真是認識到我們的主耶穌基督是一位大能者
[00:00:30.000 --> 00:00:31.920]  沒有大能
[00:00:31.920 --> 00:00:36.440]  在同一個記載裏面能夠拯救醫治
[00:00:36.440 --> 00:00:41.600]  能夠在不同的地方不同的時間裏面
[00:00:41.600 --> 00:00:44.000]  神的大能彰顯
[00:00:44.000 --> 00:00:46.760]  但同時間更加寶貴的就是
[00:00:46.760 --> 00:00:48.280]  他是一位愛我們的主
[00:00:48.280 --> 00:00:49.920]  就是因為這樣
[00:00:49.920 --> 00:00:52.720]  他來到將他的恩典賜予給我們
[00:00:52.720 --> 00:00:55.440]  他的醫治讓我們能夠經歷到
[00:00:55.440 --> 00:01:00.480]  所以我們真是好像這段經文
[00:01:00.480 --> 00:01:03.360]  兩個主要的主角
[00:01:03.360 --> 00:01:04.520]  就是艾魯
[00:01:04.520 --> 00:01:08.800]  和這位患了血瘤的婦人
[00:01:08.800 --> 00:01:13.800]  他們來投靠這位愛我們的大能者
[00:01:13.800 --> 00:01:16.560]  雖然大家記性很好
[00:01:16.560 --> 00:01:17.960]  一個星期前的東西
[00:01:17.960 --> 00:01:22.120]  不過經文可能再重溫一次比較好
[00:01:22.120 --> 00:01:23.880]  我們一起讀一讀很快的
[00:01:23.880 --> 00:01:27.320]  讀完這段經文40到56節
[00:01:27.320 --> 00:01:29.320]  不如這次用啟印經文讀吧
[00:01:29.320 --> 00:01:31.120]  我不需要解釋背景
[00:01:31.120 --> 00:01:33.560]  我們一起讀完這段經文
[00:01:33.560 --> 00:01:34.760]  我先讀一節
[00:01:34.760 --> 00:01:36.440]  請惠宗讀一節
[00:01:36.440 --> 00:01:38.640]  第40節
[00:01:38.640 --> 00:01:40.240]  耶穌會來的時候
[00:01:40.240 --> 00:01:41.880]  眾人迎接他
[00:01:41.880 --> 00:01:44.280]  因為他們都等候他
[00:01:44.280 --> 00:01:47.120]  有請各位龍官同席
[00:01:47.120 --> 00:01:54.680]  饒養大同 再復仇在耶穌上前 由耶穌到他家裡歸
[00:01:54.680 --> 00:01:58.000]  因他有一個獨生女兒
[00:01:58.000 --> 00:01:59.240]  若有十二歲
[00:01:59.240 --> 00:02:00.840]  快要死了
[00:02:00.840 --> 00:02:01.960]  耶穌去的時候
[00:02:01.960 --> 00:02:04.280]  眾人擁擠他
[00:02:04.280 --> 00:02:05.800]  有一個女人
[00:02:05.800 --> 00:02:08.360]  凡要十二年的血瘤
[00:02:08.360 --> 00:02:10.000]  在醫生手裡
[00:02:10.000 --> 00:02:13.080]  爸爸盡了他一生的生計
[00:02:13.080 --> 00:02:16.120]  並沒有一個人同意祂
[00:02:16.120 --> 00:02:18.000]  她來到耶穌背後
[00:02:18.000 --> 00:02:20.160]  摸他的衣裳碎指
[00:02:20.160 --> 00:02:22.840]  血流立刻就止住了
[00:02:22.840 --> 00:02:26.800]  耶穌說 摸我的屍髓
[00:02:26.800 --> 00:02:28.880]  總有人摸我的屍髓
[00:02:28.880 --> 00:02:31.800]  幾乎都從我身上出去
[00:02:31.800 --> 00:02:36.640]  故此總有人摸我的屍髓
[00:02:36.640 --> 00:02:37.640]  耶穌說
[00:02:37.640 --> 00:02:39.080]  總有人摸我
[00:02:39.080 --> 00:02:43.000]  因我覺得有能力從我身上出去
[00:02:43.000 --> 00:03:01.280]  耶穌對他說 女兒
[00:03:01.280 --> 00:03:03.240]  你的信救了你
[00:03:03.240 --> 00:03:05.840]  平平安安地去吧
[00:03:05.840 --> 00:03:18.960]  耶穌聽見就對她說
[00:03:18.960 --> 00:03:21.120]  不要怕 只要信
[00:03:21.120 --> 00:03:24.080]  你的女兒就必得救
[00:03:24.080 --> 00:03:34.560]  耶穌對她說
[00:03:34.560 --> 00:03:38.960]  眾人都為這女兒哀哭隨胸
[00:03:38.960 --> 00:03:40.720]  耶穌說 不要哭
[00:03:40.720 --> 00:03:50.640]  她不是死了 是睡著了
[00:03:50.640 --> 00:03:52.200]  耶穌拉著她的手
[00:03:52.200 --> 00:04:03.600]  呼叫說 女兒 起來吧
[00:04:03.600 --> 00:04:04.800]  最後一節我們一起讀
[00:04:04.800 --> 00:04:07.960]  她的父母驚奇得很
[00:04:07.960 --> 00:04:10.200]  耶穌祝福他們
[00:04:10.200 --> 00:04:14.680]  不要把所做的事告訴人
[00:04:14.680 --> 00:04:17.040]  所以我們記得這段的記載
[00:04:17.040 --> 00:04:22.720]  有兩個故事 有兩個事跡
[00:04:22.720 --> 00:04:24.160]  一個是主幹
[00:04:24.160 --> 00:04:27.440]  主幹就是艾露的女兒
[00:04:27.440 --> 00:04:30.040]  她快要死了
[00:04:30.040 --> 00:04:32.280]  結果後來真的死了
[00:04:32.280 --> 00:04:36.200]  開始的時候帶著期望的心
[00:04:36.200 --> 00:04:40.560]  艾露作為父親就去等候耶穌
[00:04:40.560 --> 00:04:46.120]  從對岸回到白菜大料的地方
[00:04:46.120 --> 00:04:51.680]  再一次期望著耶穌的恩典
[00:04:51.680 --> 00:04:54.160]  到最後故事結束也都解釋了
[00:04:54.160 --> 00:04:55.840]  她去到艾露的家裡
[00:04:55.840 --> 00:04:58.360]  就將這個女兒復生
