
[00:00:00.000 --> 00:00:02.400]  我相信在我們的成長過程當中
[00:00:02.400 --> 00:00:05.800]  我們一定試過批評別人
[00:00:05.800 --> 00:00:07.800]  我相信我們一定試過
[00:00:07.800 --> 00:00:09.800]  我記得由我的女兒出生
[00:00:09.800 --> 00:00:11.200]  有時載她上學的時候
[00:00:11.200 --> 00:00:14.000]  我每次開車我最多批評
[00:00:14.000 --> 00:00:15.800]  批評別人開車開得不好
[00:00:15.800 --> 00:00:17.400]  那個不打燈切我線
[00:00:17.400 --> 00:00:19.200]  那個遠開車
[00:00:19.200 --> 00:00:21.400]  我經常都說香港的交通
[00:00:21.400 --> 00:00:23.000]  只會這麼塞車
[00:00:23.000 --> 00:00:25.200]  就是因為太多巴士
[00:00:25.200 --> 00:00:27.000]  我由十多年前講到現在
[00:00:27.000 --> 00:00:29.000]  雖然我都沒資格去講任何東西
[00:00:29.000 --> 00:00:31.000]  不過我在車裏面說話
[00:00:31.000 --> 00:00:32.000]  就是巴士
[00:00:32.000 --> 00:00:34.000]  巴士弄到現在這麼塞車
[00:00:34.000 --> 00:00:35.600]  所以應該是重組路線
[00:00:35.600 --> 00:00:37.000]  不過終於現在做了
[00:00:37.000 --> 00:00:38.000]  我講了十多年
[00:00:38.000 --> 00:00:39.000]  不過沒人聽我講話
[00:00:39.000 --> 00:00:41.600]  因為永遠都是在車裏面講
[00:00:41.600 --> 00:00:43.200]  我們很多時批評別人
[00:00:43.200 --> 00:00:45.000]  今天你打開收音機
[00:00:45.000 --> 00:00:47.400]  每天早上聽到很多批評
[00:00:47.400 --> 00:00:48.800]  我相信今天你和我
[00:00:48.800 --> 00:00:50.600]  曾經在我們人生當中
[00:00:50.600 --> 00:00:52.200]  一定試過批評別人
[00:00:52.200 --> 00:00:53.400]  但另一方面
[00:00:53.400 --> 00:00:54.800]  我們亦都不否定
[00:00:54.800 --> 00:00:56.200]  在我們人生當中
[00:00:56.200 --> 00:00:59.000]  曾經被人批評過我們
[00:00:59.000 --> 00:01:01.200]  當然我們批評別人
[00:01:01.200 --> 00:01:03.400]  別人亦都會批評我們
[00:01:03.400 --> 00:01:05.800]  所以我曾經嘗試去找
[00:01:05.800 --> 00:01:07.600]  究竟什麼叫批評
[00:01:07.600 --> 00:01:08.600]  批評我們一聽
[00:01:08.600 --> 00:01:09.400]  都是一般般的
[00:01:09.400 --> 00:01:11.000]  批評不是好東西
[00:01:11.000 --> 00:01:15.000]  於是我上網去找批評的定義
[00:01:15.000 --> 00:01:16.400]  於是我找了一個定義
[00:01:16.400 --> 00:01:17.200]  他就這樣說
[00:01:17.200 --> 00:01:19.600]  批評的定義就是
[00:01:19.600 --> 00:01:22.600]  評論對別人的缺點
[00:01:22.600 --> 00:01:24.600]  提出一些意見
[00:01:24.600 --> 00:01:27.400]  都幾好 都幾正面
[00:01:27.400 --> 00:01:28.800]  你有什麼缺點
[00:01:28.800 --> 00:01:30.600]  我提出一些意見給你
[00:01:30.600 --> 00:01:32.200]  都不是差
[00:01:32.200 --> 00:01:33.800]  不過很多時
[00:01:33.800 --> 00:01:35.600]  當我們批評別人的時候
[00:01:35.600 --> 00:01:36.600]  我們會覺得
[00:01:36.600 --> 00:01:37.600]  我現在幫你
[00:01:37.600 --> 00:01:39.000]  你有缺點
[00:01:39.000 --> 00:01:41.000]  我現在叫你改
[00:01:41.000 --> 00:01:43.200]  但當被人批評的時候
[00:01:43.200 --> 00:01:46.000]  人就有一個防禦機制
[00:01:46.000 --> 00:01:47.600]  有一個防禦機制
[00:01:47.600 --> 00:01:48.400]  一講我就說
[00:01:48.400 --> 00:01:49.800]  搞錯 我是這樣的嗎
[00:01:49.800 --> 00:01:51.600]  不是吧
[00:01:51.600 --> 00:01:53.600]  我們一定會即時有一個防禦
[00:01:53.600 --> 00:01:56.800]  就說 為什麼你要批評我
[00:01:56.800 --> 00:01:58.600]  正面的批評
[00:01:58.600 --> 00:02:00.800]  我們很多人都很難接受
[00:02:00.800 --> 00:02:02.200]  更何況
[00:02:02.200 --> 00:02:03.800]  有時有些批評
[00:02:03.800 --> 00:02:06.800]  是沒有任何的理由
[00:02:06.800 --> 00:02:07.600]  當我們面對
[00:02:07.600 --> 00:02:09.800]  沒有任何理由的批評的時候
[00:02:09.800 --> 00:02:10.600]  我們發覺
[00:02:10.600 --> 00:02:12.400]  我們怎樣去回應呢
[00:02:12.400 --> 00:02:13.000]  最近
[00:02:13.000 --> 00:02:14.800]  我都說現在的科技越發達
[00:02:14.800 --> 00:02:16.400]  Facebook的出現
[00:02:16.400 --> 00:02:19.200]  是可以有很多的正能量出現的
[00:02:19.200 --> 00:02:20.000]  但另一方面
[00:02:20.000 --> 00:02:21.400]  我們發覺有一個牧師
[00:02:21.400 --> 00:02:25.400]  在他自己的教會寫了一篇文章
[00:02:25.400 --> 00:02:26.600]  關於公民抗命
[00:02:26.600 --> 00:02:29.800]  是他自己覺得對這個議題
