
[00:00:00.000 --> 00:00:03.340]  「非一般的時代 非一般的崇拜」
[00:00:03.340 --> 00:00:06.520]  歡迎大家來到我們的「周六崇拜」
[00:00:06.520 --> 00:00:10.220]  昨天是5月1號星期五
[00:00:10.220 --> 00:00:15.780]  昨天有一件大新聞就是「黃大仙寺院重開」
[00:00:15.780 --> 00:00:18.920]  不知道下個星期六會不會輪到我們呢?
[00:00:18.920 --> 00:00:21.440]  這是我們一直以來的盼望
[00:00:21.440 --> 00:00:23.860]  現在既然黃大仙都可以重開
[00:00:23.860 --> 00:00:26.160]  為甚麼公理台不可以重開呢?
[00:00:26.160 --> 00:00:30.420]  希望下個星期再不需要在網上和大家相見
[00:00:30.420 --> 00:00:37.740]  我們預備下個星期大家一起回歸教會
[00:00:37.740 --> 00:00:40.160]  可以一起崇拜
[00:00:40.160 --> 00:00:42.440]  由2018年1月開始
[00:00:42.440 --> 00:00:46.220]  我們一直在研讀《馬可福音》
[00:00:46.220 --> 00:00:49.700]  到現在已經有超過兩年的時間
[00:00:49.700 --> 00:00:54.000]  我們講到的總題是「非凡的見證」
[00:00:54.000 --> 00:00:56.440]  不因為馬可是一個非凡的作者
[00:00:56.440 --> 00:01:01.800]  而是因為主耶穌基督是一個非凡的救主
[00:01:01.800 --> 00:01:04.900]  《馬可福音》是一本怎樣的書呢?
[00:01:04.900 --> 00:01:08.520]  德國聖經學者Martin Keiler這樣介紹《馬可福音》
[00:01:08.520 --> 00:01:10.240]  他說《馬可福音》
[00:01:10.240 --> 00:01:13.740]  就是一個耶穌受難復活的故事前面
[00:01:13.740 --> 00:01:19.140]  加了一個延伸了、被拉長了的引現
[00:01:19.140 --> 00:01:23.800]  A Passion Narrative with an Extended Introduction
[00:01:23.800 --> 00:01:26.640]  《馬可福音》用了十章的聖經
[00:01:26.640 --> 00:01:30.320]  去講述了耶穌三年的事工
[00:01:30.320 --> 00:01:33.040]  直至第十一章開始
[00:01:33.040 --> 00:01:37.700]  我們正式進入耶穌在地上的最後一周
[00:01:37.700 --> 00:01:45.660]  而這最後一周由第十一章一直講到最後的第十六章
[00:01:45.660 --> 00:01:47.540]  《馬可福音》第十一章、十二章裏面
[00:01:47.540 --> 00:01:53.260]  記載了聖殿爭霸裏面的七個回合
[00:01:53.260 --> 00:01:54.880]  在復活節之前
[00:01:54.880 --> 00:02:00.080]  我們講了第一個回合、第二個回合和第三個回合
[00:02:00.080 --> 00:02:03.480]  分別的題目是「愛子的權柄」
[00:02:03.480 --> 00:02:06.360]  「邪惡的玄護」和「凱撒的銀幣」
[00:02:06.360 --> 00:02:09.720]  今天要講的是第四回合
[00:02:09.720 --> 00:02:15.000]  講到的經文是《馬可福音》第十二章第十八至二十七節
[00:02:15.000 --> 00:02:19.700]  講到的題目是「復活的上帝」
[00:02:19.700 --> 00:02:23.320]  《馬可福音》第十二章第十八節開始的時候這樣講
[00:02:23.320 --> 00:02:26.420]  它說「殺到該人來見耶穌」
[00:02:26.420 --> 00:02:29.780]  「殺到該人來見耶穌」
[00:02:29.780 --> 00:02:32.460]  如果你記性好、心水又清的話
[00:02:32.460 --> 00:02:35.620]  你會知道殺到該人其實已經是第六組
[00:02:35.620 --> 00:02:41.240]  在聖殿裏面來找耶穌聊天的猶太領袖
[00:02:41.240 --> 00:02:47.060]  之前來過的包括有祭司長、文士、長老
[00:02:47.060 --> 00:02:51.040]  後來又來了法理賽人、希律黨人
[00:02:51.040 --> 00:02:53.620]  現在輪到第六組
[00:02:53.620 --> 00:02:55.220]  殺到該人
[00:02:55.220 --> 00:02:58.640]  是一個名副其實的聖殿車輪戰
[00:02:58.640 --> 00:03:00.700]  一點都不公平的
[00:03:00.700 --> 00:03:07.220]  不是單對單而是六個打一個車輪戰去打耶穌
[00:03:07.220 --> 00:03:10.880]  這是殺到該人在《馬可福音》裏面第一次的出現
[00:03:10.880 --> 00:03:13.260]  也是最後一次的出現
[00:03:13.260 --> 00:03:15.800]  從某個角度來說你可以說
[00:03:15.800 --> 00:03:18.800]  猶太領袖已經是膽盡糧絕最後一擊
[00:03:18.800 --> 00:03:21.300]  於是將最後那一組人
[00:03:21.300 --> 00:03:22.920]  就是殺到該人都拿出來
[00:03:22.920 --> 00:03:24.960]  但是從另外一個角度來說
[00:03:24.960 --> 00:03:28.840]  你可以說其實現在才是王牌出擊
[00:03:28.840 --> 00:03:36.080]  因為殺到該人是猶太領袖當時裏面最有權勢的一班人
[00:03:36.080 --> 00:03:41.120]  他們和耶穌正在準備一個終極之戰
[00:03:41.120 --> 00:03:44.720]  如果你還記得我講凱撒的銀幣的時候
[00:03:44.720 --> 00:03:46.360]  我講到一樣東西
[00:03:46.360 --> 00:03:51.880]  就是當時有兩組人一齊出來拍檔出擊打耶穌
[00:03:51.880 --> 00:03:52.960]  一個是法利塞人
[00:03:52.960 --> 00:03:56.440]  另外一個是希律黨人
[00:03:56.440 --> 00:03:59.280]  這兩班人不單止不是天生一對
[00:03:59.280 --> 00:04:03.000]  甚至我們可以說他們是天生不對
[00:04:03.000 --> 00:04:06.720]  法利塞人是遊獨分子
[00:04:06.720 --> 00:04:11.040]  而希律黨人就是建制保皇黨
[00:04:11.040 --> 00:04:12.480]  他們根本就是水溝油
[00:04:12.480 --> 00:04:17.040]  然而耶穌的出現讓他們可以同心合意地
[00:04:17.040 --> 00:04:20.160]  鎖定一個共同的目標
[00:04:20.160 --> 00:04:22.480]  今天我們見到的是殺到該人
[00:04:22.480 --> 00:04:26.880]  殺到該人和以色列人的領袖
[00:04:26.880 --> 00:04:28.200]  法利塞人
[00:04:28.200 --> 00:04:30.880]  亦都是天生不對
[00:04:30.880 --> 00:04:32.280]  亦都是水溝油
[00:04:32.280 --> 00:04:34.640]  然而在耶穌的來臨
[00:04:34.640 --> 00:04:44.280]  讓他們又合而為一有共同的目標
[00:04:44.280 --> 00:04:46.200]  如果你知道當時的背景
[00:04:46.200 --> 00:04:50.320]  你知道法利塞人相信的是好幾樣東西
[00:04:50.320 --> 00:04:53.440]  他們相信整本舊約聖經
[00:04:53.440 --> 00:04:55.440]  裏面所有的善意書
