
[00:00:00.000 --> 00:00:02.720]  我們打開聖經在以賽亞書第四十章
[00:00:02.720 --> 00:00:06.400]  第二十七到第三十一節
[00:00:06.400 --> 00:00:08.880]  以賽亞書第四十章二十七節開始說
[00:00:08.880 --> 00:00:12.680]  雅各啊 你為何說我的道路像耶和華隱藏
[00:00:12.680 --> 00:00:16.600]  以色列啊 你為何言我的冤屈神並不查問
[00:00:16.600 --> 00:00:18.920]  豈不曾知道 你豈不曾聽見嗎
[00:00:18.920 --> 00:00:20.520]  永在的神耶和華
[00:00:20.520 --> 00:00:23.840]  創造地級的主並不疲乏也不困倦
[00:00:23.840 --> 00:00:26.320]  祂的智慧無法測度
[00:00:26.320 --> 00:00:29.640]  疲乏了祂次能力 軟弱了祂家力量
[00:00:29.640 --> 00:00:31.760]  就是少年人也要疲乏困倦
[00:00:31.760 --> 00:00:33.920]  強壯的也必全然跌倒
[00:00:33.920 --> 00:00:36.680]  但那等候耶和華的必從心得力
[00:00:36.680 --> 00:00:38.880]  他們必如音展翅上騰
[00:00:38.880 --> 00:00:41.040]  他們奔跑卻不困倦
[00:00:41.040 --> 00:00:43.240]  行走卻不疲乏
[00:00:43.240 --> 00:00:45.600]  我們就讀到這裡
[00:00:45.600 --> 00:00:49.840]  最近美國大選已經進入到緊要的關頭
[00:00:49.840 --> 00:00:54.120]  前幾個禮拜有機會聽到兩黨的大會
[00:00:54.120 --> 00:00:59.360]  聽見不同的講員申訴他們的立場
[00:00:59.360 --> 00:01:04.120]  我發現幾乎每一個在台上講話的人
[00:01:04.120 --> 00:01:07.960]  都不只是在傳講一套理念而已
[00:01:07.960 --> 00:01:11.080]  其實他們都在講一個故事
[00:01:11.080 --> 00:01:13.800]  有些在講自己的故事
[00:01:13.800 --> 00:01:16.720]  有些在講別人的故事
[00:01:16.720 --> 00:01:20.280]  真的我們就發現在每一個人生命的背後
[00:01:20.280 --> 00:01:22.840]  都有著不同的故事
[00:01:22.840 --> 00:01:26.360]  四年前奧巴馬總統上台的時候
[00:01:26.360 --> 00:01:29.640]  他的故事是多麼令人著迷
[00:01:29.640 --> 00:01:32.240]  第一位黑人總統
[00:01:32.240 --> 00:01:34.240]  這麼年輕
[00:01:34.240 --> 00:01:40.440]  令人聯想起甘迺迪總統時代的魅力跟風采
[00:01:40.440 --> 00:01:44.640]  今年米克羅尼當選共和黨的候選人
[00:01:44.640 --> 00:01:47.960]  又是另外一個迷人的故事
[00:01:47.960 --> 00:01:52.720]  一位默默無聞魔門教的生意人
[00:01:52.720 --> 00:01:56.480]  從來不是共和黨的主流派人物
[00:01:56.480 --> 00:01:59.280]  四年前競選慘敗
[00:01:59.280 --> 00:02:03.000]  今年忽然從敗部竄起
[00:02:03.000 --> 00:02:05.760]  面對目前的經濟危機
[00:02:05.760 --> 00:02:08.640]  再加上中東的危機
[00:02:08.640 --> 00:02:14.000]  令人聯想起雷根時代的那種光榮
[00:02:14.000 --> 00:02:17.120]  其實如果你仔細想想
[00:02:17.120 --> 00:02:22.920]  不只是每位總統候選人的背後是有一個故事
[00:02:22.920 --> 00:02:25.520]  其實你我生命的背後
[00:02:25.520 --> 00:02:28.200]  不也都是有一個故事嗎
[00:02:28.200 --> 00:02:30.280]  一個屬於你的故事
[00:02:30.280 --> 00:02:32.400]  一個屬於我的故事
[00:02:32.400 --> 00:02:33.480]  但問題是
[00:02:33.480 --> 00:02:36.920]  Who cares
[00:02:36.920 --> 00:02:39.360]  到底有誰關心呢
[00:02:39.360 --> 00:02:42.480]  事實上這正是當時以色列人
[00:02:42.480 --> 00:02:44.960]  所問的一個問題
[00:02:44.960 --> 00:02:47.400]  以色列人四十章二十七節裡面
[00:02:47.400 --> 00:02:49.640]  以色列人就問了一個問題
[00:02:49.640 --> 00:02:54.240]  我的道路在耶和華眼前好像被隱藏
[00:02:54.240 --> 00:02:58.240]  我的冤屈無人查問
[00:02:58.240 --> 00:02:59.160]  換句話說
[00:02:59.160 --> 00:03:02.800]  神好像並不關心
[00:03:02.800 --> 00:03:06.320]  神好像並沒有看見
[00:03:06.320 --> 00:03:07.840]  最好是說在我們生活當中
[00:03:07.840 --> 00:03:10.800]  我們不是有同樣的感覺嗎
[00:03:10.800 --> 00:03:14.120]  也不是說我們不相信神的存在
[00:03:14.120 --> 00:03:17.240]  也不是說我們不想來跟隨神
[00:03:17.240 --> 00:03:18.800]  但只是很多時候我們感覺到
[00:03:18.800 --> 00:03:22.600]  在一連串的挫折跟失敗當中
[00:03:22.600 --> 00:03:24.560]  我們覺得累了
[00:03:24.560 --> 00:03:26.400]  疲乏了
[00:03:26.400 --> 00:03:28.400]  困倦了
[00:03:28.400 --> 00:03:32.080]  真的有人關心我嗎
[00:03:32.080 --> 00:03:38.040]  我們看見神在這裡怎麼回答我們心中的問題呢
[00:03:38.040 --> 00:03:39.920]  在今天所讀的這段經文當中
[00:03:39.920 --> 00:03:46.200]  神從三方面來回答我們心中這個問題
[00:03:46.200 --> 00:03:47.400]  第一方面
[00:03:47.400 --> 00:03:52.560]  神告訴我們說你要重新來確信你的神
[00:03:52.560 --> 00:03:57.800]  跟你朋友說你要重新確信你的神
